from_id;to_id
2652;3192
3192;428
428;4574
4574;4106
4106;361
361;1675
1675;4291
4291;4598
4598;1753
1753;237
237;3520
3520;3140
3140;4069
4069;2642
2642;1354
1354;2581
2581;2646
2646;2220
2220;4870
4870;91
91;4381
4381;926
926;3641
3641;3973
3973;4434
4434;1014
1014;2668
2668;184
184;4878
4878;1956
1956;4932
4932;1050
1050;3304
3304;813
813;1706
1706;4498
4498;5329
5329;1950
1950;2145
2145;3078
4822;2953
2953;5252
5252;380
380;872
872;2742
2742;3260
3260;1113
1113;4836
4836;1627
1627;4539
4539;5086
5086;4554
4554;918
918;4258
4258;1713
1713;1674
1674;2318
2318;2436
2436;1677
1677;713
713;2824
2824;3755
3755;1235
2020;4350
4350;4533
4533;3314
3314;2409
2409;247
247;1295
1295;1195
1195;2859
2859;825
825;1872
1872;3240
3240;3490
3490;4015
4015;145
145;784
784;2464
2464;4850
4850;4053
4053;3878
3878;1041
1041;2407
1041;4896
2407;5300
4896;1875
4896;463
5300;3180
3180;191
191;4697
4697;4399
4399;3774
3774;3844
3844;768
768;4761
4761;4336
4336;4236
4236;4357
4357;1737
1737;2926
2926;3961
3961;3609
3609;2980
2980;78
78;3757
3757;3848
3848;4628
4628;912
912;2519
2519;4109
4109;2974
2974;1503
1503;684
684;4393
4393;3579
3579;4963
4963;194
194;1757
1757;2226
2226;655
655;3570
3570;2695
2695;339
339;4180
4180;862
862;3337
3337;2073
2073;1666
1666;749
749;940
940;1520
1520;2998
2998;891
891;3146
3146;4778
4778;34
34;4934
4934;3735
3735;3649
3649;3800
3800;4412
4412;3128
3128;2018
2018;3941
3941;5000
5000;3999
3999;1068
1068;4246
4246;131
131;3276
3276;2270
2270;4522
4522;5304
5304;3522
3522;2288
2288;2697
2697;235
235;4068
4068;5003
5003;1630
1630;1765
1765;3541
3541;4448
4448;4918
4918;5125
5125;2831
2831;2884
2884;1566
1566;1808
1808;440
440;2797
2797;4820
4820;971
971;4760
4760;2484
2484;5101
5101;2429
2429;383
383;3471
3471;587
587;2991
2991;1536
1536;1697
1697;1433
1433;1717
1717;3174
3174;4956
4956;4196
4196;146
146;1903
1903;2718
2718;2151
2151;2520
2520;3152
3152;2928
2928;1645
1645;2731
2731;44
44;3645
3645;5332
5332;1474
1474;3758
3758;3744
3744;4341
4341;1288
1875;4581
463;4597
4581;4313
4313;2032
2032;3592
4597;1360
1360;1738
1738;3154
3154;1768
2943;2996
2996;1615
2996;2934
1615;927
2934;312
927;2005
2005;2505
2505;2370
2370;4972
4972;963
963;2994
963;4423
2994;2901
4423;1418
2901;707
707;2888
2888;3105
3105;4457
3105;1977
4457;2506
4457;2345
1977;4110
2345;3401
4110;2090
2090;2452
2452;3281
3281;2246
2246;4170
4170;4776
4170;4176
4776;5267
5267;133
5267;494
133;1784
1784;617
617;5062
5062;686
686;3923
3923;2897
2897;1063
1063;5338
5338;4961
4961;2981
2981;4073
1418;804
804;17
312;5097
3451;72
72;5325
5325;3704
3704;1184
1184;832
832;3537
3537;1342
1342;2833
2833;1842
1842;2766
2766;2512
2512;2883
2512;661
2883;4424
661;1058
4424;5231
5231;5128
5231;3532
5231;914
5128;4006
3532;573
573;2982
1058;1963
1963;4892
4892;1132
1132;4904
4904;1005
1005;544
1005;1440
544;1885
1885;3392
3392;1397
1397;1484
1397;37
1484;2738
37;531
531;489
489;3198
3198;5190
1053;2439
2439;2398
2398;2315
2315;2489
