from_id;to_id
1246;26200
1246;65873
1246;76901
1246;51826
26200;40943
26200;84569
26200;54963
26200;42395
65873;24972
76901;46463
51826;80426
40943;94377
84569;98847
54963;68722
23743;79031
23743;85086
79031;1
79031;2618
85086;40092
85086;99845
6046;12545
6046;66490
6046;94680
6046;79614
6046;31355
6046;53495
42670;2748
42670;13839
12545;8067
66490;59863
94680;103227
79614;99945
31355;52358
53495;19726
2748;8067
13839;56848
37483;79728
37483;29770
37483;97757
37483;89190
79728;97757
79728;56858
29770;1273
29770;103648
29770;93877
97757;12817
56858;87559
56858;77789
1273;103648
1273;21461
1273;4163
34234;5613
34234;89499
34234;69794
34234;43301
5613;42701
5613;63684
89499;52036
69794;30909
43301;44418
42701;97427
63684;55170
65026;75604
65026;50606
65026;90058
65026;97144
75604;99393
50606;62500
90058;44037
99393;79546
97144;26519
72719;58867
72719;48744
72719;86319
58867;43193
58867;77839
48744;33669
86319;103847
43193;24526
77839;72054
33607;65349
33607;3061
33607;89702
33607;7405
33607;12995
65349;99233
65349;15845
65349;36648
3061;31381
89702;2953
99233;96468
99233;77825
15845;21544
15845;33963
5182;28904
5182;78221
5182;60871
28904;38852
28904;69540
78221;5476
60871;79322
38852;745
38852;47598
38852;95547
69540;79322
69540;97447
745;42661
47598;48374
85760;9815
85760;60151
85760;17275
9815;106219
9815;94705
9815;40643
60151;106219
17275;8945
106219;99238
94705;8945
46353;52339
46353;9778
46353;45263
52339;90188
9778;47903
45263;5824
90188;51089
40092;63715
99845;86322
10318;11892
10318;102652
10318;82032
102652;5102
36832;35973
36832;2307
36832;624
36832;66984
36832;100175
36832;36335
35973;27679
35973;70672
2307;33568
2307;97643
624;94551
624;98868
624;2325
66984;26330
100175;34933
27679;9437
27679;13639
27679;9079
70672;5271
70672;67559
33568;5271
97643;61
75256;58129
75256;21662
58129;64710
21662;38828
90270;6286
6286;67508
62629;104825
62629;28861
62629;17705
104825;76481
28861;103345
17705;100185
76481;91998
12817;77789
12817;27515
87559;77789
87559;27515
77789;97798
77789;46253
77789;15754
77789;44982
76206;38357
76206;28569
76206;77942
38357;15385
38357;65141
28569;75967
77942;89720
77942;79665
15385;61895
15385;25437
65141;66526
25939;3357
25939;68421
25939;73075
3357;45899
3357;59363
68421;34882
68421;12016
73075;45899
73075;78275
59363;36360
29165;16424
29165;97887
29165;17458
16424;56407
16424;34371
16424;17458
97887;72240
97887;5756
17458;90363
56407;61021
56407;34371
56407;8409
56407;62521
56407;8386
56407;103440
34371;105707
34371;8409
105707;51869
105707;104644
105707;31115
105707;29843
51869;21371
51869;44340
104644;21371
104644;49495
31115;74047
29843;15386
44340;62521
44340;83576
54222;25480
54222;84962
54222;37401
25480;82331
25480;84907
84962;82331
37401;68293
73256;74041
73256;61508
73256;20832
74041;50739
74041;83337
74041;58135
74041;63212
61508;104061
20832;104061
50739;42508
83337;42508
58135;56691
63212;30789
45498;11109
45498;2132
45498;89878
11109;47060
11109;4497
2132;36437
89878;46507
89878;88504
47060;102251
4497;46507
50120;5586
50120;50315
50120;10738
5586;71368
5586;59514
50315;67142
10738;9831
71368;21358
59514;86289
65764;73110
65764;45225
65764;63422
73110;26506
73110;105756
73110;84831
45225;88243
63422;91494
26506;65993
105756;63817
84831;39030
101280;80826
101280;1503
101280;47371
80826;36334
80826;14442
1503;10592
47371;67790
36334;26306
14442;70240
98287;29157
98287;91079
98287;37034
29157;27463
29157;14132
29157;61008
91079;34067
37034;91958
27463;75956
14132;56294
61008;59511
6196;75223
6196;104444
6196;3289
75223;46525
75223;1249
104444;25829
104444;67114
3289;73589
46525;32555
1249;25704
1249;90671
21491;55685
21491;64362
21491;96337
55685;104493
55685;45047
64362;36030
96337;104493
45047;23996
45047;48609
16662;73348
16662;30766
16662;28513
73348;98109
73348;25233
30766;48676
28513;101184
98109;80978
25233;25479
63653;43340
63653;75079
63653;36472
43340;17459
43340;86862
75079;72558
36472;51524
17459;5979
86862;23146
29256;18598
29256;83300
29256;101117
18598;42589
18598;102692
18598;30320
18598;77975
83300;6420
101117;42589
101117;70398
101117;19214
42589;59677
102692;63167
102692;38149
3012;62591
62591;82467
82467;90293
5102;68240
5102;34029
5102;32456
27931;104477
27931;62423
27931;84432
104477;892
104477;13240
62423;82666
84432;892
84432;10669
84432;26240
13240;85989
13240;27149
13240;252
13240;12260
13240;51585
13240;41994
13240;64938
90293;89292
90293;85881
89292;41667
89292;26712
89292;56541
67715;34244
67715;56812
34244;96172
56812;98611
96172;62436
62436;32307
85297;25386
85297;53281
25386;102641
25386;29170
25386;102893
53281;74663
102641;75677
29170;96585
102893;72194
30419;63267
30419;78839
63267;79564
78839;11656
79564;24153
51478;36551
51478;20477
51478;69544
51478;59892
36551;70654
36551;4660
36551;24615
20477;79513
20477;24615
69544;59191
69544;31168
69544;51120
59892;101407
70654;82186
70654;9055
4660;44731
85317;87140
85317;59191
85317;70341
85317;38774
87140;61246
87140;44467
87140;93482
59191;41468
70341;93482
38774;50601
38774;46520
61246;19763
44467;99164
32293;49687
32293;89406
32293;64102
49687;54220
89406;88879
64102;14008
64102;43302
54220;72310
72310;33626
66804;30586
66804;38986
66804;24973
66804;60212
30586;65590
38986;69342
24973;85322
60212;54025
65590;62415
18707;34829
18707;94412
18707;61969
34829;32057
34829;53686
94412;92304
94412;32973
94412;64213
94412;3527
61969;6978
61969;63654
32057;71094
53686;40729
53686;57604
53686;17111
52533;89150
52533;23055
52533;21298
52533;75301
52533;67357
89150;37650
23055;102513
21298;54328
75301;22751
67357;66034
37650;86434
37650;58865
59411;3822
59411;18430
59411;80020
3822;24249
3822;95999
18430;80847
18430;47559
80020;14881
24249;53700
5923;100316
5923;41478
5923;7472
100316;24746
41478;2615
68183;11838
68183;81319
68183;13637
68183;6234
11838;99529
11838;71990
11838;2962
81319;100880
13637;90336
13637;21353
13637;50176
6234;15759
99529;28932
99529;90992
71990;33428
71990;27883
2962;5278
2962;81128
28932;10210
28932;52713
10210;21474
52713;7539
21474;33991
96468;65516
96468;90232
65516;18943
65516;77825
90232;2766
18943;62379
18943;6503
62379;46481
62379;98656
62379;75132
6503;99402
6503;47453
10956;79742
79742;48438
48438;41639
42759;36124
42759;30128
42759;33073
36124;45613
30128;106065
33073;96714
45613;37821
92361;99495
92361;49851
92361;21884
92361;23249
99495;74328
99495;54964
49851;75566
21884;37845
23249;74328
74328;22485
54964;86526
22485;24849
5892;18514
5892;9976
5892;85683
5892;38682
18514;70388
18514;87345
9976;65949
85683;57961
70388;27503
87345;57309
94271;95755
94271;72355
94271;37930
94271;56177
94271;17505
95755;65486
95755;118
72355;53274
72355;58057
37930;28056
37930;65506
56177;31629
17505;8559
65486;90011
118;82200
118;34865
102765;3189
102765;95588
3189;96946
44796;70357
44796;31765
44796;101078
95588;104342
13853;102299
13853;82442
13853;69237
102299;78387
102299;94738
102299;69237
82442;69237
82442;33409
82442;102522
69237;33409
69237;57151
69237;37370
69237;8448
69237;54909
69237;9983
69237;84299
69237;70052
78387;92621
78387;9983
94738;84299
33409;84299
33409;70052
33409;43962
33409;92677
102522;35263
57151;84299
37370;8448
54909;99315
84299;87061
84299;31825
84299;61266
84299;59944
84299;47045
84299;94132
84299;21958
70052;90533
70052;2539
70052;58928
70052;92512
70052;13693
70052;45298
87061;92654
87061;7920
31825;92654
47045;63640
94132;1080
21958;30094
21958;49614
90821;48427
48427;96143
48427;31290
96143;50393
31290;88339
61021;8386
61021;29127
8409;62521
8386;37454
8386;74410
8386;46946
103440;97721
29127;37454
37454;97721
37454;47606
74410;79287
46946;78729
95680;51705
95680;67702
95680;104009
51705;71861
51705;30644
67702;80457
104009;80457
71861;55563
30644;41876
61895;67197
25437;90193
97798;31706
97798;46253
31706;32645
31706;60834
31706;48101
46253;88464
82575;83542
82575;78937
82575;2013
83542;1797
83542;23572
83542;97987
78937;68635
2013;39733
1797;48588
23572;78120
97987;104780
4384;57436
4384;3854
57436;16851
3854;3699
23955;22026
23955;57037
8945;104616
8945;70631
70631;52900
75925;93151
75925;32885
75925;80050
75925;35786
75925;66196
75925;63371
93151;61155
93151;55251
32885;85015
80050;56986
63371;60816
61155;78290
55251;11428
25529;53628
25529;51487
25529;81568
53628;42173
53628;9520
51487;19758
9520;48072
31596;21346
31596;14883
31596;18695
14883;37771
14883;105397
18695;102083
85581;50090
85581;47737
85581;43922
85581;48861
50090;40672
47737;86224
43922;63202
40672;58622
58622;97581
97581;96192
97581;56723
96192;45473
45473;83082
83082;42660
42660;2774
2774;16788
16788;74418
74418;95205
95205;88814
88814;102441
102441;12030
12030;91046
91046;101696
91046;94294
101696;39127
94294;27550
86224;48863
48863;53641
53641;40980
40980;49769
49769;19335
19335;55336
55336;9225
9225;11094
11094;66927
66927;85666
85666;97778
97778;88523
88523;88286
88286;67844
67844;27584
27584;27895
27895;70920
70920;33110
33110;94583
94583;39127
84986;82185
84986;55533
84986;76368
82185;49780
55533;19213
76368;31442
49780;30332
30332;53105
53105;15795
15795;51900
15795;32679
51900;99628
99628;1105
1105;64760
64760;28687
28687;1587
1587;65022
65022;97218
65022;75290
65022;97251
97218;61766
75290;102517
97251;35530
19213;42953
42953;27550
27550;3445
40311;81659
40311;19677
40311;68862
40311;91391
81659;55239
19677;61766
68862;44220
68862;95095
68862;403
91391;8299
55239;82121
82121;30500
30500;94489
94489;90374
90374;27442
27442;24840
27442;99034
24840;80181
99034;64912
80181;29952
80181;61227
80181;91573
80181;21539
29952;87910
61227;24457
91573;89811
21539;6002
87910;8046
8046;13160
8046;100056
13160;26024
26024;14324
26024;10679
14324;38979
10679;32469
38979;21251
38979;40142
21251;83623
102517;66107
66107;44020
66107;13310
44020;55286
13310;31783
55286;49377
49377;32679
3627;14309
3627;66268
3627;78331
3627;86371
3627;35288
14309;6751
66268;89392
78331;101238
35288;53816
6751;49584
49584;62659
62659;29539
61572;7989
61572;75493
7989;31442
75493;29539
40727;70624
40727;13395
40727;105615
40727;25271
40727;53981
70624;49265
13395;92996
13395;7528
105615;34161
25271;77292
53981;101669
49265;79030
79030;73546
73546;89392
89392;47094
43296;92996
43296;15249
43296;19187
15249;91594
19187;90733
19187;42865
7528;33816
71765;27359
71765;14750
71765;43563
27359;97390
14750;79621
43563;58875
97390;56448
56448;18183
56448;38099
56448;83332
18183;70216
18183;87098
38099;73070
70216;71663
87098;82570
71663;91179
91179;91594
79621;45065
45065;61551
61551;90733
76330;68851
76330;23889
76330;20448
68851;16169
68851;105179
23889;48098
20448;102213
16169;21412
105179;69175
48098;21327
21327;22218
22218;97701
97701;91130
91130;94710
94710;81227
81227;64452
64452;65077
65077;84450
84450;12898
12898;85894
85894;6481
85894;17452
6481;45907
45907;91422
91422;16462
60962;17759
60962;55314
60962;88140
60962;16462
17759;52705
55314;72623
88140;105310
16462;44493
52705;68147
68147;39251
39251;69940
69940;73934
73934;24575
73934;40612
24575;14297
40612;25237
14297;12397
12397;28918
28918;6882
6882;31964
31964;69653
69653;70770
70770;58875
8875;80747
8875;102213
8875;50560
80747;38390
50560;100390
38390;55508
38390;57464
55508;21411
57464;58159
21411;80383
80383;69932
69932;12403
12403;10422
10422;58752
58752;91755
91755;65693
91755;15548
65693;28626
15548;103324
63202;104112
63202;19503
104112;97386
19503;21036
97386;77756
77756;21412
11656;1899
1899;62821
62821;52750
52750;92242
92242;91692
92242;66786
91692;95658
66786;31919
95658;63604
63604;37585
37585;59783
59783;8947
8947;15263
15263;96197
96197;18395
18395;103626
103626;17590
17590;9427
9427;79572
9427;49950
9427;9511
79572;16701
79572;91298
49950;50640
9511;82191
16701;93012
93012;94175
94175;68110
68110;48578
48578;686
686;45562
45562;84586
84586;83603
83603;17217
17217;56250
56250;16536
16536;71645
71645;88950
88950;75166
75166;49974
49974;14417
14417;74259
74259;20243
20243;13874
13874;21036
99572;5281
99572;51376
99572;90324
5281;95480
51376;60364
90324;62846
95480;33304
33304;65069
65069;52021
52021;70662
70662;28942
28942;53314
28942;10490
53314;32490
32490;41964
41964;38198
38198;92106
92106;9653
9653;70415
70415;3500
3500;13928
13928;22603
22603;43219
43219;28626
82793;73552
82793;54390
82793;71929
73552;60364
54390;68969
71929;80521
68969;62846
3446;76982
3446;70131
3446;93439
76982;8529
70131;74281
93439;32710
8529;78374
78374;87148
87148;15009
15009;38197
38197;35466
35466;26717
26717;91857
91857;41905
41905;69666
69666;39216
39216;82602
82602;102924
102924;22802
22802;30762
30762;29178
30762;69620
29178;81624
69620;37851
74281;103375
103375;89063
89063;31603
31603;80916
80916;18794
18794;88130
88130;78078
78078;51303
51303;73894
51303;82699
73894;99131
82699;31935
99131;57610
57610;81624
32710;80521
80521;55426
55426;84492
74403;37410
74403;39810
74403;33262
37410;65345
39810;16084
33262;29091
65345;103324
58324;104639
58324;43223
58324;36078
104639;68342
43223;13916
36078;16018
68342;8374
8374;77568
77568;16084
77568;87685
87685;60509
66831;6396
66831;9786
66831;76168
6396;36361
9786;8369
76168;10380
36361;35341
35341;72818
72818;77791
77791;102538
102538;14534
14534;38079
38079;80193
38079;88716
80193;93943
93943;47441
47441;87639
87639;33015
33015;90596
90596;17044
17044;52364
17044;68995
52364;79928
79928;104783
104783;21281
21281;29091
8369;15326
15326;22736
22736;10077
10077;13916
40273;46390
40273;26792
40273;86787
40273;72058
46390;13362
46390;37082
26792;99419
86787;99419
72058;35319
13362;77865
37082;56989
77865;100390
35319;97703
35319;80974
97703;36152
97703;101092
80974;83497
36152;91587
101092;24676
101092;70944
91587;98997
98997;44455
44455;18458
18458;66016
66016;87224
87224;42077
42077;54082
54082;61549
61549;30559
61549;5710
30559;29160
5710;3632
29160;6104
29160;98832
6104;32526
98832;89699
32526;62535
62535;77678
77678;83497
16018;91672
91672;1907
21991;103054
21991;40284
21991;106300
103054;7387
40284;84460
106300;45842
7387;101670
101670;72280
72280;13449
13449;57848
57848;99593
99593;48325
48325;6204
48325;72992
6204;10380
84460;97867
97867;91234
91234;91028
91028;54224
54224;73016
73016;86080
86080;90682
86080;40548
90682;7108
40548;73561
7108;24733
24733;4390
4390;51928
51928;61145
61145;33663
33663;31350
31350;104974
104974;33626
69175;22156
22156;94368
94368;76050
76050;62830
62830;96575
96575;23827
23827;74475
23827;84666
74475;45514
84666;57326
45514;99357
99357;80599
99357;48572
80599;74204
48572;22442
74204;12650
12650;103654
12650;81268
12650;18647
12650;17086
103654;85471
81268;51435
18647;9560
17086;22615
7781;41
7781;40427
7781;51435
41;103644
40427;34836
103644;85471
34836;57326
24153;67284
24153;48466
67284;104904
48466;39781
104904;65450
65450;9560
39781;48600
48600;63467
63467;22442
84926;45842
84926;26670
84926;35847
26670;87568
35847;84304
35628;71416
35628;32643
35628;50963
71416;81093
32643;49634
50963;39874
81093;87568
49634;101765
49634;27654
101765;59431
27654;91474
57890;73065
57890;27763
57890;46746
73065;59431
27763;95492
46746;25098
82186;98257
9055;79513
98257;47593
47593;44756
44756;95492
19763;44731
19763;41468
99164;99309
99164;50601
99309;30671
99309;106144
50601;96210
30671;74610
106144;49456
37978;9574
37978;89033
37978;63114
9574;74610
89033;51280
89033;43772
63114;14805
51280;55654
51280;26853
43772;62312
55654;63341
26853;86878
44056;12997
44056;75370
44056;10618
12997;63341
75370;62312
10618;10880
8906;71840
8906;71459
8906;77049
8906;31619
71840;71255
71459;86361
77049;105243
31619;81487
71255;65396
65396;86038
86038;100736
100736;41528
41528;88675
88675;80094
80094;24944
24944;14878
14878;27252
27252;5122
5122;58095
58095;77788
77788;102821
102821;98739
98739;45179
45179;84304
86361;65207
86361;41312
65207;20308
41312;75926
41312;81487
41312;19577
24963;30905
24963;76945
24963;3323
30905;86878
76945;104344
3323;14805
3323;61561
104344;72070
72070;20308
83134;25070
83134;91474
83134;22541
25070;64698
22541;105425
64698;45140
45140;105567
105567;49417
49417;40372
40372;79513
40372;6337
40372;20698
6337;101407
20698;22473
105425;39874
31168;73963
51120;73963
51120;14332
46520;13283
96210;49456
49456;28787
49456;69990
28787;12103
69990;85772
14805;12103
61561;44339
8187;102038
8187;51649
