id;cswidth;csheight
66;0.01;0.16
3;2.92;8.71
74;5.21;6.46
17;6.15;7.94
11;7.33;11.43
6;6.02;6.61
7;6.5;7.54
58;15.21;6.53
2;3.9;2.05
16;2.51;1.69
72;3.68;3.76
57;3.92;5.56
49;1.72;1.2
44;1.96;1.04
59;4.23;2.37
20;11.33;1.31
65;6.03;1.2
46;3.9;3.51
39;1.42;2.61
62;4.22;2.64
53;3.26;3.37
71;4.54;4.09
38;2.53;5.4
25;1.85;2.59
23;3.86;4.05
68;3.8;4.18
9;6.84;8.01
26;2.54;4.13
50;1.9;8.4
60;3.38;2.27
67;6.08;6.4
5;7.61;9.92
70;4.74;6.41
4;4.42;4.09
41;6.1;4.5
10;6.66;5.95
21;4.12;2.86
33;6.06;4.06
28;3.41;3.58
13;6.13;3.13
42;4.48;3.07
34;4.9;3.66
8;2.98;2.77
56;4.32;4.33
47;6.42;2.7
54;8.48;2.4
32;2.82;1.55
29;8.15;1.88
43;3.66;1.44
0;2.42;2.76
22;7.71;3.12
1;4.98;2.09
69;7.08;1.88
48;1.29;6.55
73;1.85;5.11
37;3.21;2.9
31;5.05;0.67
52;9.46;1.75
27;6.99;1.04
77;5.58;2.04
30;10.35;10.36
63;8.22;5.57
36;7.35;5.23
12;7.43;3.52
35;2.66;1.33
75;5.1;2.84
61;7.22;4.86
45;5.21;1.78
76;4.69;22.58
15;7.15;7.15
14;2.57;2.79
18;12.41;2.9
19;0.97;1.12
40;22.42;7.66
51;13.2;4.19
64;5.91;1.35
55;6.24;1.98
