from_id;to_id
949;104
949;1439
104;387
1439;292
387;1460
387;1421
1460;735
735;7
7;906
906;1366
1366;134
134;1434
1434;505
505;523
523;1159
1159;1302
1302;579
579;1069
1069;220
1069;181
220;1046
220;733
1046;1109
1109;722
722;454
454;653
292;1148
1148;1326
1326;388
388;602
388;798
602;1270
798;1102
798;1166
1270;250
1102;1060
1060;1303
1303;984
984;1179
1179;410
410;4
410;642
642;667
667;971
971;183
183;1351
1351;276
276;828
828;627
627;93
93;781
781;1298
1298;1448
1448;174
174;1323
1323;830
830;1007
1007;826
826;113
113;348
348;228
228;281
281;128
128;848
848;1309
1309;30
30;1264
1264;225
225;908
908;507
507;784
784;247
247;1008
1008;698
698;1080
1080;758
758;1098
1254;1091
1091;39
39;923
923;1394
1394;578
578;1400
1400;367
1123;964
1449;669
112;806
806;766
766;384
384;920
384;1461
920;1163
1461;1173
1163;361
361;525
525;801
525;868
1173;1017
1151;77
77;656
656;304
304;1295
1295;1025
1025;355
355;205
205;810
810;1160
1160;301
301;479
479;1076
1076;580
580;398
398;692
692;138
138;1225
1225;821
821;555
555;846
846;648
648;1411
1411;526
526;973
973;294
294;202
202;1174
1174;1117
1117;702
702;1045
1045;1288
1288;37
37;834
834;572
572;541
541;909
909;1042
1042;691
691;299
299;320
320;1199
1199;1454
1454;270
270;118
118;272
272;1211
1211;365
365;345
345;422
422;1108
1108;70
70;1362
1362;1361
1361;116
116;655
655;869
869;413
413;1215
1215;444
444;1258
1258;1037
1037;632
632;718
718;746
746;581
581;952
952;650
650;960
960;136
136;595
595;22
22;354
354;771
771;470
470;32
32;208
208;337
337;1282
1282;1219
1219;932
932;264
264;995
995;767
767;1342
1342;1201
1201;853
853;278
278;1106
1106;1063
1063;513
1063;305
513;379
305;750
379;676
676;1154
1154;404
404;1433
1433;164
164;42
42;1396
1396;610
610;817
817;736
736;1086
1086;268
268;59
59;723
723;1223
1223;1188
1188;203
750;1369
531;377
377;823
377;1061
823;33
1061;1249
33;85
85;1234
1234;3
3;558
558;675
558;710
675;1084
710;1375
1084;774
774;712
712;596
596;1430
1430;229
229;1450
1450;638
638;197
197;497
497;87
87;872
872;1067
1067;34
1375;1310
1310;590
590;747
747;788
788;529
529;222
99;1406
1406;239
239;1044
1044;455
455;805
805;1138
1138;951
951;789
789;383
383;139
139;1019
1019;1441
1441;633
633;1118
1118;687
687;397
397;679
679;1090
1090;1418
1418;1255
1255;549
549;1292
1292;252
252;626
626;860
860;825
825;910
910;919
919;1217
1217;536
536;1358
1358;1150
1150;1010
838;1027
1027;1107
1107;631
631;193
193;360
360;64
64;890
890;731
731;1363
1363;1301
1363;1426
1301;100
1426;961
100;818
818;584
584;532
584;310
532;254
254;492
492;958
492;946
958;160
946;290
160;1176
1176;1124
1124;101
290;970
290;1024
970;495
1024;1155
495;310
961;162
101;979
979;939
939;1352
1352;1440
1440;52
52;464
464;678
678;769
769;28
28;1081
1081;190
190;212
212;167
167;813
813;114
114;1376
1376;1133
1133;520
520;152
152;438
438;15
15;1033
1033;335
335;509
509;671
671;603
671;1374
603;210
210;577
577;726
726;658
658;344
658;1315
344;287
1315;199
287;1446
1446;742
742;790
742;598
790;196
598;137
196;778
380;521
521;1131
1131;313
313;765
765;246
246;643
246;130
643;97
97;1135
97;867
1135;1167
1135;487
867;1243
867;673
1167;80
1167;1312
1167;63
487;999
80;347
80;837
1312;55
1312;569
63;307
347;1233
1233;342
342;280
280;315
315;31
315;1165
31;1359
1165;724
1359;686
1359;537
686;620
620;770
620;724
770;327
327;709
709;457
457;560
560;617
560;378
617;803
617;237
378;437
378;786
803;744
237;1200
744;1261
1261;889
889;1228
889;634
1228;1129
634;1242
1129;1052
1052;704
704;251
704;261
251;1242
251;258
261;968
1242;855
258;866
855;839
839;930
839;234
930;588
588;534
588;696
534;286
696;1245
286;451
451;991
991;783
1243;1153
673;5
1153;57
57;1331
1331;1089
5;870
870;1335
999;756
