id;cswidth;csheight
317;1.25;1.59
246;6.18;19.68
19;7.1;19.27
226;9.78;14.79
111;5.06;1.81
227;11.98;14.39
199;9.17;36.87
263;13.61;26.56
225;12.08;10.0
116;1.11;0.67
272;1.1;2.84
44;0.74;8.7
130;9.38;14.9
144;10.63;16.97
331;9.35;9.35
349;6.72;4.75
97;24.17;11.24
242;6.3;10.92
47;0.33;3.75
102;6.09;6.01
22;4.11;2.22
99;14.22;5.27
356;0.43;0.15
59;0.9;5.66
50;0.54;1.91
135;4.8;3.35
52;2.19;3.49
152;0.49;1.18
325;4.02;6.73
336;0.3;2.75
294;1.55;2.71
181;3.89;7.24
95;5.37;6.65
107;9.1;7.59
137;4.43;2.94
285;1.96;5.77
299;3.71;1.34
275;3.62;6.84
223;3.58;3.58
162;6.04;7.22
154;3.86;4.4
73;6.89;5.77
270;2.92;8.15
11;0.46;2.58
0;2.1;5.59
37;2.77;4.54
319;4.84;6.0
253;3.52;6.51
103;6.51;10.21
86;10.02;7.63
14;5.26;9.98
169;7.41;4.48
55;6.68;4.41
67;0.12;2.71
238;10.77;37.75
112;5.96;25.56
54;13.21;12.77
159;2.58;2.58
58;5.34;10.02
209;3.72;3.72
358;22.39;12.14
346;27.47;8.75
35;5.62;16.53
30;0.34;0.68
283;5.16;10.05
326;11.28;12.37
104;8.24;21.66
132;5.62;3.52
129;0.7;2.25
240;2.34;2.05
324;3.54;4.24
123;1.16;1.03
46;4.27;3.17
182;4.99;1.91
175;3.94;3.02
230;6.84;5.55
176;7.0;11.6
195;4.17;25.03
121;5.16;5.16
330;12.92;33.91
124;8.65;2.63
185;6.32;4.75
282;6.4;5.84
308;4.56;6.42
224;6.62;6.69
257;6.95;5.12
251;3.48;8.74
126;3.05;11.28
27;9.37;7.77
16;3.28;7.78
207;7.98;5.67
70;4.08;12.77
196;2.87;5.23
167;8.38;6.86
178;7.5;8.92
293;5.33;7.04
183;5.01;5.01
255;5.59;10.66
228;6.81;6.05
200;12.14;3.86
158;2.73;7.24
91;1.0;5.0
151;1.87;1.37
184;5.66;7.74
206;3.71;9.53
212;2.17;0.41
20;1.18;3.68
312;4.24;17.65
34;4.86;24.0
117;9.87;47.65
234;14.49;23.2
214;4.76;4.76
278;6.78;16.01
323;7.71;13.44
218;4.76;14.64
48;4.41;18.42
122;5.44;9.26
42;2.42;12.98
341;6.05;3.86
150;3.78;2.77
38;4.31;2.34
93;3.71;4.93
287;12.59;20.11
15;9.95;15.04
155;9.2;12.0
321;1.01;0.46
269;16.5;13.14
267;8.99;62.73
88;5.36;5.36
318;12.41;14.05
24;9.4;15.43
249;7.68;20.23
244;5.39;5.39
243;3.16;2.89
40;6.64;2.87
315;3.72;7.26
142;2.4;1.02
32;1.76;0.77
213;0.88;0.75
179;2.61;3.77
41;4.81;2.9
141;0.43;3.93
165;2.9;10.11
148;4.48;1.59
1;7.72;3.94
305;1.15;4.92
105;0.71;9.78
286;3.47;13.88
138;14.54;7.05
171;3.29;3.29
119;6.18;3.11
139;17.91;5.84
127;7.31;6.14
215;5.55;7.54
268;3.39;9.28
219;4.75;5.57
260;7.6;3.04
92;13.43;3.46
143;13.62;2.95
25;10.24;5.18
26;3.59;7.84
156;3.49;10.15
235;3.37;3.37
10;3.76;6.43
335;7.21;3.97
71;4.13;11.86
145;18.62;16.86
203;8.65;21.28
49;7.88;45.46
160;0.87;2.83
172;7.77;14.13
94;8.15;8.15
125;8.35;24.9
110;1.13;1.2
60;10.27;7.28
6;2.14;5.28
197;6.28;7.36
216;7.74;7.74
229;7.92;4.27
106;2.05;1.79
292;1.52;2.11
329;0.36;0.55
7;0.19;0.36
274;8.07;11.95
307;21.86;25.73
247;7.81;10.39
202;5.6;3.59
8;3.31;8.92
186;4.11;2.85
241;0.92;1.3
265;5.59;1.99
65;2.76;7.61
170;13.99;5.97
29;2.49;8.47
261;1.09;1.35
311;1.98;3.89
245;1.84;1.33
128;2.75;2.68
131;8.95;9.28
360;9.55;12.65
304;8.83;26.37
61;3.75;3.75
9;4.58;5.28
276;7.81;8.44
288;5.48;4.77
18;9.77;9.77
147;7.52;21.82
322;2.89;4.62
314;2.68;2.27
36;1.97;4.52
201;4.06;2.75
342;2.14;3.16
289;1.33;2.38
188;1.13;2.53
120;0.88;1.84
350;2.63;1.38
332;2.61;5.47
239;3.07;2.72
75;4.35;2.09
51;3.52;2.82
83;2.63;1.59
177;1.55;1.39
79;3.03;1.33
352;1.9;1.68
28;8.67;8.83
297;2.9;2.9
87;3.27;2.42
81;3.67;10.74
84;2.59;7.89
189;8.38;8.43
134;2.25;5.41
161;2.57;5.19
198;3.17;1.75
337;0.45;0.84
136;4.31;3.36
353;0.64;0.83
109;1.75;2.63
237;0.95;1.34
340;2.23;4.27
2;2.27;0.65
344;2.56;11.3
