from_id;to_id
317;246
246;19
19;226
226;111
111;227
227;199
199;263
263;320
320;225
225;116
116;272
272;44
44;130
130;290
290;144
144;331
331;349
331;166
349;97
166;242
97;347
242;47
47;102
102;22
22;99
99;356
356;59
59;50
50;135
135;52
52;152
152;325
325;211
211;336
336;294
294;181
181;95
95;107
107;137
137;285
285;299
299;275
275;223
223;162
223;154
162;76
154;73
73;270
270;72
72;11
11;0
0;37
37;319
319;253
253;103
103;86
86;14
14;169
169;55
55;67
67;238
238;112
112;54
54;159
159;58
159;209
58;358
209;35
209;30
358;346
346;217
35;283
30;124
283;326
326;104
104;132
132;129
129;240
240;324
324;123
123;46
46;182
182;175
175;230
230;176
176;195
195;121
121;334
121;330
330;168
168;64
124;185
185;282
282;308
308;224
224;257
257;251
251;126
126;27
27;16
16;207
207;70
70;196
196;167
167;178
178;293
293;183
183;255
255;228
228;200
200;158
158;91
91;151
151;184
184;206
206;212
212;20
20;312
312;34
34;117
117;234
234;214
214;306
214;281
281;278
278;323
323;359
359;218
218;48
48;122
122;42
42;341
341;150
150;38
38;93
93;220
220;287
287;15
15;155
155;321
321;269
269;267
267;271
271;88
88;318
88;17
318;24
17;142
24;249
249;244
244;310
244;243
243;40
40;315
315;32
142;291
32;213
213;179
179;41
41;141
141;165
165;148
148;1
1;305
305;105
105;286
286;138
138;171
171;119
171;139
119;127
139;60
127;215
215;268
268;219
219;260
260;92
92;143
143;25
25;26
26;156
156;235
235;10
235;335
10;71
335;197
71;145
145;203
203;49
49;160
160;172
172;94
94;125
94;110
110;247
60;6
197;258
258;216
216;63
216;229
229;106
106;292
292;329
329;7
7;274
274;307
247;248
248;202
202;8
8;186
186;241
241;265
265;65
65;170
170;29
29;261
261;311
311;245
245;128
128;131
131;360
360;304
304;61
61;9
61;276
9;288
276;18
288;327
18;351
18;147
147;322
322;314
314;36
36;201
201;342
342;289
289;188
188;120
120;350
350;332
332;239
239;236
236;75
75;51
51;83
83;177
177;79
79;352
352;13
13;28
28;297
297;87
297;81
87;84
81;189
189;134
134;264
64;161
161;198
198;337
337;136
136;353
353;109
109;237
237;340
340;2
2;344
344;163
163;146
146;5
264;118
118;157
157;43
43;62
62;221
221;256
256;74
74;192
192;85
85;39
39;277
277;231
231;173
173;68
68;298
298;348
348;250
250;194
194;309
309;303
303;357
357;4
4;254
254;205
205;190
190;164
164;133
133;174
174;302
302;53
53;295
295;56
56;57
57;140
140;279
279;82
82;300
300;89
89;328
328;90
90;80
80;204
204;252
252;114
114;355
355;3
3;296
296;193
193;45
45;191
191;345
345;301
301;280
280;113
113;115
115;187
187;284
284;96
96;233
233;31
31;69
69;339
339;149
149;33
33;108
33;262
108;100
262;232
100;78
78;343
343;12
12;66
66;21
232;266
266;153
153;222
222;98
98;333
333;208
208;316
316;338
338;354
338;210
354;259
210;273
273;101
273;180
101;313
180;23
23;77
