id;x;y;z
170;517165.74;5685548.67;135.3
1403;517172.88;5685547.81;134.23
644;517161.83;5685549.07;135.61
1744;517166.98;5685546.33;135.49
1228;517166.6;5685551.82;131.72
935;517165.53;5685551.9;130.99
780;517171.47;5685546.37;134.58
1559;517167.51;5685547.65;137.33
155;517173.05;5685548.5;134.23
250;517168.8;5685547.91;135.79
407;517558.77;5685459.31;140.05
1440;517557.13;5685467.12;138.03
119;517555.04;5685465.53;137.36
850;517559.16;5685455.97;140.89
327;517554.33;5685470.61;133.52
493;517551.0;5685462.04;146.59
1485;517534.53;5685533.06;123.77
1383;517527.38;5685534.83;119.81
928;517534.2;5685532.58;123.94
318;517533.81;5685535.56;122.98
227;517524.37;5685538.33;117.14
206;517527.34;5685534.62;119.8
1472;517173.35;5685545.98;133.77
1197;517174.38;5685545.03;134.31
799;517172.2;5685545.08;133.87
711;517172.81;5685546.67;132.9
1500;517173.77;5685546.26;134.47
996;517174.97;5685544.62;134.11
1326;517175.47;5685544.68;135.48
751;517190.08;5685548.81;129.13
775;517196.05;5685547.47;128.26
509;517192.79;5685549.17;127.56
554;517187.55;5685549.86;127.96
1751;517188.1;5685544.08;129.06
1518;517195.71;5685548.59;126.97
894;517197.78;5685547.48;126.76
232;517196.24;5685547.63;127.11
961;517198.22;5685545.55;129.87
1275;517194.11;5685546.57;127.96
313;517195.35;5685543.62;128.54
774;517197.8;5685546.04;127.14
1111;517196.37;5685544.94;127.48
1487;517196.76;5685549.41;123.95
1473;517196.75;5685550.69;119.68
1812;517196.53;5685550.86;119.49
1117;517200.64;5685550.14;118.0
298;517202.56;5685550.08;118.91
1167;517196.06;5685550.57;119.44
316;517194.78;5685552.32;118.82
1237;517196.82;5685556.05;119.49
1198;517199.66;5685549.65;119.53
108;517198.51;5685549.93;119.34
1387;517198.76;5685550.86;118.96
329;517194.56;5685551.31;117.65
1429;517202.63;5685547.9;120.36
591;517198.24;5685548.18;120.08
1155;517195.73;5685548.57;120.09
749;517196.5;5685549.97;119.48
1284;517196.89;5685549.37;119.6
929;517197.62;5685549.07;118.8
1399;517202.94;5685546.09;121.78
1752;517205.42;5685544.42;125.47
53;517202.42;5685548.11;120.14
23;517203.58;5685547.4;119.69
1031;517202.35;5685548.8;120.26
1602;517201.88;5685545.92;124.51
273;517198.48;5685545.78;126.5
457;517200.91;5685547.11;125.78
1457;517200.55;5685544.41;123.89
1124;517201.87;5685545.45;124.1
332;517203.86;5685544.31;125.41
549;517201.54;5685548.14;119.28
1742;517199.79;5685548.41;118.71
435;517201.56;5685547.86;119.13
1360;517197.76;5685550.67;118.8
1599;517197.15;5685549.87;119.22
1481;517197.53;5685547.24;119.73
1241;517183.71;5685550.36;129.16
1614;517187.22;5685550.21;128.31
513;517181.02;5685550.21;130.75
488;517183.38;5685549.72;129.26
989;517185.88;5685549.86;128.99
1119;517179.25;5685552.0;128.58
866;517189.67;5685550.7;126.06
1141;517187.28;5685549.01;127.76
1090;517189.1;5685551.8;124.93
133;517181.06;5685549.2;130.41
390;517174.27;5685549.95;132.29
360;517175.57;5685548.67;132.16
1771;517181.76;5685548.1;130.33
1586;517182.22;5685547.72;129.37
1263;517184.79;5685546.9;129.13
728;517182.3;5685548.45;129.45
466;517176.98;5685543.73;135.69
734;517191.09;5685548.2;126.36
202;517173.99;5685548.49;132.34
1534;517171.58;5685550.17;133.03
1453;517162.22;5685543.93;135.6
652;517159.48;5685544.73;136.2
563;517163.01;5685550.86;133.93
647;517154.46;5685546.95;139.76
1709;517165.62;5685550.86;132.42
1564;517152.15;5685545.97;141.97
789;517164.5;5685543.78;136.46
350;517160.94;5685543.34;136.48
1543;517175.71;5685542.85;137.31
1208;517176.16;5685542.95;137.27
340;517175.67;5685540.71;138.68
627;517169.85;5685543.01;139.98
264;517170.22;5685541.41;139.84
837;517171.53;5685542.37;140.08
670;517170.83;5685544.77;139.23
1370;517180.76;5685543.46;135.39
856;517173.15;5685537.75;139.48
68;517175.22;5685537.72;139.26
1257;517174.04;5685534.82;141.83
184;517173.09;5685538.57;140.08
736;517175.72;5685538.59;138.88
1460;517175.48;5685537.75;139.4
369;517182.13;5685538.56;135.01
283;517173.89;5685532.16;144.35
1312;517175.82;5685535.52;142.69
1343;517171.83;5685533.88;144.08
1003;517174.37;5685530.95;143.17
1151;517176.33;5685532.8;144.36
41;517170.88;5685532.42;146.61
1127;517175.42;5685529.3;145.81
932;517170.37;5685532.6;147.02
1660;517177.36;5685530.93;145.27
764;517182.31;5685535.51;141.6
71;517175.39;5685535.75;141.71
1544;517175.75;5685533.7;144.32
766;517176.04;5685534.94;143.17
1207;517541.32;5685534.29;132.42
1023;517541.5;5685534.76;132.52
1763;517540.96;5685533.8;132.08
891;517539.76;5685530.05;130.59
1315;517541.77;5685537.01;132.32
77;517539.66;5685536.13;130.14
246;517538.04;5685526.62;127.88
1276;517540.12;5685531.66;130.97
465;517539.91;5685526.8;129.78
123;517531.96;5685526.74;123.24
1273;517537.63;5685523.81;127.29
1615;517533.15;5685527.84;122.95
1698;517532.9;5685525.12;122.88
321;517558.29;5685452.52;142.4
256;516796.07;5685696.7;170.86
839;516795.53;5685694.42;171.59
1735;516794.19;5685696.84;170.26
399;516795.93;5685695.96;170.82
1100;516795.05;5685698.03;169.86
1761;516796.53;5685701.69;169.74
1240;516800.64;5685701.25;168.42
1474;516801.21;5685702.05;167.89
667;516805.47;5685703.02;164.17
1314;516805.94;5685706.71;159.9
978;516806.76;5685712.38;158.44
1618;516805.88;5685712.31;156.69
79;516806.14;5685713.45;156.68
1318;516805.65;5685712.95;155.97
896;516806.53;5685715.3;155.5
963;516794.78;5685696.76;170.58
533;516794.52;5685697.7;169.6
690;516796.38;5685699.94;171.03
675;516798.96;5685698.44;170.22
541;516798.6;5685701.0;169.35
683;516798.19;5685701.09;167.15
61;516800.22;5685704.38;165.2
685;516799.51;5685705.86;163.93
958;516800.46;5685707.46;161.55
544;516802.04;5685708.41;160.37
345;516803.79;5685709.99;158.78
1461;516805.25;5685712.01;158.37
611;516799.98;5685714.6;154.93
1088;516805.68;5685735.37;141.3
1224;516810.62;5685733.26;143.31
1082;516799.38;5685736.85;140.51
219;516801.54;5685735.82;140.79
1509;516813.16;5685734.14;145.08
1058;516812.18;5685730.61;146.22
124;516813.02;5685737.74;143.67
747;516812.43;5685736.64;143.58
277;516808.64;5685727.41;152.37
