id;cswidth;csheight
2617;5.41;2.84
335;7.14;3.86
5041;1.46;1.1
2274;0.5;0.61
2971;0.55;0.67
6650;0.6;1.01
1773;0.54;0.54
2592;0.22;1.54
4616;1.12;0.89
5283;2.61;2.61
1569;2.12;1.95
1905;1.35;1.93
2112;4.01;2.55
2526;0.95;2.8
96;3.54;3.54
1142;1.07;3.35
275;1.51;1.51
2491;1.68;1.25
5459;0.97;1.02
6827;0.97;3.05
3053;1.65;1.65
3075;0.47;2.14
5223;3.27;3.27
3445;1.42;1.42
5943;1.92;0.95
2181;1.99;1.99
1977;1.51;1.3
2688;1.56;1.56
5809;1.79;2.78
4892;0.73;1.61
1924;1.13;4.97
4548;1.82;1.82
1210;1.88;1.88
3677;0.07;0.44
5205;1.7;2.66
126;2.29;5.54
1280;0.31;0.69
2371;0.65;0.65
611;0.86;0.82
836;0.42;0.45
54;0.26;0.99
4238;0.42;0.7
1390;3.44;3.09
4587;0.6;0.42
4473;0.53;0.28
5145;0.71;0.3
212;3.24;2.04
6549;0.74;0.92
7362;2.54;2.24
2653;0.94;0.94
6320;0.73;2.23
2403;1.27;1.27
4943;0.25;0.56
4638;0.68;0.68
6499;1.27;0.9
3781;3.47;3.47
7193;0.37;1.0
7387;0.46;5.9
2082;1.28;1.47
7165;0.52;0.74
6438;0.93;1.28
104;0.48;1.68
4193;0.4;1.07
6598;0.23;1.37
1264;0.79;1.78
7074;0.32;1.03
6311;0.24;0.58
1498;0.69;0.69
2101;0.81;0.39
5692;0.14;1.26
6735;0.89;0.3
6332;1.07;0.56
5639;0.4;1.99
4896;0.51;2.14
1870;0.91;1.71
5789;1.02;1.02
3981;0.66;0.68
1220;0.36;1.07
24;0.29;1.37
2801;0.5;0.85
4138;0.6;0.51
1270;0.55;0.67
2466;0.16;0.54
5746;0.53;0.57
5747;0.23;0.42
2708;1.07;1.07
2092;1.34;1.24
3352;0.17;0.87
7075;0.86;0.8
2907;0.95;0.95
3646;0.94;0.59
6783;1.64;0.36
1127;1.01;0.97
5650;0.9;0.14
2221;0.84;0.53
5573;0.52;0.52
2623;1.53;0.49
5269;0.54;0.43
7357;1.05;0.6
3806;1.16;1.16
4547;1.54;0.48
4505;0.68;0.68
1256;1.1;1.24
6940;0.6;1.34
49;1.88;0.59
6879;0.65;0.75
5806;0.57;0.97
5853;0.99;1.11
7318;0.51;2.33
5859;0.54;1.56
5942;0.53;0.66
3268;1.12;1.31
4050;0.52;0.58
4470;0.23;0.49
3772;3.6;1.86
4873;0.88;1.01
4217;1.15;2.42
4843;1.31;3.3
5542;0.37;0.57
869;1.93;2.53
6379;2.28;2.06
3074;1.18;0.49
2021;0.96;0.87
4586;0.47;0.47
1204;1.14;1.14
2207;0.16;1.25
6659;1.27;0.71
6737;2.33;2.33
6865;1.21;1.21
1754;0.94;0.94
1485;3.53;2.02
1029;0.02;0.09
2793;1.7;1.7
1581;1.43;1.43
2268;1.29;1.29
3717;1.73;1.73
3994;1.83;1.83
1014;2.36;2.4
976;1.56;1.56
3792;1.41;1.41
43;1.5;1.01
6812;0.52;0.38
6006;2.65;1.41
3124;0.01;0.42
7153;1.76;2.35
627;1.25;0.66
7040;3.46;3.29
4516;3.58;2.96
900;0.39;0.69
3572;1.83;4.4
7370;0.45;0.94
2383;4.43;2.3
7294;0.84;4.52
6285;1.17;1.17
6954;0.51;0.87
657;1.38;0.64
6207;0.37;0.29
4758;2.86;1.11
2581;0.83;1.18
1308;0.0;0.2
3203;0.31;1.04
3503;1.03;1.75
3418;3.07;1.99
279;0.0;1.0
4046;0.65;0.85
6630;0.68;0.68
3059;1.76;0.61
6742;0.8;0.8
6473;0.65;0.65
996;0.06;0.62
2450;0.18;0.8
2247;1.74;0.32
