id;x;y;z
1216;525775.39;5679219.46;249.13
3022;525775.39;5679219.46;244.73
3180;525778.07;5679219.75;243.75
3774;525779.25;5679218.59;244.04
3931;525779.25;5679218.59;240.74
5236;525779.58;5679218.2;240.74
3992;525780.01;5679217.42;243.36
1929;525779.5;5679218.52;240.75
866;525782.86;5679212.6;240.74
2257;525781.27;5679215.87;244.87
6709;525782.11;5679216.27;245.86
6680;525782.47;5679214.54;246.56
7055;525781.16;5679213.93;248.48
341;525781.16;5679213.93;246.24
2596;525781.41;5679212.11;245.98
1947;525782.75;5679210.5;245.01
205;525783.33;5679209.71;244.86
196;525783.33;5679209.71;242.59
1122;525786.54;5679211.52;241.61
6898;525784.03;5679210.06;242.36
675;525784.03;5679210.06;239.86
2121;525784.03;5679210.06;236.84
298;525782.89;5679208.42;239.86
3569;525782.26;5679207.51;239.86
262;525782.89;5679208.42;238.56
277;525783.75;5679206.61;238.56
1711;525783.75;5679206.61;237.06
6895;525782.84;5679206.19;237.06
4644;525783.49;5679204.83;237.06
5268;525785.53;5679213.58;235.8
3906;525784.26;5679219.69;234.88
1742;525782.65;5679223.65;233.18
2949;525782.78;5679228.49;231.59
1364;525782.7;5679222.96;233.64
7047;525781.0;5679231.47;230.92
2410;525785.37;5679230.22;229.68
1;525781.02;5679220.26;235.47
6297;525780.93;5679221.59;235.9
743;525780.08;5679239.61;227.3
910;525778.42;5679229.86;232.56
1284;525778.72;5679245.65;222.65
5813;525778.64;5679227.07;234.31
1049;525781.08;5679248.48;220.34
3624;525782.5;5679245.52;223.86
2311;525783.38;5679242.85;225.84
2135;525781.08;5679248.48;221.64
4210;525783.71;5679248.35;219.11
4541;525781.93;5679246.72;220.76
924;525781.62;5679250.4;220.91
2031;525782.69;5679251.37;220.5
4737;525781.74;5679253.59;220.07
2985;525782.7;5679254.84;219.59
72;525784.89;5679257.48;217.92
2579;525783.68;5679258.52;217.92
7272;525787.19;5679249.19;217.7
6370;525789.7;5679249.29;216.25
