id;cswidth;csheight
1766;1.59;1.87
1656;0.02;2.17
3425;0.05;2.09
2001;5.91;2.11
8063;0.1;1.52
8425;2.42;2.42
2772;0.21;0.21
4732;3.14;1.38
12497;3.83;1.46
428;0.8;0.57
3201;1.84;1.84
743;0.49;1.26
8570;0.1;1.37
10529;0.39;2.1
6688;0.42;1.49
8813;0.03;1.54
752;7.93;1.87
6675;0.74;1.71
5887;3.55;1.5
10872;0.19;1.04
2769;3.25;1.52
7756;4.7;1.46
657;2.6;1.26
9802;2.26;2.26
5639;0.83;0.28
9777;2.31;2.31
4009;1.4;0.18
4457;3.88;0.58
2722;4.82;0.34
3353;1.57;1.57
8944;3.57;0.2
10638;5.08;0.35
12538;2.68;2.79
5707;2.13;0.09
3876;4.92;0.37
9397;3.31;3.27
415;8.1;0.21
9631;11.53;0.78
2236;3.28;0.32
6271;2.37;1.11
12283;2.82;0.2
3045;4.67;0.41
8701;8.25;0.72
445;7.15;3.37
11631;5.95;0.8
12619;4.7;0.91
8630;9.11;0.85
1320;5.34;1.1
2640;6.13;0.7
6885;1.86;1.86
10088;3.59;0.07
6532;8.13;3.72
12397;4.48;2.03
5048;4.19;1.86
8968;3.99;1.0
8213;4.13;3.29
1603;1.95;1.18
8615;3.05;0.95
9864;4.59;1.19
1240;4.85;0.55
11592;7.85;0.94
5760;0.34;2.44
11892;4.83;1.4
9303;2.53;2.91
5564;8.51;1.64
2702;5.97;0.72
1511;11.33;1.51
8422;5.3;0.89
9636;13.72;0.53
9613;8.07;0.87
79;5.88;1.24
12363;8.12;1.08
10498;5.44;0.98
2934;4.88;0.21
9426;6.71;0.42
11018;4.38;0.79
6054;2.45;2.45
5187;2.49;0.38
1436;6.79;0.38
369;4.99;0.21
11372;3.02;0.38
5298;2.93;3.16
6163;5.94;4.01
8354;5.64;2.81
4849;4.25;3.11
1968;3.94;3.58
1950;4.93;3.21
11431;5.99;4.73
11876;5.31;2.88
6720;3.49;3.71
10946;4.43;3.51
1908;5.0;3.47
602;4.06;3.46
443;3.54;3.37
1971;4.59;3.58
2719;3.46;0.5
6252;3.49;0.35
2365;7.02;3.95
6234;1.52;2.94
1318;0.39;2.13
8967;2.0;2.68
3462;2.66;2.58
11204;3.98;3.18
3958;4.41;3.12
9773;3.27;3.68
12521;1.85;3.13
630;3.86;1.24
12600;2.56;2.81
12574;2.5;2.55
7824;3.24;2.82
8709;3.38;3.08
462;4.06;2.15
1044;8.33;2.89
3070;4.4;2.46
7517;1.34;2.18
3259;1.93;0.17
977;1.12;2.85
10587;2.13;2.11
10175;1.72;0.97
2163;1.18;2.67
9926;6.07;2.36
