from_id;to_id
50;454
50;793
50;326
50;17
454;468
454;82
793;330
793;697
326;808
17;574
468;623
82;67
614;743
614;738
614;664
614;345
743;524
738;800
664;625
524;105
105;355
105;249
355;550
550;359
359;249
249;66
66;888
888;515
515;885
885;40
885;39
40;795
795;393
393;415
415;269
269;636
636;115
115;424
424;675
675;16
16;744
744;619
619;389
389;488
488;773
773;857
857;841
841;402
402;736
736;764
764;81
764;564
81;911
564;317
778;240
240;620
620;881
881;538
538;353
353;319
319;125
125;418
418;278
278;38
38;800
207;444
207;214
207;380
444;544
214;924
380;816
544;439
694;924
694;816
694;11
11;602
830;428
830;84
830;900
428;261
84;315
900;714
261;343
343;41
41;287
287;423
423;683
683;771
771;695
695;470
470;79
470;681
79;225
79;94
225;925
925;309
925;93
309;297
93;475
297;276
276;437
437;136
136;472
472;734
734;749
749;911
673;394
673;542
673;537
673;548
394;318
542;858
537;299
548;291
318;612
612;96
96;693
693;110
110;936
936;938
938;317
858;629
629;218
218;315
299;748
748;870
870;652
652;740
740;696
696;366
366;85
85;431
431;908
431;421
908;169
908;310
169;266
310;467
266;314
314;876
876;111
111;896
896;813
813;659
659;603
603;751
751;445
445;608
608;237
237;339
339;127
127;602
209;138
209;708
209;395
138;411
708;520
395;492
411;97
97;205
97;781
205;814
781;270
814;890
890;721
721;759
759;520
492;210
210;289
210;373
289;541
373;457
541;714
336;531
336;377
324;574
324;107
531;710
710;616
616;687
687;330
697;939
697;473
67;178
67;808
178;157
157;623
157;559
559;865
103;653
103;733
103;578
653;417
733;71
578;726
417;426
426;216
216;486
216;530
486;581
530;262
581;190
581;174
581;586
190;250
190;160
174;192
586;51
71;250
160;491
503;203
503;232
503;251
203;859
232;68
251;855
859;118
118;279
279;571
571;145
145;464
464;726
155;208
155;742
155;241
208;875
742;663
241;213
875;582
582;489
489;933
933;414
414;926
926;558
558;480
480;591
591;583
583;322
322;765
765;504
504;703
703;784
703;682
784;432
432;264
264;640
640;254
254;843
843;848
848;68
663;855
855;374
374;863
213;294
294;753
699;630
699;593
699;776
699;889
699;458
699;65
630;560
593;552
776;284
889;100
458;409
560;189
189;211
211;536
211;265
536;281
265;902
281;433
433;551
551;829
829;496
496;688
688;196
196;772
772;901
901;680
680;162
162;192
192;501
43;135
43;282
43;622
135;379
135;384
282;463
622;604
379;463
384;752
384;792
463;481
481;627
604;1
1;856
856;180
180;59
59;14
14;907
907;273
273;5
5;727
727;133
133;600
600;762
762;99
99;895
895;779
779;119
119;569
569;621
621;624
624;283
283;913
913;845
845;159
159;803
803;590
590;774
774;547
547;648
648;546
546;37
37;645
645;785
785;21
21;252
252;679
679;478
