id;cswidth;csheight
407;4.45;8.59
218;0.93;0.93
22;0.76;0.48
531;1.94;2.7
177;0.25;2.2
263;0.16;3.43
43;2.73;23.76
350;8.64;8.64
571;3.63;11.22
220;8.02;8.02
331;2.44;2.93
152;0.28;0.76
4;0.29;2.62
457;3.16;2.37
50;0.2;3.7
241;1.3;3.9
599;0.3;2.53
368;3.48;1.32
487;1.35;14.19
604;11.24;10.39
72;4.48;4.48
382;4.29;9.03
65;2.17;8.96
227;1.74;1.18
284;3.69;1.67
96;1.85;5.13
359;2.12;1.98
403;3.21;5.17
490;2.71;2.71
320;7.83;4.41
441;3.63;3.11
316;2.86;2.86
142;1.58;0.2
82;2.74;4.02
388;2.71;3.8
210;1.07;2.59
514;0.98;2.41
572;1.76;5.65
111;0.87;6.44
302;1.48;0.76
139;1.46;2.14
162;0.22;1.91
396;5.99;1.55
486;4.36;5.12
375;3.18;4.07
402;4.03;6.43
400;4.54;1.9
191;2.97;2.97
548;7.33;3.49
9;3.61;5.84
194;2.25;2.25
568;1.78;5.47
364;1.94;1.94
192;2.47;3.57
157;3.03;3.55
533;3.18;2.91
553;2.24;3.11
71;4.34;0.41
188;2.5;2.5
225;2.75;4.72
53;1.56;4.73
38;1.51;1.51
77;2.08;1.92
431;0.18;0.98
503;0.78;1.36
442;1.42;1.67
504;0.55;3.7
92;0.53;0.89
328;0.92;2.82
438;0.21;0.76
134;2.74;5.01
99;0.26;0.99
389;1.04;1.11
535;2.5;2.4
427;1.51;2.45
67;1.33;1.32
520;0.48;0.67
51;2.48;3.27
202;2.77;2.77
575;0.43;3.22
478;3.14;9.6
49;1.59;5.06
289;2.64;2.88
600;4.7;1.1
513;3.49;1.69
318;0.88;4.71
355;0.84;2.53
369;0.38;2.97
461;3.32;3.32
419;1.64;0.8
429;1.46;4.27
605;2.3;1.48
488;0.91;0.51
422;1.8;4.98
546;3.5;9.81
292;1.2;1.0
273;1.2;0.63
281;0.44;5.46
363;0.47;0.6
310;4.0;4.01
247;3.47;3.47
103;4.57;1.96
239;4.07;0.76
277;0.94;0.25
542;5.43;2.62
332;1.04;1.04
410;0.17;1.29
460;8.81;4.51
63;0.76;2.81
280;3.49;3.49
219;0.1;0.25
391;0.32;4.39
387;0.35;1.94
165;0.96;3.54
347;0.22;1.85
52;4.4;4.4
374;0.97;1.37
230;1.46;3.33
309;2.83;0.18
18;4.43;4.43
0;0.88;3.45
237;0.16;1.43
78;7.37;2.93
79;0.43;0.94
327;0.3;2.31
141;1.77;2.43
264;0.5;5.46
94;0.44;2.19
361;1.9;3.32
330;1.41;1.41
386;0.64;0.47
288;1.04;0.92
583;0.31;2.72
547;1.41;1.49
303;3.18;3.18
562;1.79;1.79
395;0.83;5.6
411;1.92;6.1
390;1.88;1.91
578;2.55;0.25
163;0.61;0.33
446;1.87;0.35
591;2.22;8.01
551;0.65;5.35
283;0.16;1.73
154;1.18;3.66
494;4.37;5.31
293;0.51;3.5
150;7.01;4.15
181;0.19;2.44
496;0.38;1.29
324;0.19;2.3
174;0.24;1.14
90;1.34;1.62
145;2.54;2.54
151;1.17;4.33
351;2.97;7.06
178;5.49;10.43
392;1.23;4.33
366;0.35;1.02
238;0.44;1.68
530;0.62;2.85
231;0.86;1.69
19;4.0;4.46
300;0.08;1.2
430;1.28;2.77
229;0.13;2.75
221;0.3;0.43
508;0.36;2.63
544;1.28;1.84
464;0.31;2.36
138;2.66;0.6
376;5.49;6.34
193;2.27;6.15
12;2.15;4.16
28;6.01;1.18
34;9.21;2.02
313;1.13;2.09
552;4.24;4.96
285;2.43;3.47
532;1.2;2.77
251;6.8;8.1
467;0.67;4.27
198;5.74;6.96
506;2.38;3.25
115;0.44;7.31
426;1.69;3.93
119;2.32;3.73
570;1.62;3.26
596;1.63;1.63
179;4.17;1.8
421;0.18;2.64
584;0.71;1.38
126;2.74;0.41
108;0.49;1.67
171;3.68;4.34
25;3.52;5.36
26;2.7;2.65
577;1.8;4.16
140;2.96;6.68
558;0.36;0.07
76;0.39;0.95
278;0.6;2.8
499;1.03;3.77
491;2.59;1.28
135;0.82;0.55
127;0.28;1.21
370;0.28;1.05
434;1.44;1.44
342;3.68;3.4
159;3.17;1.03
184;1.56;0.91
244;0.56;0.62
598;0.08;0.42
550;0.2;1.16
465;0.84;0.6
373;1.01;1.1
444;1.35;1.31
456;0.61;3.42
297;0.27;1.65
378;0.27;2.78
166;2.65;1.84
536;0.65;0.52
516;0.7;2.2
223;0.24;2.97
341;0.48;3.79
449;0.62;1.08
260;0.36;2.37
346;1.45;4.14
7;4.83;1.64
311;0.16;0.53
425;0.1;1.02
116;1.52;0.48
23;0.19;2.76
333;1.24;0.15
35;0.14;2.08
83;0.45;0.69
586;0.61;1.79
185;1.59;1.59
587;1.23;2.65
581;0.22;0.92
475;0.35;0.16
362;2.03;1.06
383;2.22;3.15
497;2.64;6.0
588;3.23;1.56
582;1.74;0.19
46;0.16;1.72
199;2.28;2.43
597;2.34;0.46
212;1.19;2.47
