id;x;y;z
334;565393.0;143082.0;1802.0
58;565393.82;143072.98;1805.75
676;565391.51;143070.9;1805.61
697;565400.08;143071.66;1810.55
111;565386.18;143076.06;1810.27
796;565391.22;143065.38;1807.41
35;565391.52;143070.9;1812.48
751;565394.39;143063.87;1808.86
159;565394.34;143056.51;1809.8
772;565397.74;143065.9;1806.46
689;565384.67;143057.28;1806.32
327;565380.37;143047.25;1801.51
688;565383.93;143054.11;1805.8
18;565384.67;143057.29;1801.96
179;565377.96;143051.16;1799.91
0;565381.63;143051.72;1798.27
509;565375.28;143051.16;1801.62
172;565379.88;143054.68;1795.89
864;565375.46;143055.24;1794.56
860;565377.62;143053.67;1795.54
510;565375.61;143059.48;1792.31
248;565375.15;143054.1;1801.34
854;565378.87;143057.8;1794.85
16;565366.71;143058.54;1787.21
511;565360.84;143056.95;1787.59
601;565354.82;143058.73;1784.52
541;565352.88;143049.08;1792.21
793;565352.26;143059.15;1779.8
148;565342.81;143065.23;1770.5
142;565326.24;143064.0;1760.32
492;565325.74;143068.7;1756.78
181;565326.42;143057.79;1759.34
816;565326.52;143072.42;1754.19
880;565329.19;143075.62;1752.77
528;565329.55;143079.29;1752.48
395;565336.15;143085.25;1752.34
551;565400.86;143067.66;1806.85
60;565400.86;143069.86;1804.66
72;565400.86;143069.86;1802.56
668;565399.02;143071.96;1802.56
886;565403.59;143073.43;1804.29
164;565393.29;143070.03;1800.8
548;565403.59;143073.43;1807.69
800;565407.19;143075.25;1809.44
119;565345.26;143048.03;1797.62
723;565350.5;143043.88;1795.71
621;565325.14;143055.72;1818.49
649;565319.25;143061.65;1824.17
818;565363.97;143054.07;1808.87
762;565363.97;143054.07;1811.95
841;565360.87;143055.58;1812.57
117;565365.8;143057.63;1811.95
727;565360.8;143055.55;1827.15
237;565365.8;143057.63;1805.95
879;565382.97;143073.42;1816.0
290;565388.88;143071.17;1812.48
266;565379.14;143069.5;1816.25
163;565377.44;143061.37;1820.82
602;565376.78;143056.25;1825.22
7;565373.94;143056.9;1823.29
281;565380.32;143057.65;1827.99
45;565371.11;143055.66;1825.18
388;565377.11;143057.5;1800.44
743;565365.46;143056.91;1826.64
887;565362.27;143056.07;1828.58
352;565356.83;143056.09;1830.91
434;565318.29;143051.52;1756.36
217;565308.06;143049.63;1754.37
634;565319.31;143049.35;1756.63
280;565302.2;143051.56;1753.68
557;565298.31;143051.03;1754.82
399;565299.94;143039.13;1756.3
171;565293.78;143049.81;1754.53
534;565302.67;143033.05;1759.69
595;565299.35;143038.39;1766.15
585;565297.81;143031.58;1760.74
61;565292.44;143031.19;1762.86
204;565276.61;143022.64;1764.8
93;565273.69;143020.39;1764.79
263;565269.76;143017.07;1769.78
648;565268.81;143021.83;1763.31
105;565262.71;143017.44;1767.72
530;565260.8;143020.49;1767.26
150;565253.42;143018.4;1768.34
666;565252.89;143015.85;1769.56
787;565248.3;143013.81;1771.73
476;565242.07;143011.14;1773.7
76;565250.4;143013.29;1776.14
539;565238.29;143010.91;1778.91
33;565234.25;143010.93;1778.33
198;565240.56;143007.29;1778.71
815;565229.77;143010.8;1777.26
803;565226.74;143010.38;1776.97
709;565222.79;143008.31;1777.82
726;565219.15;143005.86;1778.51
178;565217.05;143004.14;1779.95
364;565212.85;143002.57;1781.97
795;565208.35;143000.03;1785.49
757;565207.28;142998.93;1787.02
170;565211.4;142996.97;1787.89
690;565208.51;142996.34;1787.42
432;565205.94;142994.61;1787.47
767;565202.77;142992.08;1788.86
351;565199.56;142988.36;1792.43
188;565354.56;143036.1;1798.11
650;565348.85;143039.79;1806.7
526;565354.56;143036.1;1802.43
811;565358.66;143031.2;1802.73
610;565360.05;143029.01;1804.43
136;565356.61;143028.26;1811.69
527;565357.03;143024.87;1813.58
70;565353.99;143033.65;1810.26
125;565355.0;143024.42;1813.58
200;565355.01;143024.42;1818.79
521;565352.71;143023.61;1825.23
745;565355.15;143026.46;1817.63
377;565357.9;143022.3;1819.59
783;565356.18;143021.13;1823.99
669;565374.65;143052.23;1793.29
641;565372.44;143049.74;1791.91
436;565363.29;143044.94;1786.65
718;565356.44;143044.32;1790.01
631;565362.59;143048.65;1784.57
529;565353.78;143043.91;1790.14
480;565353.69;143042.26;1791.26
144;565351.4;143041.98;1792.84
552;565362.59;143048.65;1785.07
239;565290.08;143051.8;1753.25
443;565285.8;143051.48;1753.12
87;565284.25;143054.34;1752.12
739;565281.51;143056.09;1751.56
