from_id;to_id
334;58
58;676
58;697
58;111
676;796
676;35
111;879
111;290
796;751
35;290
751;159
751;772
159;689
772;551
689;327
689;688
689;18
327;179
688;652
18;508
179;0
179;509
0;172
509;818
509;248
172;864
172;860
864;510
864;248
864;854
860;669
510;16
854;86
854;36
16;511
511;601
511;541
601;793
541;119
541;723
793;148
148;142
142;492
142;181
492;816
181;434
816;880
880;528
528;395
551;60
60;72
72;668
668;886
668;164
886;548
548;800
119;621
723;188
723;650
621;649
818;762
762;841
762;117
841;727
117;237
727;887
727;352
879;266
266;163
163;602
602;7
602;281
7;45
7;388
281;652
45;743
388;86
743;887
352;287
434;217
434;634
217;280
634;190
280;557
557;399
557;171
399;534
399;595
171;239
534;585
595;614
585;61
61;204
204;93
93;263
93;648
263;105
105;530
530;150
150;666
666;787
787;476
787;76
476;539
76;320
539;33
539;198
33;815
198;321
815;803
803;709
709;726
726;178
178;364
364;795
795;757
757;170
170;690
690;432
432;767
767;351
188;526
650;842
650;654
526;811
811;610
610;136
136;527
136;70
527;125
70;842
70;891
125;200
200;521
200;745
200;377
521;783
745;357
377;543
783;100
669;641
641;436
436;718
436;631
718;529
631;552
529;480
480;144
239;443
443;87
87;739
739;453
453;667
667;338
338;620
620;600
620;642
600;439
642;6
439;227
439;141
227;299
141;368
299;556
556;628
628;618
618;462
462;469
469;269
269;457
457;493
493;596
596;318
318;53
53;714
714;129
129;484
484;765
765;470
470;693
693;837
837;583
583;162
162;839
839;645
645;145
145;126
126;201
201;55
55;659
659;883
883;22
22;369
369;636
636;228
228;769
769;831
831;238
238;829
238;10
829;540
10;760
540;30
30;226
226;461
461;195
195;251
251;801
251;663
801;807
663;118
807;11
11;124
124;506
506;878
878;161
161;579
579;330
330;94
652;313
313;212
212;629
36;339
190;640
640;323
323;23
23;662
662;563
563;213
213;482
482;244
244;73
244;776
73;49
73;233
776;231
49;590
233;255
590;474
474;88
474;343
88;774
343;255
343;473
774;576
774;819
774;826
576;222
576;291
819;463
826;288
222;763
222;304
291;589
255;74
473;558
287;209
209;683
683;862
862;894
894;400
400;214
214;817
842;398
891;398
654;418
357;444
444;418
418;622
622;754
622;75
622;881
754;257
881;413
543;95
95;235
235;24
24;57
57;471
100;475
475;331
331;382
382;447
447;884
447;415
884;608
884;220
415;549
608;660
608;165
220;154
660;532
165;397
532;311
311;186
186;14
186;675
14;56
675;426
549;131
131;427
427;472
154;410
410;85
410;289
85;460
289;597
460;452
452;537
537;349
349;681
681;121
597;827
397;425
425;533
56;867
867;193
867;830
867;617
193;679
193;591
830;833
830;25
617;780
679;160
591;876
160;806
806;180
180;218
218;89
89;356
356;823
823;319
319;231
319;348
319;48
348;34
348;329
348;781
48;442
6;707
707;396
396;559
559;256
256;494
494;197
197;888
888;5
321;149
149;367
367;673
673;630
630;635
635;843
843;490
490;836
836;553
553;594
594;682
876;592
592;173
173;822
173;734
822;797
734;314
797;431
431;577
577;69
69;301
301;458
458;59
59;882
882;616
616;849
849;625
625;766
833;268
25;847
268;258
258;898
898;62
62;872
872;865
865;390
390;130
390;401
130;202
401;191
202;701
202;572
701;483
701;104
572;812
483;804
104;729
804;424
424;54
54;243
54;278
243;116
278;639
116;312
312;336
312;809
336;416
809;702
416;605
605;568
568;326
568;678
326;361
326;802
678;802
361;341
341;824
824;375
375;118
191;92
191;633
92;637
633;300
633;223
637;569
569;42
42;64
64;598
598;344
344;421
421;573
573;582
582;370
370;717
717;741
300;26
223;808
26;517
517;738
738;606
606;152
152;828
828;724
724;464
464;713
713;353
353;651
651;296
296;609
609;486
486;619
486;567
619;832
567;720
832;29
29;428
428;555
555;542
542;498
498;17
17;371
371;584
584;27
27;889
808;134
808;359
134;422
812;216
216;71
216;704
71;350
71;732
704;120
350;113
113;798
798;647
647;82
647;507
82;51
82;435
507;2
51;385
435;680
385;732
639;562
562;516
516;785
785;379
379;835
835;692
692;284
284;182
182;799
799;519
799;564
519;561
564;661
561;478
478;386
386;677
508;566
566;748
748;694
694;174
174;788
788;402
788;376
402;253
376;339
376;430
253;122
122;208
208;611
611;417
417;270
270;221
270;850
221;245
850;138
245;419
419;644
644;485
485;499
499;789
499;308
789;232
789;554
308;612
138;325
325;387
387;275
275;467
467;522
430;342
430;698
342;317
698;750
317;571
571;381
381;306
306;232
232;332
