from_id;to_id
141;6
6;571
571;201
201;77
201;442
442;279
279;31
31;241
241;216
216;126
126;109
109;584
584;98
98;324
324;134
134;261
261;214
214;265
265;322
322;563
563;424
424;488
488;228
228;208
208;520
520;175
175;187
175;542
187;463
542;531
463;189
189;84
531;555
555;541
541;421
421;344
421;268
344;290
268;579
290;110
110;382
382;7
7;106
106;458
458;219
219;437
437;381
381;184
184;178
178;86
86;435
435;406
406;366
366;436
436;345
345;529
529;283
283;306
306;481
481;499
481;305
499;390
305;19
390;522
522;502
522;525
522;269
502;131
525;320
269;482
579;310
310;171
171;0
0;498
498;433
498;323
433;564
323;609
609;71
19;608
608;554
554;108
108;21
21;389
389;423
423;36
423;213
36;212
213;388
212;600
600;307
307;137
137;193
388;501
131;503
503;429
429;545
545;597
597;553
597;484
553;271
271;399
399;26
26;449
449;348
348;257
257;393
393;455
455;185
185;547
547;527
527;385
385;127
127;376
376;407
407;27
27;331
331;528
528;54
54;321
321;548
548;4
4;9
9;333
333;479
479;48
48;61
61;123
123;430
430;70
70;174
174;247
247;343
247;44
343;496
496;546
546;52
52;403
403;138
403;264
138;209
264;96
209;155
209;420
155;552
155;469
420;476
469;149
149;100
100;460
460;44
320;259
482;604
604;89
89;202
202;565
565;415
565;408
415;355
408;370
355;85
85;157
157;483
483;441
441;507
507;516
516;24
24;282
282;467
467;159
159;369
369;2
2;332
2;400
332;15
400;76
15;404
404;457
457;530
370;484
76;500
500;562
562;182
182;464
464;556
464;227
556;128
227;293
128;43
43;590
590;18
18;506
506;526
526;146
146;281
281;395
395;411
395;428
411;304
428;466
304;116
116;286
286;253
253;377
377;342
342;263
263;540
540;412
412;539
539;244
244;434
434;145
145;598
598;80
80;492
492;81
81;5
5;154
154;198
198;336
336;568
568;587
587;351
351;243
243;92
92;65
65;508
508;358
358;35
35;103
293;465
465;242
466;93
93;361
361;197
197;163
163;183
183;603
578;245
245;296
296;379
379;226
226;443
443;425
425;215
215;50
50;536
536;225
225;509
509;607
607;224
224;397
397;165
165;114
114;371
371;372
372;22
372;232
22;596
232;63
596;314
314;140
140;497
497;135
135;364
364;401
401;445
445;210
210;107
107;575
107;431
575;373
431;591
373;125
373;262
125;60
262;453
60;278
278;549
549;566
566;517
517;352
352;472
472;266
266;68
68;511
68;168
511;72
168;363
72;186
186;221
221;233
221;440
233;33
440;573
591;291
291;593
593;367
367;152
152;150
150;55
55;121
121;129
129;356
356;258
258;362
362;63
453;53
53;13
13;173
173;327
327;156
156;580
580;284
284;206
206;438
438;132
132;87
87;235
235;111
111;300
300;347
347;450
33;409
409;23
23;334
334;350
350;427
427;124
124;567
567;402
402;413
413;79
79;78
78;523
523;222
222;42
42;73
73;515
515;95
95;505
505;315
315;280
280;493
493;205
205;292
292;374
292;11
374;476
374;491
11;96
491;589
573;394
394;161
161;270
270;167
167;339
339;299
339;164
299;326
164;446
326;229
229;177
177;514
514;594
594;518
518;392
392;592
592;444
444;357
357;25
25;56
56;582
582;368
368;570
570;451
451;252
252;461
461;471
471;494
494;82
82;288
288;246
288;325
246;194
325;181
194;234
234;410
410;610
610;346
346;605
605;272
272;267
267;416
416;298
298;311
298;160
311;349
160;199
349;581
581;97
97;577
577;418
418;422
422;574
574;139
139;273
273;217
217;162
162;158
158;468
468;204
204;188
188;17
17;39
39;117
117;289
289;396
396;256
256;478
256;3
478;3
3;405
405;462
462;308
462;59
308;383
59;521
446;90
90;386
386;534
534;130
130;337
337;319
319;489
489;317
317;477
477;454
454;490
490;14
14;1
14;223
1;223
223;74
223;29
74;572
572;29
29;40
40;456
456;199
181;45
45;147
147;519
519;179
179;459
459;313
313;480
480;335
335;144
144;276
276;448
448;113
113;561
561;447
447;312
312;133
133;57
57;524
524;91
91;557
557;583
583;254
254;485
485;543
543;601
601;62
62;340
340;75
75;285
285;46
46;69
69;112
383;510
510;354
354;51
51;104
104;64
64;569
569;203
203;398
398;439
439;595
595;32
32;101
101;512
512;255
255;237
237;513
513;190
190;360
360;275
275;172
172;38
38;231
231;10
10;94
94;240
240;34
34;49
49;230
230;180
180;606
606;487
487;338
338;83
83;191
191;105
105;294
294;387
387;238
238;585
585;576
576;359
359;297
297;295
521;470
470;20
470;432
20;432
20;551
432;417
551;318
417;274
274;249
249;375
249;353
375;66
353;329
66;287
287;196
196;170
170;16
16;473
473;602
602;550
550;380
380;166
166;115
115;544
544;378
378;148
148;102
102;535
535;30
30;537
537;122
122;143
143;260
260;151
151;176
176;474
474;558
558;58
58;153
153;316
316;8
8;303
303;391
391;559
559;236
236;532
532;538
538;341
341;120
120;211
211;384
384;475
475;47
47;414
47;250
414;37
250;426
426;588
588;452
452;419
419;220
220;495
495;207
207;504
504;99
99;28
318;41
41;301
301;88
88;169
169;330
330;136
136;200
136;329
200;599
329;195
599;586
586;277
277;486
486;239
195;309
309;365
365;192
192;142
142;533
533;67
67;328
328;12
363;302
589;218
