id;x;y;z
8;578280.0;236270.0;975.0
11;578271.88;236266.34;969.44
13;578271.88;236266.34;962.54
19;578271.88;236266.34;962.24
5;578274.09;236264.57;958.74
7;578272.03;236265.0;955.36
25;578271.51;236265.1;954.52
21;578269.43;236265.53;951.12
17;578268.88;236264.39;947.99
32;578267.88;236261.99;945.47
27;578269.36;236258.18;943.48
15;578270.65;236257.72;942.87
23;578272.14;236257.18;942.17
16;578272.14;236257.18;940.72
6;578272.14;236257.18;944.97
3;578274.31;236256.93;939.13
10;578274.31;236256.93;938.13
28;578274.31;236256.93;933.91
30;578275.31;236255.61;932.66
29;578276.27;236251.85;930.6
12;578277.51;236251.2;929.69
22;578277.51;236251.2;925.99
4;578278.93;236249.52;924.61
18;578281.37;236245.51;920.68
31;578281.71;236244.32;918.45
26;578285.18;236241.01;911.85
14;578286.09;236239.57;909.75
20;578288.94;236237.11;906.23
2;578289.06;236236.22;903.77
1;578289.41;236235.08;901.69
24;578290.17;236234.91;901.49
0;578272.89;236259.53;946.69
9;578272.89;236259.53;951.19
