id;x;y;z
3224;550215.1;5997957.72;412.64
1666;550212.62;5997959.32;411.86
2243;550213.92;5997958.48;412.99
2055;550215.3;5997955.83;415.69
3788;550217.41;5997954.51;412.26
2089;550211.31;5997961.7;412.32
2270;550724.32;5997931.69;449.13
4555;550722.1;5997931.19;449.15
4650;550727.2;5997930.74;449.13
437;550720.91;5997927.88;449.31
523;550720.06;5997926.6;449.51
917;550720.87;5997924.68;449.56
207;550721.02;5997922.15;449.63
200;550722.0;5997927.02;449.43
1039;550721.02;5997922.15;451.06
2325;550722.13;5997920.37;452.11
250;550672.4;5998032.24;427.51
2405;550669.33;5998031.71;428.85
662;550672.94;5998034.9;427.54
1502;550671.73;5998028.69;427.15
4976;550668.08;5998030.83;429.07
843;550666.73;5998031.42;429.95
4643;550664.82;5998029.04;429.84
712;550662.51;5998029.46;430.96
2531;550663.17;5998029.19;430.32
3518;550672.69;5998035.08;430.75
4403;550672.96;5998037.68;431.45
1174;550677.93;5998039.52;431.46
5146;550679.36;5998038.51;431.61
2827;550685.36;5998036.14;431.73
957;550691.18;5998037.19;431.47
1820;550696.72;5998035.84;431.48
1209;550706.13;5998028.44;431.87
1509;550710.33;5998020.45;432.09
3511;550709.27;5998021.95;432.64
3670;550708.44;5998020.16;438.76
3117;550705.6;5998018.28;436.39
182;550707.25;5998017.11;436.64
1292;550707.05;5998015.62;437.03
94;550705.37;5998014.31;436.93
4198;550706.02;5998010.66;437.71
1047;550708.08;5998009.38;437.19
2844;550716.68;5998004.83;437.09
3608;550732.04;5997991.4;437.59
567;550733.59;5997988.13;437.33
2484;550736.11;5997986.53;437.58
1146;550742.12;5997979.48;438.36
748;550749.69;5997973.39;438.46
771;550753.33;5997969.79;440.86
194;550756.82;5997966.82;440.33
2490;550756.4;5997967.08;442.85
2016;550757.59;5997966.38;444.08
4701;550764.06;5997960.39;450.23
687;550765.01;5997961.11;450.26
5284;550766.04;5997959.97;457.9
3667;550765.54;5997960.51;457.92
361;550662.71;5998027.7;427.08
942;550659.82;5998029.02;427.04
5153;550663.47;5998027.83;426.87
982;550660.34;5998029.68;427.14
1231;550658.55;5998028.77;426.95
5161;550659.41;5998028.99;426.34
2128;550663.42;5998026.91;427.07
2359;550664.18;5998027.38;426.88
3036;550665.31;5998027.67;425.53
623;550665.61;5998028.69;426.32
275;550668.59;5998028.17;427.41
341;550670.58;5998029.03;427.24
2256;550657.87;5998027.67;427.12
721;550657.11;5998031.97;426.73
4484;550658.41;5998031.54;427.01
3139;550659.9;5998025.0;427.22
1613;550659.47;5998024.08;427.02
2662;550660.63;5998023.66;427.31
2388;550660.51;5998022.86;427.55
2071;550660.91;5998022.7;427.55
2821;550662.27;5998022.78;429.04
4161;550662.71;5998022.47;430.1
1626;550663.77;5998022.83;430.56
5182;550661.96;5998024.16;430.97
3783;550647.55;5998039.13;411.17
910;550645.66;5998040.49;411.92
1806;550650.61;5998035.18;411.22
3380;550644.38;5998042.72;411.43
743;550646.27;5998040.35;416.89
324;550644.98;5998040.89;420.24
4388;550644.7;5998041.55;399.77
4458;550648.59;5998037.05;418.53
2589;550651.34;5998037.31;419.16
2639;550654.72;5998034.76;425.48
1569;550654.46;5998032.89;426.53
5004;550653.71;5998032.71;410.95
3245;550654.36;5998033.34;415.12
3250;550660.33;5998028.28;416.14
1288;550643.08;5998042.49;411.33
2236;550638.6;5998042.72;403.37
779;550646.61;5998038.07;402.33
2348;550639.5;5998046.74;403.68
4827;550636.17;5998049.15;409.51
3306;550646.69;5998041.9;400.15
541;550651.0;5998034.67;397.39
1594;550636.63;5998050.55;403.93
4194;550660.47;5998030.18;427.07
719;550661.13;5998030.73;427.34
5358;550661.82;5998029.34;428.4
143;550661.41;5998029.69;427.28
1096;550660.41;5998029.67;427.39
3065;550722.13;5997920.37;451.39
1071;550316.22;5997660.85;334.5
1556;550314.55;5997657.2;334.85
2221;550315.89;5997660.54;333.86
4009;550317.78;5997660.31;333.45
1511;550318.42;5997661.34;333.38
5129;550313.99;5997650.9;336.58
3604;550311.58;5997649.16;337.08
1689;550311.4;5997646.72;337.73
