from_id;to_id
1024;605
605;563
563;662
662;659
659;1093
1093;263
1093;905
263;895
905;679
895;371
371;611
611;177
679;214
214;501
214;651
214;781
501;271
501;94
651;276
781;42
271;233
233;1069
1069;681
1069;475
1069;135
681;143
681;844
475;356
135;94
143;874
844;185
874;292
874;786
292;730
730;931
730;700
931;565
700;724
700;311
565;833
833;125
125;822
822;370
370;46
46;97
97;820
820;196
820;255
196;902
196;892
255;124
902;968
968;140
968;107
140;1025
107;289
1025;1076
1025;596
1076;393
393;765
765;247
247;840
840;1092
1092;819
819;141
141;536
536;341
536;926
341;234
926;919
234;51
51;473
473;160
160;281
281;20
20;908
908;152
152;906
906;408
408;873
873;4
4;772
772;1097
1097;173
173;175
175;980
980;399
980;1100
399;807
1100;98
807;610
610;1107
1107;506
506;771
771;364
364;558
558;970
970;145
970;437
970;219
145;582
582;433
433;992
992;34
34;721
721;852
852;837
837;922
922;691
691;944
944;903
903;57
57;588
588;604
604;108
108;789
789;1057
1057;210
210;667
667;5
667;75
5;424
75;276
424;593
593;1013
1013;703
703;146
703;1104
146;267
267;95
95;712
712;774
774;493
493;608
608;965
608;425
965;528
965;845
528;815
845;626
845;343
815;77
815;243
77;541
98;227
227;137
137;56
56;1054
1054;256
1054;1031
256;484
1031;546
484;1063
1063;990
1063;220
990;1067
220;21
1067;971
971;694
694;917
917;823
823;72
823;848
848;748
748;617
748;338
617;91
338;615
91;183
183;557
557;415
415;1038
1038;1059
1059;363
363;354
363;195
354;573
195;1105
573;936
936;410
410;204
204;464
464;237
237;85
237;201
85;760
201;1066
760;893
893;531
893;184
531;2
184;621
2;480
480;120
120;1087
1087;566
566;685
685;1090
1090;156
156;466
466;607
607;953
953;627
627;300
300;460
460;307
307;417
417;465
465;50
50;381
381;731
731;883
731;715
715;907
907;445
445;430
430;847
847;791
791;795
795;1070
1070;1051
1051;390
390;592
592;38
38;1039
1039;1026
1026;180
180;834
834;942
942;166
166;526
526;523
523;1014
1014;896
896;62
62;1008
1008;714
714;89
89;734
734;1110
1110;914
914;647
647;824
824;720
621;1066
615;21
546;1030
1030;8
8;733
733;483
483;633
633;916
916;321
321;925
925;346
346;435
435;1064
