id;cswidth;csheight
1024;16.12;2.79
605;4.48;2.11
563;7.66;6.65
662;5.82;1.63
659;5.31;4.19
1093;3.85;3.85
263;14.26;11.02
905;0.41;2.51
895;2.53;1.49
371;0.3;0.85
611;5.35;1.86
177;3.37;0.74
679;0.93;2.28
214;3.37;3.37
501;2.66;1.41
651;5.8;4.5
781;1.88;7.63
271;1.12;0.91
233;3.19;0.75
1069;1.84;1.84
681;2.16;2.16
475;1.24;0.94
135;3.77;0.84
143;2.4;1.51
844;3.02;0.74
874;2.94;2.94
292;3.8;1.65
786;1.24;0.85
730;4.69;4.69
931;2.31;2.6
700;6.01;6.01
565;3.84;2.56
833;7.06;4.59
125;9.97;3.63
822;5.94;3.07
370;5.38;6.91
46;3.29;6.08
97;1.49;8.71
820;4.34;4.34
196;5.73;5.73
255;1.17;8.97
902;1.94;8.67
968;3.09;3.09
140;5.1;8.73
107;0.34;3.73
1025;2.05;2.05
1076;2.16;0.69
596;2.5;8.9
393;4.37;0.76
765;0.71;0.76
247;6.81;1.16
840;3.77;1.13
1092;3.31;1.53
819;0.51;1.36
141;1.4;1.78
536;3.25;3.25
341;9.77;1.87
926;5.55;1.86
234;6.92;1.88
51;7.3;1.85
473;7.93;5.0
160;5.18;5.06
281;5.25;1.11
20;4.09;0.97
908;4.2;1.03
152;5.58;1.73
906;3.4;1.6
408;5.67;1.49
873;3.67;2.08
4;5.99;1.22
772;2.94;1.32
1097;6.17;3.48
173;1.89;3.87
175;6.3;2.55
980;2.76;2.76
399;0.16;1.45
1100;7.18;2.47
807;8.33;2.27
610;5.94;5.45
1107;8.07;2.83
506;8.36;4.26
771;6.71;3.56
364;0.7;3.53
558;6.4;1.44
970;3.18;3.18
145;4.27;0.59
219;2.98;1.2
582;2.73;0.58
433;4.47;0.74
992;4.8;1.67
721;7.35;1.04
852;4.59;1.39
837;4.41;1.33
922;1.41;1.13
691;2.17;1.25
944;2.72;0.99
903;1.23;1.54
57;0.96;1.7
588;1.62;0.96
604;1.4;0.78
108;2.48;0.86
789;2.3;0.9
210;1.36;1.12
667;3.34;3.34
5;4.48;1.26
75;2.32;4.68
424;6.53;1.37
593;3.75;0.71
1013;3.17;0.8
703;1.65;1.65
146;3.62;1.03
267;5.65;1.13
95;7.36;1.34
712;6.26;1.57
774;5.02;0.98
493;6.95;2.78
608;1.85;1.85
965;2.47;2.47
425;1.02;0.15
528;3.94;0.96
845;1.39;1.39
815;3.96;3.96
77;0.62;1.01
243;1.17;0.28
276;2.17;0.91
98;12.16;4.55
227;11.61;8.74
137;12.03;3.55
56;21.64;2.31
1054;2.64;2.64
256;5.38;3.32
1031;7.74;2.79
484;4.61;1.84
1063;1.77;1.77
990;0.68;0.82
220;4.06;1.04
1067;0.16;1.3
971;2.18;1.79
694;0.92;2.36
917;1.41;2.28
823;1.23;1.23
748;1.88;1.88
617;6.02;2.44
338;3.34;2.92
91;4.98;2.03
183;4.69;1.57
557;3.9;2.16
415;6.15;2.54
1038;4.92;2.52
363;3.77;3.77
354;3.78;1.83
195;3.75;1.74
573;6.34;1.83
936;4.23;2.92
410;4.7;1.89
204;16.15;2.71
464;4.49;1.88
237;1.49;1.49
85;0.48;2.7
201;2.79;2.38
760;1.45;2.17
893;2.28;2.28
531;6.81;5.38
2;0.19;2.08
480;12.12;3.57
120;4.73;2.55
1087;0.74;1.82
566;4.11;9.47
685;4.57;1.26
1090;3.42;2.5
156;10.71;1.89
466;5.03;1.2
607;3.08;3.82
953;2.09;1.07
627;1.99;1.14
300;1.99;1.23
460;3.93;2.57
307;1.43;2.32
417;7.0;3.46
465;4.5;4.78
50;4.0;6.21
381;4.73;10.61
731;3.11;3.11
883;1.77;2.53
445;3.43;3.52
430;3.66;2.89
847;2.51;1.05
791;3.27;2.5
795;3.16;2.97
1070;3.43;1.99
1051;0.07;1.76
390;2.2;2.61
621;1.32;2.71
1066;1.26;1.74
1105;2.22;1.15
615;0.81;2.94
21;2.36;1.85
546;6.38;1.74
1030;3.98;3.32
8;5.0;2.65
733;4.46;2.46
483;7.11;3.46
633;8.6;2.58
916;4.82;4.37
321;1.32;0.66
925;3.13;3.93
346;3.83;2.08
435;5.8;3.49
1064;3.84;2.44
333;3.41;9.05
116;2.66;3.8
948;5.28;6.45
58;3.28;5.79
264;5.48;2.87
362;2.1;5.55
199;6.75;1.99
710;4.75;2.56
716;6.5;1.21
1088;8.58;3.44
361;3.36;2.22
782;3.7;1.29
320;3.38;1.17
923;5.59;1.32
524;9.29;5.53
797;4.61;1.77
342;0.71;1.59
707;9.76;2.85
260;2.1;2.1
856;2.29;8.31
157;3.6;2.4
645;4.27;2.85
1089;4.99;1.84
780;4.26;5.1
1077;1.66;2.0
1095;0.31;1.49
1094;4.48;1.13
641;3.0;0.91
816;2.01;1.05
396;1.86;0.73
688;2.27;0.93
310;3.75;1.0
551;2.2;2.14
684;2.26;0.82
924;2.85;0.46
919;18.23;7.43
297;4.74;4.74
996;21.47;3.39
19;8.82;3.61
368;20.06;3.05
860;6.3;6.3
827;1.89;4.88
222;2.11;6.62
129;2.83;3.51
801;2.14;2.14
872;0.17;1.3
503;2.93;1.61
1101;0.17;0.82
769;2.07;2.07
727;4.06;4.06
268;11.07;2.02
657;4.4;2.55
1049;5.11;1.84
943;8.36;2.06
665;2.18;0.56
322;0.52;1.74
518;2.02;0.6
330;0.15;0.49
216;2.83;3.09
382;1.46;1.46
646;2.54;14.62
178;2.98;4.69
471;1.36;1.36
762;1.59;1.43
982;0.16;1.66
299;3.28;1.14
76;3.54;0.86
497;1.66;0.78
879;1.24;0.77
972;4.42;2.68
783;2.22;1.62
403;2.86;2.38
625;2.69;1.28
744;2.51;0.39
959;3.25;0.53
884;3.97;2.68
455;6.33;2.81
110;9.07;9.19
867;14.99;2.6
334;6.28;6.28
344;5.62;5.62
818;8.94;0.99
179;11.61;2.14
741;11.74;1.98
567;7.74;1.26
682;5.18;1.51
421;9.25;5.12
191;11.59;4.14
1009;8.6;4.31
991;3.46;4.16
863;3.59;3.59
738;11.09;2.47
889;4.6;1.38
294;11.35;3.07
229;5.31;2.46
291;1.82;4.75
45;4.59;1.96
252;3.95;1.42
39;3.22;4.33
128;5.44;3.16
773;9.33;3.73
574;14.14;6.01
355;8.25;7.44
868;9.7;5.71
869;8.23;5.63
964;11.02;1.79
628;5.67;1.67
568;5.73;1.17
589;4.91;0.26
377;4.28;2.38
43;3.67;14.75
486;1.69;8.26
973;3.53;7.83
154;3.04;7.65
6;1.23;6.11
312;3.27;0.24
642;0.7;2.8
977;6.87;7.99
669;1.36;9.32
416;8.29;8.29
724;3.19;3.19
927;5.45;1.7
1081;0.31;1.66
259;6.5;1.16
690;5.7;3.77
426;0.81;2.54
198;0.78;1.41
811;5.0;3.87
31;2.27;1.93
1052;3.67;3.12
