id;x;y;z
1024;575141.17;6004254.61;219.0
605;575159.32;6004255.02;217.08
563;575161.98;6004254.06;215.83
662;575168.53;6004247.6;215.45
659;575166.36;6004240.74;214.27
1093;575168.21;6004235.29;212.14
263;575162.81;6004231.6;213.06
905;575178.87;6004229.08;211.74
895;575150.71;6004224.19;212.47
371;575146.32;6004224.67;213.22
611;575140.67;6004222.12;212.74
177;575138.27;6004226.22;213.03
679;575176.58;6004224.98;210.86
214;575182.35;6004218.95;210.62
501;575183.17;6004215.52;209.43
651;575188.88;6004220.96;211.11
781;575173.96;6004217.95;208.91
271;575183.05;6004214.55;209.03
233;575182.52;6004212.34;208.83
1069;575186.64;6004212.01;209.0
681;575181.93;6004207.88;208.4
475;575188.23;6004209.41;208.66
135;575184.9;6004214.17;208.23
143;575184.84;6004206.23;208.23
844;575181.24;6004213.54;209.04
874;575184.53;6004203.57;207.72
292;575189.43;6004198.21;207.16
786;575188.01;6004203.48;207.41
730;575189.64;6004195.85;204.02
931;575196.93;6004193.77;208.44
700;575181.59;6004194.02;202.95
565;575198.15;6004193.35;210.15
833;575201.33;6004191.54;211.7
125;575205.48;6004181.84;209.7
822;575206.15;6004175.42;210.7
370;575209.1;6004166.95;210.56
46;575208.56;6004162.01;209.92
97;575210.12;6004157.36;207.72
820;575212.68;6004154.76;207.38
196;575211.11;6004147.22;204.53
255;575213.42;6004156.61;206.76
902;575213.48;6004143.93;201.34
892;575211.13;6004144.65;201.71
968;575215.18;6004138.43;198.4
140;575211.56;6004138.62;197.16
107;575216.43;6004136.15;197.99
1025;575214.63;6004131.28;195.71
1076;575218.28;6004128.36;195.15
596;575215.39;6004129.04;197.57
393;575219.43;6004126.41;195.03
765;575222.2;6004123.8;194.4
247;575223.92;6004123.35;194.27
840;575225.1;6004116.55;193.3
1092;575228.94;6004113.36;193.12
819;575230.37;6004113.88;193.19
141;575231.02;6004111.28;192.93
536;575229.37;6004108.53;191.57
341;575234.16;6004110.43;191.81
926;575223.74;6004104.88;190.24
234;575237.62;6004117.45;193.08
51;575243.92;6004120.52;194.22
473;575251.71;6004121.47;194.51
160;575259.73;6004122.65;195.15
281;575258.63;6004127.05;195.54
20;575260.65;6004129.25;195.86
908;575265.55;6004130.23;196.19
152;575268.6;6004131.98;196.64
906;575269.45;6004134.98;197.52
408;575267.6;6004139.22;198.01
873;575265.1;6004141.49;198.34
4;575261.11;6004144.42;198.78
772;575261.26;6004146.6;199.19
1097;575264.15;6004151.56;199.51
173;575262.55;6004152.4;201.37
175;575263.26;6004157.7;204.32
980;575262.13;6004165.15;203.55
399;575259.71;6004165.73;204.88
1100;575266.16;6004168.35;204.36
807;575259.35;6004167.46;204.15
610;575251.89;6004169.41;204.68
1107;575248.45;6004170.23;204.33
506;575242.92;6004170.04;205.07
771;575237.96;6004171.09;204.86
364;575235.7;6004174.78;204.97
558;575231.4;6004175.88;204.01
970;575222.82;6004174.36;203.59
145;575225.14;6004181.25;203.7
437;575217.81;6004178.73;210.52
219;575222.85;6004169.74;202.04
582;575227.76;6004181.15;203.64
433;575226.06;6004188.19;204.64
992;575221.79;6004187.99;204.65
34;575219.44;6004187.98;204.3
721;575216.84;6004191.67;204.92
852;575212.96;6004195.61;205.58
837;575213.64;6004200.6;206.46
922;575212.76;6004204.39;207.32
691;575211.25;6004204.43;206.29
944;575208.9;6004205.53;206.45
903;575207.37;6004208.25;207.07
57;575207.03;6004208.54;208.19
588;575205.35;6004208.89;208.31
604;575204.5;6004210.83;208.2
108;575201.51;6004209.41;208.22
789;575200.7;6004213.4;209.03
1057;575202.1;6004213.74;209.24
210;575202.22;6004215.48;210.58
667;575195.2;6004212.78;210.28
5;575201.81;6004215.39;210.48
75;575194.45;6004215.33;210.95
424;575206.29;6004216.24;210.43
593;575208.17;6004221.2;210.77
1013;575210.44;6004223.44;211.05
703;575211.85;6004230.25;211.82
146;575209.56;6004232.95;212.06
1104;575213.56;6004230.54;212.28
267;575210.81;6004237.12;212.97
95;575206.33;6004241.27;213.51
712;575207.91;6004249.49;215.07
774;575207.28;6004252.45;215.39
493;575203.65;6004252.57;215.12
608;575202.82;6004257.05;215.46
