id;cswidth;csheight
464;0.74;0.74
628;0.58;1.42
262;0.81;0.81
710;0.44;0.78
210;0.51;0.83
179;0.76;1.3
281;0.26;0.89
200;0.15;1.3
511;0.17;0.49
85;0.31;1.1
318;0.53;1.0
692;0.73;1.5
22;0.61;1.47
725;0.71;1.14
751;0.34;0.87
37;0.6;1.54
43;0.81;0.58
15;0.74;0.74
446;0.66;0.66
522;1.11;1.3
138;0.13;1.27
233;0.28;0.87
624;0.17;0.81
626;1.08;1.97
649;0.52;0.52
571;0.36;1.4
527;0.29;0.59
67;0.46;1.08
731;0.19;1.1
752;0.19;0.99
180;0.56;1.2
397;0.63;0.97
588;0.51;1.18
424;0.29;1.29
661;0.26;1.49
497;0.2;0.96
569;0.19;1.37
304;0.55;0.55
328;0.48;0.48
98;0.7;0.7
462;0.49;0.49
59;0.73;0.98
157;0.41;0.41
74;0.31;1.1
646;0.36;0.36
515;0.23;0.79
370;0.22;0.57
541;0.8;0.2
520;0.95;0.95
399;1.1;1.1
168;0.25;0.25
431;0.8;0.8
670;0.74;0.74
552;0.34;0.64
447;0.65;0.37
402;1.2;1.2
231;0.44;1.28
398;1.78;1.78
453;0.29;0.29
160;0.76;0.76
430;1.97;1.97
427;0.52;0.52
728;1.8;1.8
476;1.36;1.36
423;1.11;1.11
261;1.87;3.91
3;1.5;3.79
676;1.29;1.93
738;0.86;0.86
466;0.89;0.89
717;0.4;0.4
564;0.72;0.72
736;0.4;0.38
393;0.09;1.07
663;0.29;1.32
267;0.19;0.8
40;0.3;1.32
457;0.6;0.6
664;0.59;0.59
31;0.55;0.55
273;0.61;0.61
573;0.53;0.53
158;0.67;0.67
195;0.45;0.45
409;0.67;0.67
316;0.16;1.48
625;0.51;0.51
539;0.11;0.6
23;0.43;0.43
165;0.56;0.56
651;0.49;0.49
724;0.49;0.49
606;0.61;0.61
720;0.3;0.2
340;0.5;1.0
598;0.56;0.56
225;0.26;1.04
20;0.4;0.95
336;1.39;0.75
280;0.76;0.66
209;0.92;0.92
750;1.48;1.71
275;0.54;0.65
530;1.23;1.03
680;1.06;1.06
185;0.56;1.05
