from_id;to_id
464;628
464;262
464;710
464;210
628;179
262;676
262;466
262;717
710;455
210;644
179;281
281;200
200;511
511;85
85;318
318;692
692;22
22;725
725;751
751;37
37;43
43;15
15;446
15;522
15;81
446;564
446;736
446;393
522;26
138;233
138;624
233;626
624;724
626;649
626;83
649;571
649;527
571;67
67;731
731;752
752;180
180;397
397;588
588;424
424;661
661;304
497;569
497;304
569;328
304;225
304;20
328;98
328;462
328;59
98;157
98;59
462;732
462;135
157;74
157;646
74;515
646;744
646;247
515;370
370;541
520;399
399;431
399;670
399;552
399;447
168;65
431;402
431;231
670;580
670;493
552;435
447;178
402;398
402;453
402;160
231;410
398;430
398;427
453;427
453;613
160;525
160;207
160;730
430;728
430;476
427;356
728;423
728;261
728;3
476;557
476;53
476;721
423;676
423;738
261;615
3;408
738;673
738;494
466;187
466;1
717;203
717;599
564;663
564;267
564;40
393;81
663;457
40;380
457;664
457;31
664;273
664;573
31;687
31;199
273;158
273;195
573;7
573;687
158;409
158;316
195;746
195;481
409;625
409;539
409;23
316;144
625;165
625;651
539;634
23;651
23;144
165;724
165;606
651;163
724;720
724;340
724;598
606;198
606;269
340;12
598;55
598;122
598;198
225;699
336;280
280;209
209;750
209;275
750;530
275;216
530;680
680;185
680;80
185;712
80;313
80;587
712;126
712;509
126;188
126;105
509;426
509;543
509;272
509;60
188;394
188;449
188;694
105;60
105;449
394;27
394;323
449;349
694;61
27;557
323;500
557;705
705;248
705;721
53;356
721;159
187;518
1;414
1;505
518;68
518;173
68;366
68;538
173;414
366;111
538;34
538;468
111;535
111;34
535;293
535;586
34;211
293;164
586;629
164;2
164;344
2;429
344;747
429;554
554;693
693;14
14;544
544;339
339;26
591;361
591;374
361;199
374;249
199;369
211;590
211;332
211;417
211;0
590;333
590;508
332;477
332;319
417;508
0;508
0;367
0;537
333;118
333;56
508;363
508;64
118;268
56;747
268;137
137;119
137;93
137;141
119;21
119;444
93;631
93;66
141;21
21;709
21;711
21;617
709;345
709;671
711;11
617;406
345;249
345;357
249;582
357;701
357;11
582;718
631;354
66;683
354;363
64;421
367;565
367;477
367;241
537;35
537;627
565;351
565;477
477;337
241;177
351;375
351;58
375;437
58;46
58;641
58;490
437;654
437;387
654;96
654;302
387;270
96;612
96;274
96;277
302;250
612;463
612;265
274;162
277;174
463;733
463;130
463;753
265;72
733;659
733;276
733;485
130;593
753;162
659;377
276;459
276;485
485;581
377;49
49;271
271;400
271;32
32;545
667;621
667;584
667;601
667;36
621;348
584;662
584;201
584;578
36;255
348;556
348;201
348;479
556;685
556;729
201;513
201;338
479;655
685;88
729;338
729;151
426;662
426;60
426;152
272;87
272;208
60;578
60;255
662;38
662;513
152;208
152;220
38;220
513;682
545;459
545;100
100;266
581;114
114;224
224;593
593;636
636;69
636;162
69;434
434;311
311;260
732;143
732;325
135;418
143;245
143;107
143;652
143;91
325;744
325;317
245;204
245;600
245;415
107;204
107;652
652;254
91;167
204;183
204;737
204;600
600;669
415;385
183;404
183;312
737;315
737;312
404;440
312;422
440;228
228;227
228;422
227;619
227;474
227;186
619;86
619;222
474;603
474;689
474;186
186;155
186;324
86;650
86;215
86;589
222;132
650;713
650;679
650;603
215;679
215;73
589;202
713;704
713;519
713;647
679;28
679;607
679;401
603;50
704;310
704;401
704;335
704;89
519;492
647;707
310;6
310;75
310;146
401;335
401;492
335;355
335;77
89;739
6;533
6;396
6;236
75;355
146;657
533;499
533;396
396;79
236;695
236;657
236;637
499;524
499;252
499;253
499;726
524;698
524;252
252;740
253;695
726;695
726;568
698;65
698;716
698;441
65;123
65;286
716;740
716;123
716;594
441;568
286;568
286;292
468;46
468;337
468;414
46;414
337;319
641;451
490;234
451;140
451;270
140;595
140;684
140;9
270;174
270;501
595;212
595;501
684;234
9;615
9;320
212;526
526;259
526;382
259;615
259;213
259;104
382;174
213;150
213;214
104;169
150;389
150;563
214;287
389;639
563;735
639;392
392;411
392;745
255;349
177;472
177;284
177;640
177;627
472;548
284;250
640;35
548;63
548;181
181;238
583;257
583;238
257;35
257;334
334;703
169;734
169;456
734;301
456;622
301;534
534;648
648;566
648;294
648;113
294;226
113;283
226;192
192;419
419;329
283;149
320;256
287;486
486;735
486;551
735;516
735;29
551;29
516;156
29;13
156;240
156;559
240;743
240;133
559;297
743;139
133;368
297;696
696;347
347;445
347;193
445;623
193;547
703;632
632;54
54;47
47;597
597;172
172;727
208;243
243;285
285;495
495;258
258;175
175;313
175;386
587;127
220;41
682;338
747;314
683;196
196;491
349;372
372;82
455;629
701;102
701;218
11;406
218;246
406;136
613;298
298;16
16;110
16;117
110;660
110;723
117;749
723;264
749;248
159;408
159;494
580;602
580;147
493;410
493;264
602;596
315;452
315;371
452;132
371;202
