id;x;y;z
1133;531667.0;4847860.0;448.0
260;531668.77;4847864.35;446.61
642;531671.71;4847862.81;444.05
929;531676.88;4847863.45;444.72
493;531669.96;4847859.2;444.79
566;531683.87;4847863.95;441.71
420;531686.37;4847856.39;441.2
1029;531690.3;4847855.43;442.33
1987;531688.89;4847843.04;440.09
170;531693.28;4847854.93;442.39
29;531695.96;4847855.62;443.77
686;531697.6;4847855.48;445.43
1012;531698.8;4847859.45;446.76
691;531697.58;4847863.45;445.72
1490;531696.56;4847865.58;444.08
142;531697.59;4847867.74;443.84
374;531696.51;4847869.93;443.49
1296;531697.37;4847871.84;443.3
138;531685.56;4847825.14;439.12
1726;531684.72;4847821.33;437.84
1157;531676.44;4847819.06;440.88
850;531695.76;4847823.88;436.34
1992;531677.4;4847813.25;438.92
434;531697.72;4847836.58;435.63
1793;531703.53;4847832.54;434.68
21;531707.75;4847830.73;434.57
1474;531708.69;4847838.47;434.14
484;531720.64;4847831.06;435.13
1300;531712.23;4847847.67;430.63
577;531703.49;4847843.56;429.58
1421;531697.49;4847836.61;435.51
1520;531698.6;4847849.44;426.24
491;531692.87;4847841.02;433.52
1335;531690.7;4847843.54;432.29
197;531689.72;4847845.22;431.09
1356;531688.83;4847847.89;430.52
1163;531689.51;4847850.14;429.81
2005;531685.18;4847855.71;427.62
428;531681.73;4847859.46;428.12
265;531670.74;4847858.33;426.79
324;531668.09;4847859.8;427.25
66;531665.58;4847861.46;430.7
146;531661.77;4847861.91;429.79
742;531660.24;4847864.87;426.53
821;531655.17;4847869.27;426.16
13;531653.01;4847871.24;425.43
1995;531652.12;4847874.6;425.19
1989;531643.97;4847877.68;424.98
1401;531695.88;4847852.69;426.88
1929;531692.91;4847856.55;426.25
1791;531689.92;4847859.02;426.61
115;531690.09;4847858.88;425.53
1372;531687.77;4847859.99;424.17
1762;531729.05;4847832.56;432.12
782;531732.23;4847834.03;432.14
773;531730.58;4847838.72;430.28
1562;531739.15;4847816.3;437.96
1140;531745.25;4847801.72;441.1
101;531748.31;4847793.39;442.72
1038;531747.74;4847796.29;440.7
1079;531754.63;4847784.73;444.52
675;531750.54;4847795.33;437.54
1454;531752.56;4847792.6;437.67
2029;531754.23;4847785.52;436.55
1576;531755.14;4847794.02;433.53
930;531756.22;4847775.24;444.99
1759;531767.79;4847811.69;422.63
1508;531780.41;4847829.19;420.44
1834;531788.31;4847841.41;420.32
1336;531782.87;4847837.96;420.27
966;531800.0;4847851.73;412.98
1453;531778.58;4847838.87;420.63
588;531778.25;4847838.66;417.64
1965;531774.09;4847834.67;416.19
19;531770.32;4847833.25;415.61
1226;531768.41;4847832.03;414.47
205;531764.0;4847830.3;416.52
1766;531760.49;4847827.71;416.47
1479;531758.69;4847829.6;416.39
1634;531759.31;4847831.6;415.93
168;531756.24;4847832.53;414.79
848;531756.08;4847835.79;415.29
1620;531753.23;4847836.15;410.69
1237;531753.02;4847837.17;409.59
355;531747.63;4847839.72;408.91
582;531745.13;4847839.68;408.57
1696;531741.72;4847837.6;408.26
310;531738.84;4847834.91;408.32
647;531738.95;4847834.11;407.25
183;531733.83;4847832.19;407.71
1404;531731.25;4847828.18;409.75
114;531726.86;4847820.65;412.33
761;531723.35;4847817.98;413.19
1531;531720.66;4847812.49;417.6
1328;531718.88;4847805.56;418.35
1204;531716.62;4847800.5;417.33
1635;531709.57;4847793.45;418.18
364;531711.03;4847791.69;418.89
17;531709.61;4847789.93;419.73
1016;531708.76;4847785.77;420.22
1076;531709.0;4847784.17;419.89
1039;531705.33;4847781.98;422.02
253;531707.65;4847782.81;419.42
441;531702.43;4847777.89;420.15
1253;531692.8;4847776.37;419.9
1719;531693.99;4847781.44;419.61
1905;531694.31;4847774.74;420.31
186;531694.99;4847785.95;418.68
1435;531691.48;4847792.42;416.76
86;531691.22;4847794.01;416.76
1799;531689.63;4847797.72;416.13
1669;531691.54;4847802.57;414.38
1051;531692.59;4847805.71;413.59
1358;531693.74;4847809.47;413.44
808;531696.62;4847811.99;413.48
732;531698.82;4847813.46;410.85
360;531685.0;4847771.25;421.29
624;531682.83;4847768.64;421.67
725;531679.06;4847766.88;421.81
2013;531703.39;4847778.95;422.14
384;531804.27;4847851.9;410.63
2018;531811.92;4847859.08;410.11
1134;531814.78;4847868.66;412.38
1919;531814.79;4847877.59;413.52
651;531814.64;4847883.43;412.1
242;531819.71;4847883.62;412.32
1078;531817.4;4847885.02;412.26
1132;531821.08;4847886.06;411.15
334;531816.63;4847880.55;412.04
292;531822.61;4847896.43;408.42
1054;531824.5;4847903.99;410.36
1100;531825.99;4847913.05;410.54
1812;531828.16;4847924.33;413.35
397;531836.6;4847925.07;414.15
247;531835.21;4847932.0;413.5
1969;531840.36;4847937.88;413.13
1819;531845.12;4847935.76;411.49
365;531846.32;4847935.18;407.05
1406;531840.48;4847912.83;406.73
829;531845.19;4847914.07;408.24
123;531846.1;4847907.69;409.54
997;531843.87;4847890.47;409.3
1570;531846.28;4847886.42;410.69
908;531844.4;4847883.48;411.95
1301;531844.68;4847880.08;413.09
735;531840.95;4847872.72;413.24
359;531847.78;4847867.51;412.81
1211;531845.56;4847866.62;413.63
717;531842.49;4847853.58;413.28
1137;531840.17;4847847.37;411.45
349;531847.74;4847845.41;411.26
503;531850.51;4847844.09;412.61
1714;531849.38;4847840.1;410.72
452;531847.08;4847838.33;415.54
517;531851.38;4847842.18;413.4
1252;531853.98;4847840.06;411.05
1615;531859.99;4847844.94;410.83
690;531868.96;4847843.04;410.58
1689;531874.12;4847849.15;415.51
791;531870.64;4847860.07;417.69
816;531885.23;4847864.36;416.84
1127;531877.9;4847875.02;412.9
1285;531884.23;4847885.72;412.64
2054;531890.56;4847895.5;414.88
1105;531890.89;4847901.6;415.85
386;531893.09;4847898.49;414.84
694;531896.02;4847910.76;411.37
1758;531898.21;4847908.83;411.95
1036;531892.28;4847896.52;417.35
635;531904.47;4847915.98;411.73
705;531908.6;4847920.37;410.91
