from_id;to_id
852;1752
852;1619
1752;1219
1619;1175
1619;146
1219;716
716;202
202;1003
202;915
1003;223
915;1778
332;548
548;1661
1661;780
780;1640
1640;1137
1137;1075
1075;1461
1461;874
874;87
87;15
15;1160
1160;377
377;1077
1077;514
514;966
966;236
236;1330
1330;1656
1656;1254
1254;539
539;179
179;80
80;1437
1437;446
446;1659
1659;280
280;230
230;892
892;358
358;1032
1032;1652
1652;824
824;478
478;1056
1056;1011
1011;1633
1633;475
475;338
338;1402
1402;766
766;1599
1599;1301
1301;1620
1620;1111
1111;1183
1183;289
289;1431
1431;1493
1493;943
943;1162
1162;1202
1202;821
821;30
30;122
122;1040
1040;1607
1607;1329
1329;900
900;587
587;834
834;1830
1830;1728
1728;419
419;930
930;97
97;869
869;1
1;1134
1134;337
337;447
447;150
150;1292
1292;423
423;1186
1186;828
828;671
671;361
361;50
50;206
206;1557
1557;986
986;168
168;532
532;754
754;356
356;1346
1346;689
689;1529
1529;811
811;203
203;936
936;392
392;160
160;279
279;640
640;1676
1676;1649
1649;565
565;749
749;1626
1626;1479
1479;1387
1387;1331
1331;1223
1223;1092
1092;1212
1212;928
928;53
53;1386
1386;1606
1606;875
875;382
382;756
756;890
890;580
580;1208
1208;1574
1574;1817
1817;856
856;1224
1224;459
459;275
275;74
74;1276
1276;1653
1653;357
357;1468
1468;712
712;1504
1504;1053
1053;1267
1267;1378
1378;1169
1169;797
797;183
183;370
370;1665
1665;1138
1138;591
591;1117
1117;881
881;1757
1757;214
214;1085
1085;1469
1469;764
764;1057
1057;1028
1028;562
562;174
174;1366
1366;735
735;1580
1580;653
653;121
121;942
942;938
938;1541
1541;1089
1089;1679
1679;955
955;1697
1697;1748
1748;676
676;1116
1116;616
616;560
560;1055
1055;1026
1026;708
708;1426
1426;396
396;116
116;426
426;288
288;619
46;81
81;1737
1737;1747
1747;1048
1048;444
444;1777
1777;1135
1135;1093
1093;1408
1408;620
620;782
782;1314
1314;346
346;324
324;657
657;229
229;506
506;685
685;43
43;1511
1511;1518
1518;1742
1742;1540
1540;286
286;1825
1825;351
351;661
661;1636
1636;617
617;722
722;1537
1537;1312
1312;1206
1206;1769
1769;902
902;85
85;380
380;1189
1189;1371
1371;143
143;771
771;570
570;1472
1472;408
408;582
582;884
884;1655
1655;1051
1051;1405
1405;1081
1081;1641
1641;375
375;1674
1674;642
642;353
353;1136
1136;1490
1490;461
461;133
133;700
700;1572
1572;588
588;310
310;1534
1534;1484
1484;1530
1530;410
410;1172
1172;418
418;1251
1251;1131
1131;335
335;241
241;269
269;541
541;1796
1796;1339
1339;919
919;1259
1259;1253
1253;1250
1250;355
355;48
48;107
107;622
622;176
176;1507
1507;453
453;495
495;225
225;1257
1257;1103
1103;743
743;1152
1152;1595
1595;1458
1458;407
407;804
804;1084
1084;1179
1179;1755
1755;1294
1294;142
142;1691
142;1562
1691;1280
1562;386
1280;42
42;575
575;745
745;232
232;1176
1176;270
270;1590
1590;290
290;742
742;870
870;1829
1829;534
534;615
615;850
850;172
172;629
629;1522
1522;697
697;698
698;694
694;740
740;1797
1797;1581
1581;1664
800;922
800;637
922;887
637;733
259;1099
259;959
259;1287
1099;621
1287;1648
1287;1302
1320;1662
1662;786
887;1784
1784;59
59;855
855;585
585;805
805;786
733;1740
1740;677
677;222
222;1689
1689;193
193;1760
1760;1177
1177;1545
1545;608
608;1247
1247;1025
1025;520
520;1191
1191;1380
1380;1016
1016;1196
1196;1167
1167;728
728;1225
1225;772
772;1446
1446;1744
1744;1642
1642;54
54;621
1756;367
1756;1800
1756;1104
367;1305
1800;1558
1104;993
1305;247
247;36
36;1481
1481;854
854;1034
1034;149
149;759
759;273
273;904
904;729
729;801
801;1713
1713;1808
1808;723
723;962
962;171
171;376
376;1729
376;1482
1729;668
1482;62
668;1348
1348;1147
1147;1215
1215;1401
1401;1427
1427;1770
1770;871
871;589
589;10
10;521
521;1558
993;265
265;1690
1690;1710
1710;185
185;773
773;819
819;1392
1392;1231
1392;529
1231;1692
529;1678
1692;1790
1790;237
237;64
64;108
108;1154
1154;601
601;1773
1773;1024
1024;1406
1024;1181
1406;1791
1181;531
1791;294
294;110
110;1486
1486;688
1486;1432
688;218
688;493
1432;826
218;903
903;1759
1759;1589
1589;971
971;941
941;1688
1688;1789
1789;1513
1513;1487
1487;788
788;325
325;662
662;1588
1588;641
641;347
347;1594
1594;1503
1503;816
816;598
598;17
17;835
835;1771
1771;226
226;1632
1632;644
644;518
518;767
767;836
836;22
22;1705
1705;388
388;851
851;954
954;98
98;1629
1629;849
849;1344
1344;217
217;913
913;1068
1068;1168
1168;1190
1190;1107
1107;1200
1200;1548
1548;159
159;647
647;246
246;1236
1236;1132
1132;211
211;2
2;817
817;1373
1373;311
311;1521
1521;412
412;88
88;750
750;152
152;573
573;25
25;1459
1459;1144
1144;1532
1532;1059
1059;1497
1497;323
323;1052
1052;511
511;497
497;368
368;1394
1394;1243
1243;1241
1241;1706
1706;67
67;312
312;1007
1007;793
793;432
432;837
837;204
204;101
101;451
451;340
340;1324
340;1088
1324;843
1088;147
843;594
387;1141
387;957
1141;1272
1175;1021
1175;440
146;1802
223;1583
1583;1423
1423;1781
1423;1209
1781;899
1209;390
899;940
1123;1317
1123;49
1123;517
1317;940
49;1383
49;1143
517;326
1383;1805
1383;569
1383;1488
1383;1074
1143;1761
1805;489
569;1300
1488;1232
1074;26
489;1244
1244;969
969;1046
969;73
1046;1303
1767;1597
1767;751
1597;464
751;234
751;1187
751;413
464;1303
1303;1252
1252;1256
73;1525
234;1799
1187;1070
1187;964
1187;1643
413;1547
1799;1579
1579;1555
1555;1587
1587;832
832;326
205;1814
205;485
205;1004
1814;1359
485;255
1004;1013
1359;1631
1388;1735
1388;1628
1388;58
1735;1415
552;1543
552;1628
1628;577
58;164
1415;888
888;276
888;549
276;895
895;39
39;188
188;1069
1069;543
543;682
682;1585
1585;853
853;1118
1118;1823
1823;3
3;1070
577;885
885;297
1543;652
297;1185
1185;1128
1128;12
12;109
109;1419
1419;494
494;1354
1354;330
330;381
381;41
41;255
386;1357
1357;349
1302;1554
1302;1719
1554;706
1719;845
706;137
137;957
957;1079
1079;633
633;1745
1745;502
502;594
845;1129
1129;934
934;1783
934;924
62;421
421;284
284;1794
1794;1097
1097;965
965;210
210;254
254;1140
1140;1764
1764;1623
1623;1546
1546;1304
1304;105
105;863
863;1774
1774;1293
1293;1500
1500;1198
