id;cswidth;csheight
852;3.88;1.71
1752;4.75;4.18
1619;2.91;2.91
1219;5.08;2.93
716;4.31;3.64
202;2.51;2.51
1003;1.27;0.69
1287;1.63;1.63
1175;2.32;2.32
440;20.82;8.34
223;4.18;0.36
1583;2.75;3.06
1423;1.38;1.38
1781;2.21;2.21
1209;1.57;1.32
899;3.35;2.62
1123;2.56;2.56
1317;11.97;3.78
49;1.56;1.56
517;2.37;1.61
940;2.9;2.24
1383;1.88;1.88
1805;1.24;2.69
1074;0.43;2.82
489;4.61;0.5
1244;7.31;1.07
969;6.99;3.88
1046;2.88;2.88
1767;2.09;2.23
1597;3.7;2.08
751;2.74;2.74
464;2.96;1.77
1303;5.16;5.25
234;4.24;0.92
1187;4.14;4.14
413;3.68;11.99
1799;8.49;1.36
1579;4.29;0.9
1555;3.56;2.41
1587;1.81;4.96
832;1.92;3.48
326;4.99;1.42
205;2.38;2.38
1814;8.25;2.5
485;7.44;1.73
1004;3.58;2.6
1359;5.63;1.71
1388;2.86;2.86
1735;5.9;2.42
552;1.68;1.68
1628;9.3;2.2
58;6.23;1.52
1415;4.99;3.76
888;2.09;2.09
276;3.34;2.03
549;2.75;2.09
895;4.07;5.47
39;4.96;2.64
188;6.02;1.63
1069;2.87;1.6
543;5.71;1.37
682;4.21;1.41
1585;1.51;2.39
853;2.5;1.68
1118;5.75;3.15
1823;2.28;1.89
3;4.54;2.78
1070;4.81;8.33
577;1.9;1.9
885;3.65;4.5
1543;1.56;4.71
297;4.7;3.44
1185;6.98;8.7
1128;5.3;4.6
12;5.63;2.2
109;8.77;1.84
1419;12.97;2.32
494;5.57;1.73
1354;4.18;1.59
330;5.26;2.75
381;5.13;3.6
41;3.19;1.93
255;1.54;1.03
1302;2.68;2.68
1719;4.89;2.26
706;0.83;6.37
137;9.48;9.99
957;10.59;9.24
1079;3.61;6.36
633;2.83;3.5
1745;5.22;9.07
502;6.85;5.52
845;6.02;6.01
1129;3.42;1.78
934;6.52;5.73
164;3.57;3.57
1263;1.68;5.29
404;2.24;2.24
1234;2.74;4.67
953;2.73;3.24
301;2.92;2.92
512;3.11;3.81
93;2.92;3.04
96;3.18;3.34
1631;4.22;2.22
157;4.22;2.83
1433;4.59;1.48
546;4.93;1.84
300;9.2;2.36
1039;6.51;2.27
652;3.08;1.94
1142;2.41;0.79
75;2.36;1.81
1013;1.86;4.75
341;3.26;2.59
790;1.22;1.76
989;1.11;1.46
486;4.58;3.19
352;1.95;0.78
1356;3.75;2.21
166;1.69;1.95
666;1.46;4.01
491;1.1;2.41
862;1.32;3.05
630;3.32;6.06
1812;4.02;3.94
91;6.08;6.34
1536;7.89;6.33
572;9.94;6.87
1772;14.37;13.61
13;12.31;13.79
1425;5.46;2.68
1600;0.7;1.1
1044;5.83;1.58
825;5.72;1.69
530;2.86;3.33
935;5.47;3.32
291;4.54;3.03
692;2.22;2.73
364;2.34;2.82
996;5.13;1.01
1001;3.09;1.61
848;7.58;7.58
1660;3.83;3.83
283;4.53;18.95
883;4.63;7.21
516;4.42;15.36
469;4.46;12.69
1290;4.51;3.41
140;3.36;1.51
70;1.0;1.77
868;3.5;6.13
1514;3.01;4.74
1609;8.0;7.22
707;6.31;6.8
710;3.3;2.16
711;2.26;1.48
47;0.89;1.5
1457;1.38;1.75
1547;4.98;10.94
1270;2.92;8.55
1365;2.5;3.82
765;1.76;5.33
820;2.78;6.32
796;3.74;7.94
1010;1.99;7.65
417;0.88;1.48
1278;1.93;1.93
1367;0.93;0.57
1309;1.67;0.4
785;0.51;0.28
1802;2.46;1.05
1232;1.38;1.58
181;5.65;12.5
1567;4.15;6.63
1441;2.24;5.0
1358;1.98;4.69
414;3.21;1.5
1412;1.61;8.86
1030;2.95;5.4
1616;3.02;10.75
1467;1.78;11.28
465;2.82;12.01
1397;2.23;2.23
348;1.22;0.87
1492;0.37;2.1
293;3.21;4.92
384;3.32;7.04
1668;0.78;3.59
