id;x;y;z
100;723842.0;5023535.7;1173.0
18;723844.5;5023534.6;1172.6
101;723836.71;5023529.95;1173.0
55;723837.59;5023528.5;1174.98
136;723843.79;5023527.93;1175.41
58;723848.05;5023532.24;1172.53
39;723850.92;5023530.23;1174.56
132;723849.12;5023528.34;1175.38
120;723854.06;5023531.4;1174.79
70;723857.93;5023531.08;1173.8
5;723866.92;5023530.32;1173.26
61;723875.67;5023530.43;1173.67
33;723877.43;5023530.35;1175.37
56;723878.12;5023528.94;1176.21
79;723879.78;5023525.45;1176.18
9;723880.08;5023523.78;1175.54
48;723882.21;5023522.78;1173.88
138;723881.23;5023524.63;1174.88
109;723887.53;5023520.71;1172.56
75;723889.0;5023521.67;1174.93
62;723889.2;5023521.01;1174.47
14;723891.24;5023519.49;1173.58
123;723889.57;5023518.15;1173.8
117;723891.53;5023517.94;1173.01
25;723885.55;5023517.54;1174.52
4;723884.01;5023511.73;1174.92
113;723882.91;5023510.79;1175.6
65;723882.37;5023510.42;1177.07
84;723883.42;5023508.99;1179.34
124;723884.37;5023508.23;1179.98
116;723885.13;5023505.91;1179.78
67;723884.1;5023509.4;1180.87
35;723887.84;5023503.3;1180.33
115;723888.26;5023497.01;1179.18
46;723893.35;5023495.74;1191.68
3;723889.82;5023494.33;1179.6
107;723892.69;5023499.58;1186.28
141;723891.96;5023486.78;1179.03
110;723889.44;5023491.55;1181.88
112;723892.99;5023482.24;1179.2
96;723893.38;5023478.77;1175.07
97;723895.91;5023473.74;1173.69
104;723892.09;5023476.02;1172.89
99;723892.58;5023480.52;1172.39
36;723891.2;5023483.37;1170.49
111;723892.78;5023488.2;1184.0
42;723892.24;5023494.37;1192.62
94;723893.94;5023500.33;1187.19
91;723899.54;5023499.02;1186.32
22;723909.12;5023498.64;1187.55
126;723909.24;5023499.17;1188.83
82;723909.8;5023506.83;1189.1
69;723915.98;5023519.14;1188.83
92;723918.86;5023517.78;1191.86
98;723919.72;5023513.86;1198.19
64;723920.07;5023514.95;1199.94
131;723920.81;5023515.6;1199.83
140;723923.58;5023515.14;1200.17
102;723919.21;5023516.95;1198.54
27;723926.2;5023516.08;1200.9
137;723918.85;5023519.54;1199.01
128;723916.74;5023517.69;1200.16
37;723918.7;5023514.26;1203.73
20;723918.64;5023515.87;1208.44
11;723883.7;5023511.28;1181.84
85;723882.64;5023515.82;1180.28
73;723886.97;5023511.35;1184.84
1;723892.81;5023521.48;1172.76
74;723897.39;5023516.11;1170.88
51;723897.8;5023511.12;1170.96
52;723904.03;5023520.99;1170.75
133;723900.48;5023511.62;1170.64
105;723896.15;5023506.31;1170.72
93;723903.53;5023506.78;1170.56
29;723898.95;5023508.72;1170.67
15;723911.24;5023524.88;1170.15
129;723920.05;5023530.35;1169.27
26;723925.81;5023533.12;1168.96
139;723925.98;5023537.52;1168.66
83;723931.17;5023533.71;1168.86
122;723923.64;5023538.95;1168.49
13;723927.84;5023535.98;1167.74
118;723926.04;5023540.3;1167.84
16;723922.43;5023540.11;1169.21
125;723923.6;5023541.66;1167.56
81;723928.77;5023538.72;1168.17
50;723926.41;5023547.01;1167.13
59;723931.43;5023535.94;1171.26
28;723930.92;5023541.82;1170.08
24;723933.74;5023539.98;1173.76
53;723930.89;5023543.16;1169.81
127;723928.83;5023539.45;1168.83
86;723929.95;5023545.12;1169.26
66;723929.54;5023543.37;1167.45
114;723928.26;5023546.86;1166.84
7;723928.25;5023545.11;1167.12
17;723906.5;5023566.84;1161.63
121;723897.07;5023563.51;1161.63
44;723888.39;5023565.13;1166.33
2;723868.73;5023568.8;1166.33
0;723930.75;5023545.88;1174.01
143;723938.28;5023535.6;1175.93
54;723952.08;5023530.09;1176.63
10;723954.41;5023530.23;1176.63
72;723954.59;5023528.26;1176.01
12;723957.93;5023524.85;1174.51
40;723967.15;5023519.41;1172.01
106;723974.79;5023520.68;1170.01
80;723979.54;5023521.9;1171.01
57;723992.48;5023529.21;1169.01
89;724000.31;5023530.51;1168.01
30;724015.58;5023543.07;1165.01
43;724020.48;5023543.02;1164.01
87;724023.02;5023539.93;1161.01
19;724031.9;5023541.41;1161.01
142;724033.87;5023535.83;1160.01
90;724047.06;5023540.48;1159.31
23;724052.86;5023537.05;1155.01
8;724063.14;5023530.98;1153.71
76;724077.02;5023522.79;1145.71
45;724076.97;5023517.79;1145.81
134;724082.08;5023508.73;1149.41
6;724085.51;5023502.66;1148.81
108;724092.06;5023500.2;1148.81
63;724095.96;5023500.85;1148.21
34;724095.43;5023498.01;1147.41
88;724102.1;5023495.5;1152.91
49;724102.07;5023492.52;1153.21
103;724109.9;5023491.06;1154.01
71;724109.81;5023482.2;1155.61
21;724113.13;5023472.78;1155.21
119;724119.49;5023470.39;1156.91
31;724120.1;5023462.48;1157.91
32;724129.94;5023470.56;1155.31
47;724138.63;5023475.47;1154.61
41;724150.34;5023473.28;1153.21
77;724154.84;5023471.59;1154.61
60;724159.2;5023466.28;1155.91
135;724161.11;5023463.96;1155.91
130;724162.29;5023467.37;1163.21
