id;cswidth;csheight
4037;4.6;3.66
3866;4.25;8.55
1448;13.47;11.88
2297;12.08;7.64
4219;4.0;4.08
20;2.31;1.07
1082;3.41;4.12
4155;6.16;5.81
2913;13.2;5.98
4121;9.23;12.06
1081;7.12;3.15
3573;5.22;4.6
2677;4.11;1.73
900;3.13;3.13
3506;4.14;7.64
384;2.35;2.35
1115;4.83;4.0
410;8.88;2.33
167;6.17;1.29
2674;4.12;4.12
4084;4.29;6.57
2079;1.9;3.07
3209;2.77;3.55
2764;0.45;0.73
1750;1.67;2.71
3167;1.39;1.31
4220;0.47;0.74
1995;5.91;1.89
608;2.61;2.61
2896;5.48;6.62
895;3.51;3.51
1753;2.56;0.51
3259;1.54;1.27
2592;2.37;1.62
876;1.02;0.78
3295;2.06;1.75
1343;6.42;6.42
1421;3.07;2.11
2398;2.25;2.98
3589;4.45;3.06
1271;3.86;2.61
146;5.42;5.76
2964;2.68;11.71
2517;9.86;20.09
2294;6.61;10.03
128;8.46;5.06
1252;1.61;2.89
1175;2.23;0.48
3905;5.14;2.63
1270;3.66;1.22
2255;2.93;2.21
2298;2.05;0.66
1532;1.13;1.05
342;2.06;1.85
1372;0.25;0.82
46;0.05;0.38
3086;0.25;0.59
1480;0.91;0.89
1439;0.49;0.36
13;1.59;1.49
3726;1.61;0.6
3711;1.84;1.0
195;2.09;1.74
1849;1.77;2.03
3784;1.61;1.85
3735;0.41;1.18
3839;1.89;0.27
889;5.09;7.68
3942;4.28;1.46
1632;1.93;1.27
1030;2.38;1.4
670;1.78;1.63
1577;1.87;0.62
703;2.45;1.5
1450;2.33;1.35
1318;5.09;13.71
3035;3.39;3.06
3114;2.19;2.54
2069;2.28;2.84
3941;1.88;1.89
142;2.31;2.08
429;3.36;2.05
2900;1.77;1.12
596;3.4;2.21
2191;3.86;2.53
932;3.35;3.35
2110;3.52;1.69
693;0.41;0.6
1591;2.49;2.79
2386;3.83;3.83
1341;3.19;3.41
2586;1.57;1.57
2998;4.94;19.47
856;3.45;0.21
2604;0.77;4.28
1839;1.06;3.95
691;1.93;1.91
478;2.31;12.1
2529;0.94;3.76
1436;0.72;0.05
3969;1.45;2.66
1700;0.65;0.81
1963;0.62;0.57
3085;0.72;2.66
4255;1.91;1.51
547;2.67;3.07
1909;1.44;4.04
3350;1.31;4.87
1678;2.23;2.69
2215;1.47;1.29
1673;0.91;1.55
613;0.42;0.74
2;1.37;2.77
877;2.3;3.13
3710;2.98;0.34
3276;1.7;0.07
1677;7.07;13.74
1247;1.93;4.08
1523;4.67;0.39
3241;2.95;1.82
3077;21.61;26.63
461;6.71;14.96
3278;1.96;20.72
487;2.29;0.15
4176;4.9;2.03
3626;2.19;0.38
1105;10.24;0.68
2371;2.73;8.09
4128;2.79;0.17
379;0.99;1.42
1402;1.94;1.46
1268;15.65;14.51
1635;2.06;3.49
805;23.3;4.55
1686;9.46;22.83
417;8.07;37.64
3603;16.93;34.85
333;2.47;23.81
2709;1.43;36.6
2589;13.65;17.72
3219;0.86;7.6
575;0.72;5.16
891;1.58;7.74
908;3.64;6.86
2262;3.74;2.24
1014;9.81;9.66
1651;9.04;0.83
3192;6.15;2.28
2953;12.2;1.21
3893;14.58;6.46
688;27.11;23.65
1031;1.26;1.97
1565;0.58;1.41
1280;10.57;2.06
3644;7.03;5.28
1997;2.7;1.67
2203;1.43;1.43
970;0.58;0.58
2452;0.72;0.87
937;1.21;1.3
3397;1.91;1.91
261;1.47;7.25
3625;3.31;3.19
1035;2.12;0.77
3604;1.86;4.23
984;2.95;0.19
298;3.94;3.94
458;2.78;1.26
1861;0.75;6.09
344;1.79;0.55
681;0.59;0.59
4080;1.71;5.29
2023;1.8;0.39
1393;0.18;0.54
2206;2.23;8.51
2323;2.67;0.85
3004;1.96;1.96
3869;2.76;9.06
2372;6.24;4.1
1837;4.43;4.18
3038;3.63;2.95
2367;5.06;12.63
1886;1.06;0.08
2688;0.91;0.91
2183;0.99;0.89
2347;1.48;1.05
663;2.01;4.15
176;1.28;1.29
930;0.5;0.06
4136;0.04;0.74
718;3.52;2.62
2631;1.0;1.0
3539;1.13;0.89
1528;1.71;0.26
2712;0.39;0.87
2541;0.32;0.4
3048;1.16;1.16
1168;1.42;1.19
1620;0.14;0.61
2618;1.6;1.53
518;2.02;3.45
3636;0.91;0.91
4214;0.97;0.97
1939;0.33;0.09
416;0.87;0.87
4065;0.75;2.91
2946;0.66;0.53
112;1.88;1.88
4216;0.3;0.85
2022;1.27;1.27
2072;0.85;0.57
554;0.7;0.49
1637;0.51;1.52
898;1.59;1.59
