id;x;y;z
579;705755.27;5002563.78;1012.0
1356;705754.62;5002561.11;1012.0
529;705750.63;5002549.06;1011.0
1142;705747.92;5002543.8;1011.0
188;705752.5;5002540.09;1011.75
627;705756.94;5002540.21;1012.17
201;705760.27;5002542.86;1012.17
878;705762.59;5002547.17;1012.71
1009;705764.44;5002551.05;1012.71
27;705766.41;5002552.33;1012.71
117;705772.98;5002549.9;1012.71
861;705787.01;5002544.71;1011.71
647;705799.46;5002540.11;1004.71
48;705802.27;5002539.07;1008.71
331;707866.64;5002770.92;1520.0
528;707847.47;5002759.53;1520.35
1155;707816.07;5002742.17;1510.53
204;707808.48;5002734.77;1514.16
546;707804.85;5002732.98;1513.52
1373;707798.13;5002729.67;1509.09
1235;707796.03;5002729.7;1509.03
759;707795.48;5002727.53;1509.53
1219;707793.07;5002726.98;1509.14
279;707793.4;5002721.95;1510.77
960;707789.06;5002721.67;1510.09
1300;707785.48;5002723.21;1506.06
1264;707784.46;5002723.65;1504.92
1352;707783.3;5002721.18;1502.27
752;707784.13;5002712.63;1502.68
70;707779.84;5002709.6;1503.94
461;707776.71;5002707.0;1505.62
473;707769.08;5002707.1;1504.04
937;707768.93;5002708.12;1500.49
267;707767.27;5002710.91;1496.3
888;707765.71;5002710.56;1496.17
713;707762.99;5002709.95;1495.95
545;707760.82;5002706.12;1498.11
910;707759.8;5002703.1;1498.98
782;707741.14;5002700.4;1485.28
815;707739.11;5002699.78;1483.02
281;707739.11;5002699.78;1472.72
415;707742.92;5002708.25;1467.03
703;707740.13;5002692.78;1476.47
372;707754.03;5002713.08;1471.18
1131;707754.03;5002713.08;1469.18
902;707756.05;5002715.39;1470.39
1394;707756.16;5002713.66;1473.54
139;707761.57;5002714.27;1474.85
984;707763.94;5002715.21;1477.25
1297;707734.75;5002684.83;1476.47
985;707734.53;5002681.22;1477.64
1042;707734.0;5002674.29;1491.27
733;707727.21;5002667.47;1485.17
454;707724.27;5002661.9;1484.87
516;707722.5;5002660.28;1482.46
907;707723.25;5002655.63;1479.26
1359;707718.95;5002657.72;1473.48
467;707724.65;5002658.27;1470.21
760;707714.35;5002654.58;1477.02
845;707732.29;5002664.6;1467.83
980;707740.61;5002673.76;1468.61
1371;707735.39;5002670.2;1466.11
483;707733.99;5002673.31;1465.17
681;707738.2;5002664.9;1461.6
186;707737.17;5002676.56;1465.17
360;707742.01;5002684.14;1465.17
928;707748.6;5002685.06;1467.22
825;707753.66;5002688.59;1468.81
1043;707755.95;5002689.66;1467.14
695;707757.8;5002691.74;1468.56
899;707731.92;5002665.49;1458.13
127;707729.35;5002661.95;1458.69
1232;707725.8;5002662.63;1457.51
18;707724.21;5002659.62;1459.98
769;707728.53;5002657.34;1464.57
711;707716.6;5002663.05;1456.37
931;707732.73;5002654.68;1465.12
202;707719.8;5002661.03;1454.8
949;707721.23;5002663.07;1453.32
1237;707713.32;5002662.57;1451.68
1138;707708.81;5002665.95;1450.32
1176;707705.33;5002667.2;1450.15
1355;707703.2;5002667.57;1453.03
1018;707694.82;5002668.35;1451.83
1119;707695.67;5002665.26;1454.84
1058;707688.25;5002666.19;1451.47
572;707686.22;5002662.75;1457.34
424;707682.31;5002674.92;1448.04
829;707673.75;5002661.56;1459.94
1280;707666.21;5002671.92;1463.88
11;707660.37;5002675.0;1463.88
95;707654.5;5002675.46;1463.6
1325;707653.11;5002672.37;1463.33
262;707648.35;5002677.75;1463.9
92;707642.67;5002677.39;1463.72
352;707637.05;5002677.12;1462.83
889;707629.98;5002678.92;1462.48
215;707626.5;5002683.86;1461.62
1275;707622.0;5002688.35;1459.22
369;707615.07;5002690.36;1457.61
645;707610.61;5002690.71;1456.53
1388;707607.88;5002691.69;1454.94
1198;707602.65;5002692.09;1452.47
1259;707598.44;5002693.61;1449.83
1206;707592.61;5002694.71;1451.25
187;707585.67;5002695.58;1451.47
1029;707575.18;5002699.35;1452.52
116;707575.01;5002702.73;1452.2
518;707566.66;5002706.82;1454.59
1265;707560.29;5002713.59;1454.3
1291;707553.86;5002712.97;1453.59
384;707552.88;5002710.11;1452.27
1128;707549.41;5002707.9;1451.01
747;707546.7;5002704.92;1450.24
917;707538.01;5002705.6;1448.0
952;707677.81;5002672.25;1447.21
625;707671.29;5002675.82;1444.53
1162;707670.89;5002678.36;1444.13
1082;707652.85;5002680.62;1441.25
589;707652.66;5002680.64;1441.19
175;707631.63;5002682.61;1435.06
