id;cswidth;csheight
3503;5.97;2.52
1342;2.7;1.86
3417;0.99;3.83
127;3.99;3.87
4981;3.43;9.33
2003;0.31;0.72
4061;0.96;0.8
1394;0.44;2.02
474;0.12;2.56
3283;0.26;3.9
851;1.82;3.93
2107;1.27;3.34
4986;2.0;4.05
2051;0.65;5.96
4923;0.4;6.29
4283;0.79;6.86
1673;3.59;3.78
1464;2.02;4.31
3555;1.68;6.05
3873;0.72;8.01
1650;0.82;8.02
3278;1.02;8.01
4521;0.52;8.01
1850;0.41;7.98
1469;0.75;7.83
2971;0.83;7.9
2844;0.75;7.87
4147;3.84;7.98
4427;1.99;4.11
778;2.0;4.96
2059;1.98;7.98
1217;1.98;4.66
1258;7.85;5.2
860;1.95;5.69
2749;2.02;5.19
3185;1.04;7.96
266;4.53;5.94
1149;11.19;5.91
2693;17.39;9.84
4700;4.0;9.99
3827;3.95;3.99
1854;2.03;2.49
3914;0.63;2.58
634;0.17;3.92
4136;0.79;3.31
3629;0.76;3.98
614;1.01;3.98
1465;0.17;3.11
1852;1.35;3.91
3449;1.72;4.0
4606;0.85;3.57
1877;2.39;3.39
2908;2.46;3.99
1599;1.81;3.2
4930;0.49;0.49
1393;0.25;0.96
3860;0.41;0.98
4789;0.58;0.98
2090;0.52;0.98
2348;0.39;0.98
3212;0.6;0.98
4072;0.52;0.98
2398;0.08;8.03
1018;3.15;3.15
929;0.91;1.76
3738;2.02;8.58
3493;0.01;6.01
3848;0.05;4.44
1729;0.42;3.98
2097;0.21;4.0
1532;0.22;3.88
1675;0.08;3.06
1679;0.61;10.92
4702;1.23;10.99
4565;3.25;3.25
1586;3.3;3.3
1040;0.73;5.89
1165;0.96;8.07
1703;1.49;7.05
3775;0.78;8.05
240;0.58;8.07
3246;1.09;8.04
3315;1.05;8.05
4346;0.65;8.07
2529;0.49;8.07
589;0.0;7.48
1496;0.6;4.58
194;0.41;8.01
4093;0.21;8.08
3550;1.36;8.05
1248;1.22;8.04
4262;0.3;8.06
3082;0.41;8.0
810;0.46;7.6
2808;1.13;7.82
479;1.46;7.86
2500;0.38;8.06
3881;0.99;5.07
4456;1.3;1.17
1494;0.21;5.04
3788;0.11;4.98
1702;0.78;4.72
793;0.26;4.68
1144;0.12;4.94
1335;1.23;5.06
824;0.27;8.0
1044;0.19;7.98
4578;0.08;6.87
4446;0.12;7.93
2632;2.02;8.0
1409;0.91;10.0
3217;1.06;9.9
3262;1.16;9.7
268;1.69;12.0
4555;4.56;4.91
538;4.85;4.85
2687;1.78;6.23
2821;1.44;15.72
1290;1.85;6.07
531;2.63;5.01
2738;3.5;3.5
1796;1.77;7.98
1021;2.19;6.04
3202;1.87;6.13
3141;0.33;4.04
4385;1.67;1.67
1169;0.13;3.02
3119;0.05;0.23
4485;2.12;16.01
2839;2.26;15.96
1243;0.56;15.23
637;1.48;15.48
1504;3.16;16.01
2754;1.42;16.01
3885;4.75;16.01
4498;1.9;16.0
2639;2.32;16.0
323;0.65;16.01
3622;0.26;15.26
671;3.12;15.97
3126;1.9;15.98
472;1.15;15.98
2625;2.47;15.74
2152;4.66;16.0
2157;0.82;15.33
1500;1.84;15.71
4178;1.6;15.98
4510;1.19;15.95
1375;1.6;15.68
3807;1.78;16.0
2845;0.74;13.92
324;2.72;15.99
4745;0.22;16.0
1360;0.83;15.98
155;1.03;16.0
1183;1.1;15.95
1391;1.01;15.99
3563;1.18;15.99
2872;0.41;15.12
540;0.57;16.01
987;0.66;15.19
4043;1.32;15.63
2349;0.02;14.14
542;0.59;15.57
1549;1.9;14.72
4734;2.17;16.01
511;0.26;15.9
1036;2.68;15.74
2364;3.1;15.85
1892;0.95;15.99
3624;0.52;15.99
1239;1.25;15.43
905;1.98;15.59
4183;1.43;16.01
3148;2.42;15.98
3404;0.76;16.01
246;0.38;13.74
2671;0.12;15.2
1190;0.68;15.66
635;0.54;13.54
221;2.67;15.73
3780;1.34;15.42
1965;0.87;7.51
498;3.44;2.42
1727;0.3;11.81
2787;0.41;12.91
2131;3.93;12.79
1009;0.58;12.7
1823;3.41;14.45
3329;1.57;13.92
4809;0.88;15.98
605;1.3;22.31
599;1.01;15.19
553;2.54;10.95
2997;0.11;15.76
3103;0.44;13.06
2069;1.89;12.76
2240;1.9;14.34
3008;2.13;15.87
3288;2.36;15.57
1913;2.1;15.94
2739;2.26;15.96
926;1.59;16.0
1962;1.51;9.66
3666;3.27;9.34
4128;0.09;13.12
622;2.47;15.4
3790;1.2;15.44
2986;2.24;15.76
3400;2.53;15.93
2681;3.11;16.01
3803;2.75;15.67
684;1.63;15.97
3238;2.42;16.01
4562;0.77;16.01
2553;1.7;15.57
3937;1.62;14.99
1912;0.52;14.26
2573;2.22;13.8
1815;0.36;14.13
4977;2.05;15.87
1495;1.42;15.13
852;1.31;15.7
119;1.05;15.83
2906;1.68;14.38
3880;1.34;15.76
4751;2.92;15.98
616;0.92;16.01
1564;2.45;16.0
2188;2.36;16.01
4508;1.48;15.48
180;1.44;15.25
4380;5.79;14.61
2675;9.89;19.95
2352;9.72;9.72
3299;0.1;20.46
2924;57.76;56.62
208;4.01;10.0
2374;4.36;14.45
773;1.12;3.61
4733;9.51;1.49
2719;1.8;5.39
3177;2.57;5.72
2423;0.94;6.68
3768;6.33;2.92
1054;5.78;2.97
662;11.53;7.88
4800;3.83;9.37
313;4.5;11.54
1383;10.97;8.36
1154;4.4;6.99
1135;2.4;2.36
3999;3.14;20.27
2202;3.2;4.21
3414;1.27;0.93
3381;8.3;2.59
2000;6.34;5.46
3954;2.57;8.68
2453;10.64;0.99
2684;15.05;10.03
2948;14.01;14.62
3440;9.86;8.23
4403;4.53;3.73
4491;10.11;3.27
3071;21.18;4.16
4276;18.61;7.87
1161;22.29;13.03
536;10.35;34.42
663;5.78;7.28
3933;15.11;136.6
1697;8.58;14.33
1582;13.6;7.41
2159;6.4;12.65
2120;7.7;6.43
4435;3.19;10.21
2763;3.52;11.89
4517;1.66;8.97
2414;4.73;4.96
4602;6.97;11.72
1918;10.75;13.27
2644;8.41;3.09
3006;9.21;25.49
2828;9.59;12.98
1466;3.3;7.48
4131;7.02;4.18
2507;3.82;0.37
120;1.68;0.83
1045;4.32;3.18
3267;2.72;2.68
4868;3.32;5.79
4135;5.33;1.27
1911;5.29;12.54
2046;6.06;3.01
4353;6.78;4.04
998;2.8;8.08
624;3.48;3.48
1213;13.55;6.94
1099;6.62;1.15
489;15.25;9.31
1739;11.96;0.97
1122;10.09;3.52
2452;3.94;3.94
2911;4.97;7.29
1055;9.98;6.07
2115;0.45;6.26
2554;4.13;18.75
2468;0.65;2.29
4891;3.35;6.4
1024;0.31;8.66
931;0.93;8.06
2007;1.2;12.84
1435;1.3;11.23
476;2.64;20.01
2696;1.82;21.74
4710;2.05;12.59
1819;0.39;3.28
2511;0.8;2.65
2607;1.37;12.39
784;0.68;7.04
2680;2.35;9.52
1483;0.67;5.51
577;3.56;8.29
4097;0.21;3.24
1254;0.88;2.61
1684;2.61;2.04
3509;9.18;7.9
984;3.07;1.47
901;1.09;12.21
574;0.29;3.51
3405;0.5;3.21
1221;0.16;3.25
2822;0.32;2.69
1014;0.69;1.92
1146;0.46;16.04
3254;3.91;8.7
2301;1.36;19.76
2619;0.45;2.34
4407;1.54;12.52
2411;1.49;0.68
1978;1.96;0.86
1331;2.38;2.51
4672;0.48;2.14
2317;1.88;4.09
4457;0.63;1.42
532;0.46;7.26
3988;1.43;3.17
317;0.23;2.55
107;2.48;11.37
395;1.33;7.46
4798;0.52;2.36
3974;3.88;7.71
3588;3.41;8.16
4129;2.31;2.11
2527;2.13;5.37
3869;7.41;2.0
2249;1.41;1.41
290;4.44;1.98
4233;2.22;2.9
75;1.1;4.83
801;3.18;3.5
178;2.17;5.69
