from_id;to_id
144;163
105;244
249;340
340;277
277;94
94;245
245;334
334;11
11;110
110;41
41;255
255;302
302;158
158;212
212;106
106;265
265;115
115;100
100;192
192;325
325;294
294;69
69;343
343;322
322;175
175;185
185;142
142;139
139;35
35;153
153;52
153;83
52;79
83;210
79;329
329;304
210;165
165;339
339;155
155;4
4;108
108;43
43;184
184;268
268;127
127;67
67;284
284;177
177;151
151;224
224;1
1;293
1;140
1;131
293;190
140;62
190;214
214;318
318;203
203;327
327;176
176;74
74;136
136;311
136;170
311;270
170;63
63;291
291;310
310;246
310;303
246;133
246;200
303;113
113;348
113;164
348;345
164;251
345;135
345;218
135;239
218;2
239;228
228;146
146;226
226;316
316;193
193;346
346;208
208;5
5;296
296;233
296;191
233;156
191;183
156;263
263;240
240;335
335;121
121;116
116;286
286;197
197;123
123;42
42;251
251;221
221;14
14;297
297;47
47;118
118;130
130;283
283;288
288;92
92;114
114;337
183;101
101;209
209;99
99;179
179;150
150;252
252;77
77;95
2;201
201;330
330;338
62;93
62;66
66;96
96;321
321;273
273;215
273;312
215;259
312;51
259;124
124;305
305;104
104;320
320;102
102;272
272;230
230;309
309;262
262;12
12;160
160;120
120;26
26;13
26;237
237;73
73;247
73;301
247;145
247;0
301;290
301;317
0;87
87;274
317;207
207;324
324;307
307;219
219;8
8;222
222;344
344;149
149;225
225;37
37;186
186;32
32;295
295;81
81;161
161;173
173;53
53;266
266;275
275;65
65;134
134;19
19;128
51;229
229;198
198;17
17;243
243;143
143;82
82;38
38;147
38;10
147;54
10;202
54;56
56;241
241;31
31;40
40;59
59;306
306;28
28;260
260;336
336;217
217;137
137;152
152;49
49;278
278;33
33;174
174;117
174;178
117;180
178;84
84;23
23;98
98;3
3;24
24;279
202;167
167;55
55;223
223;299
299;171
299;204
299;16
171;85
16;58
85;44
85;141
44;206
141;22
22;256
256;269
269;235
235;315
315;46
46;328
328;29
29;57
57;331
331;148
148;30
30;196
196;236
236;25
25;111
111;45
111;154
45;254
254;7
7;157
157;162
162;264
264;70
70;112
112;90
90;86
86;280
280;250
250;313
313;122
122;60
60;281
281;287
172;129
129;261
261;36
261;109
36;88
109;347
109;107
88;347
107;257
257;75
75;189
189;319
319;169
169;48
48;132
132;138
138;80
80;231
231;238
238;50
50;267
267;64
64;308
308;159
159;216
216;9
9;234
234;314
314;195
314;300
300;20
20;18
18;276
276;61
61;72
72;21
21;188
188;91
91;213
213;285
285;6
6;232
6;97
232;333
333;166
166;182
182;211
211;253
253;271
253;342
253;78
271;298
342;71
298;282
282;125
125;194
194;341
341;332
332;258
258;227
227;220
220;15
15;199
199;292
292;323
323;103
103;242
242;126
126;89
89;168
168;76
76;248
248;326
326;39
39;187
187;34
71;181
