id;x;y;z
144;697573.26;5075736.18;865.0
163;697573.26;5075736.18;860.0
105;697015.37;5076539.3;884.0
244;697015.37;5076539.3;874.0
249;697670.66;5074333.78;593.0
340;697666.16;5074338.33;592.78
277;697662.24;5074344.48;592.52
94;697659.43;5074347.64;595.71
245;697658.5;5074349.67;596.23
334;697657.67;5074353.37;593.58
11;697654.1;5074358.85;591.45
110;697653.53;5074366.8;589.46
41;697654.4;5074371.81;585.91
255;697654.96;5074380.0;584.16
302;697654.91;5074385.71;580.46
158;697652.86;5074390.38;578.6
212;697653.04;5074395.64;578.05
106;697652.65;5074404.29;573.05
265;697656.5;5074411.72;577.55
115;697657.38;5074413.42;579.15
100;697657.29;5074415.56;577.85
192;697651.88;5074421.44;574.66
325;697648.65;5074427.62;574.16
294;697645.99;5074436.01;576.06
69;697640.89;5074443.99;572.85
343;697640.6;5074450.4;570.05
322;697633.13;5074454.27;568.85
175;697628.36;5074469.32;566.24
185;697626.43;5074477.94;564.54
142;697626.06;5074486.06;567.04
139;697634.04;5074491.16;563.83
35;697636.51;5074492.19;565.93
153;697640.49;5074496.54;570.73
52;697644.12;5074496.64;572.13
83;697641.77;5074500.62;572.13
79;697644.19;5074494.09;576.43
329;697640.04;5074494.7;576.43
304;697645.27;5074486.18;576.43
210;697641.62;5074503.87;570.83
165;697641.22;5074512.61;565.03
339;697638.15;5074518.49;561.33
155;697633.04;5074526.49;560.83
4;697630.57;5074532.41;558.03
108;697628.98;5074536.25;558.63
43;697628.39;5074549.14;569.23
184;697631.81;5074555.73;575.93
268;697633.63;5074569.69;575.13
127;697630.76;5074576.57;574.33
67;697623.55;5074584.42;573.33
284;697619.01;5074593.1;573.53
177;697613.14;5074602.28;575.03
151;697607.49;5074611.13;574.93
224;697603.43;5074619.6;573.53
1;697597.64;5074624.03;576.83
293;697595.38;5074626.97;578.33
140;697599.8;5074620.66;576.83
131;697594.41;5074629.09;576.83
190;697602.7;5074618.72;586.95
214;697607.08;5074608.67;591.83
318;697608.94;5074606.78;590.42
203;697609.35;5074607.54;585.5
327;697616.48;5074596.8;590.97
176;697622.25;5074591.52;589.31
74;697628.54;5074599.17;587.91
136;697638.13;5074596.34;587.91
311;697639.34;5074594.64;585.76
170;697636.0;5074591.86;587.3
270;697641.46;5074591.32;585.06
63;697638.57;5074587.67;590.75
291;697639.83;5074586.3;590.0
310;697645.49;5074589.38;587.26
246;697643.87;5074588.5;588.04
303;697644.49;5074598.06;585.08
133;697644.44;5074592.33;587.01
200;697641.9;5074591.71;586.68
113;697657.67;5074604.08;581.2
348;697660.81;5074595.86;579.53
164;697656.25;5074610.69;580.66
345;697664.75;5074591.51;582.5
135;697665.6;5074596.17;589.01
218;697666.02;5074587.07;585.03
239;697664.67;5074597.43;589.5
228;697662.27;5074601.78;589.6
146;697657.96;5074610.78;589.16
226;697656.67;5074614.08;588.71
316;697657.65;5074616.29;589.6
193;697657.21;5074619.3;590.22
346;697655.73;5074620.48;591.73
208;697654.78;5074621.18;591.86
5;697653.41;5074623.32;592.12
296;697652.41;5074628.04;591.82
233;697654.94;5074627.2;590.42
191;697648.27;5074629.32;591.96
156;697659.76;5074625.6;589.59
263;697660.68;5074626.75;587.91
240;697661.91;5074627.58;587.75
335;697664.4;5074629.22;586.75
121;697664.68;5074626.82;586.12
116;697667.17;5074626.2;584.77
286;697667.53;5074622.01;579.69
197;697666.65;5074625.58;578.72
123;697663.07;5074625.09;578.39
42;697662.79;5074626.27;577.71
251;697657.02;5074620.23;578.41
221;697657.02;5074620.23;579.41
14;697659.53;5074624.85;576.51
297;697661.1;5074635.51;574.31
47;697658.91;5074646.2;572.91
118;697660.08;5074654.07;572.01
130;697658.28;5074662.83;571.01
283;697661.57;5074672.7;569.61
288;697667.39;5074671.84;568.41
92;697669.22;5074674.14;569.01
114;697673.11;5074674.94;572.81
337;697677.7;5074675.88;578.41
183;697646.59;5074631.98;592.11
101;697645.74;5074635.12;591.95
209;697642.87;5074639.22;591.64
99;697642.84;5074641.57;591.49
179;697638.64;5074650.21;591.19
150;697634.48;5074651.01;591.12
252;697630.14;5074661.1;590.26
77;697630.03;5074663.49;589.88
95;697626.9;5074672.7;589.88
2;697663.8;5074582.01;589.9
201;697662.27;5074578.03;592.51
330;697662.33;5074577.35;593.85
338;697659.41;5074574.27;598.09
62;697599.05;5074620.52;592.98
93;697597.96;5074630.72;598.83
66;697600.44;5074624.75;596.43
96;697602.24;5074627.13;597.4
321;697603.89;5074632.12;602.34
273;697605.02;5074640.81;604.15
215;697606.7;5074638.08;601.74
312;697605.86;5074645.06;606.81
259;697613.51;5074640.37;601.37
124;697617.31;5074654.12;602.36
305;697624.85;5074652.46;601.28
104;697627.97;5074663.0;599.14
320;697631.31;5074665.86;599.14
102;697635.37;5074668.36;601.89
272;697642.17;5074667.71;602.85
230;697645.46;5074679.63;598.84
309;697649.31;5074684.48;599.05
262;697654.85;5074683.85;595.7
12;697659.63;5074678.64;596.32
160;697662.24;5074682.59;594.69
120;697666.68;5074686.39;593.35
26;697671.26;5074689.78;595.53
13;697670.95;5074701.15;589.23
237;697675.37;5074696.51;592.35
73;697675.44;5074705.59;593.79
247;697685.9;5074705.62;608.19
301;697674.78;5074716.2;590.94
145;697685.9;5074705.31;606.22
0;697685.9;5074707.1;617.53
87;697687.47;5074700.63;621.62
274;697686.34;5074700.63;623.84
290;697680.52;5074726.8;595.81
317;697673.13;5074728.61;585.63
207;697674.61;5074741.72;581.59
324;697668.25;5074752.5;578.47
307;697665.98;5074760.11;577.49
219;697661.59;5074771.24;576.66
8;697666.85;5074771.26;568.16
222;697666.85;5074771.26;564.16
344;697666.83;5074779.18;563.06
149;697663.27;5074785.32;559.36
225;697672.31;5074788.64;554.06
37;697676.79;5074796.45;554.06
186;697681.54;5074809.61;553.56
32;697674.71;5074828.2;550.76
