from_id;to_id
282;211
282;321
211;316
359;103
103;60
103;297
60;485
297;35
485;39
39;120
39;58
58;277
58;155
277;157
155;274
157;163
163;78
78;150
150;4
4;230
274;63
274;171
63;270
171;299
35;330
330;9
9;235
9;180
9;158
235;360
180;283
158;124
283;287
287;11
11;417
11;81
417;174
81;18
174;87
87;500
500;74
74;446
446;107
107;463
107;241
107;450
463;135
241;38
450;464
38;52
464;138
138;366
366;133
366;390
133;127
390;368
127;121
121;329
329;146
146;79
368;314
314;389
389;218
18;210
210;194
194;166
166;401
166;351
401;377
351;250
377;378
378;224
224;484
250;13
124;92
124;223
124;331
124;76
92;290
223;93
223;139
331;196
76;199
290;372
372;382
382;324
324;275
275;65
93;288
139;447
288;358
358;136
358;94
94;181
181;119
119;337
119;269
337;342
342;33
196;75
75;374
75;352
75;246
75;217
374;363
352;222
217;380
380;267
267;451
451;36
36;56
56;201
201;349
349;28
28;257
28;49
257;214
49;208
214;110
214;97
208;364
208;229
363;131
131;42
42;243
42;244
243;458
244;487
244;400
458;132
132;72
487;237
400;278
278;469
469;67
469;160
67;143
160;307
160;45
307;242
45;325
242;492
492;100
100;259
325;204
204;245
245;117
117;431
431;32
32;391
391;412
412;346
346;151
151;418
151;209
209;20
20;405
405;388
388;481
481;343
343;253
253;184
184;96
184;279
279;98
98;207
98;178
207;176
178;392
392;503
503;322
322;7
7;411
411;272
411;462
411;62
272;427
62;248
248;421
421;264
421;251
421;466
251;219
466;173
219;443
219;470
470;407
173;406
406;291
291;177
177;373
373;490
490;89
89;129
89;440
440;200
200;422
422;47
422;140
47;294
294;441
441;306
441;461
306;494
461;478
494;495
495;319
319;327
319;335
327;383
383;140
222;303
303;265
265;498
498;115
115;30
30;361
361;488
488;16
16;403
403;175
403;453
175;240
175;298
453;348
240;130
240;301
298;216
298;188
130;308
301;262
308;505
505;263
263;471
216;480
188;213
480;125
480;168
199;385
385;423
423;395
395;313
395;304
313;106
313;88
304;162
106;309
309;323
323;350
350;318
162;289
289;86
289;105
289;212
289;29
86;414
86;61
105;109
212;113
29;84
61;165
165;477
109;428
428;249
249;21
21;137
137;77
77;161
77;234
161;116
161;284
234;444
116;326
284;1
284;468
326;220
326;112
220;367
220;0
112;295
367;144
0;80
144;273
273;31
273;457
273;452
31;172
457;317
452;315
172;25
317;15
15;497
497;413
80;23
23;354
295;312
312;482
482;118
1;328
468;387
328;300
300;59
59;408
408;508
508;71
387;258
258;83
83;95
95;479
479;43
43;393
43;69
393;108
69;192
108;153
153;53
53;50
50;399
399;302
302;402
402;285
285;489
489;8
8;185
192;438
438;432
432;472
472;205
205;14
205;203
203;134
134;3
3;454
454;398
398;113
84;271
84;17
271;186
17;156
17;474
186;379
379;476
476;46
46;5
5;68
5;369
68;338
369;82
338;126
82;430
474;19
19;2
2;370
370;425
425;320
320;149
149;356
356;252
252;114
252;465
252;381
252;183
114;41
465;332
381;355
183;473
41;365
365;142
355;371
371;424
424;247
247;202
202;57
473;339
339;164
164;281
281;261
261;141
141;55
55;198
198;73
73;455
455;238
238;396
396;37
37;341
37;376
341;123
376;280
123;502
502;48
48;101
48;260
260;85
280;91
91;404
404;504
504;104
504;24
104;442
24;54
54;448
448;397
448;167
167;179
179;475
475;456
475;191
456;228
191;415
415;449
449;276
449;233
449;12
276;236
233;10
12;111
236;436
236;375
375;296
10;384
384;169
169;394
169;193
394;357
357;426
426;34
34;459
111;64
64;215
215;256
256;6
6;507
507;305
305;170
305;51
170;501
51;147
501;310
310;195
195;225
225;99
99;254
254;445
147;255
255;197
197;429
429;66
429;496
429;182
182;22
22;311
22;345
22;491
491;316
