from_id;to_id
352;217
217;5
217;441
5;44
44;342
342;445
445;1
1;320
320;269
269;123
123;32
32;46
46;265
265;326
326;377
377;337
337;294
294;169
169;102
169;335
169;108
102;268
335;201
108;262
108;41
268;423
423;406
406;43
43;12
12;222
222;116
116;129
129;165
165;200
165;19
200;420
200;144
200;452
200;122
19;304
420;243
144;67
452;328
122;69
243;182
182;446
446;164
164;374
164;391
374;247
391;439
247;444
444;383
383;218
218;92
92;343
343;82
82;42
67;53
53;271
271;250
250;365
365;434
365;170
365;147
434;160
170;133
170;45
147;133
147;21
160;172
172;368
172;274
368;369
274;415
369;459
369;277
369;380
459;260
380;409
260;461
461;396
396;156
156;185
185;407
407;54
54;433
433;78
78;270
270;125
270;356
125;190
356;281
281;104
104;152
152;376
376;389
389;194
194;159
159;118
159;273
118;339
118;390
273;456
339;290
390;25
390;316
290;163
163;453
453;275
275;17
17;384
384;233
233;256
233;227
256;27
227;267
27;16
16;311
311;300
311;330
300;394
330;70
304;28
42;191
191;410
410;286
286;287
287;251
251;89
89;408
408;40
40;307
307;438
438;0
0;198
198;430
430;246
246;64
64;426
426;427
427;362
362;458
458;411
411;303
303;73
73;138
138;404
404;293
293;349
349;199
199;83
83;399
399;437
437;318
318;145
145;3
3;432
432;208
208;26
208;202
26;235
202;207
235;226
226;6
6;463
463;234
234;149
149;128
128;447
447;429
429;76
76;124
124;55
55;79
55;113
79;93
113;323
93;229
229;139
139;370
370;351
351;127
127;413
413;431
431;331
331;18
331;358
18;176
358;47
267;105
267;221
221;72
72;297
72;99
297;237
99;37
237;258
258;305
305;261
261;298
261;204
37;63
298;363
298;338
204;35
363;299
338;345
299;7
7;120
35;63
63;75
75;90
75;348
120;36
120;38
120;457
36;175
457;425
175;285
285;319
319;107
107;220
220;263
263;296
296;248
248;181
181;101
101;253
253;155
425;462
462;68
462;211
68;436
211;223
409;74
74;132
74;9
74;341
74;451
132;306
9;136
341;192
451;48
136;371
192;187
48;96
96;225
225;346
346;228
228;142
142;395
395;241
241;180
241;322
322;276
276;347
347;295
295;357
357;440
440;100
440;50
100;340
50;56
415;259
415;405
405;278
45;450
45;367
45;416
21;249
367;378
416;20
378;161
249;212
212;166
20;460
20;213
460;301
213;88
301;184
184;232
232;315
232;442
315;455
315;375
442;435
455;66
375;88
66;171
66;196
88;422
435;109
109;143
143;146
146;401
401;239
401;321
239;264
321;417
321;336
161;31
31;65
65;60
60;30
30;59
59;398
398;291
291;111
111;393
264;255
255;94
94;340
56;448
448;80
448;178
178;134
178;309
134;154
134;119
309;103
154;8
8;242
242;57
103;215
215;168
168;210
417;439
336;85
439;308
176;51
47;167
167;91
91;177
177;33
33;280
280;14
14;325
323;15
15;188
188;71
71;366
366;329
329;449
449;272
201;87
87;388
388;62
62;292
292;314
262;197
41;179
179;153
153;324
203;121
203;69
203;13
121;364
13;350
364;39
39;61
61;354
354;312
386;244
386;327
244;328
327;114
328;283
283;97
350;219
219;238
219;361
238;209
361;387
361;58
387;313
313;224
224;2
2;334
114;359
359;230
230;412
230;254
412;353
254;385
254;135
254;173
353;236
236;414
414;131
135;372
173;382
382;10
10;288
288;130
288;112
288;403
130;333
403;148
333;214
214;162
456;77
77;98
77;140
77;231
140;137
231;25
137;84
137;11
84;141
11;381
141;205
205;22
22;310
22;157
310;289
310;464
157;252
289;24
24;392
24;373
392;454
373;150
150;360
360;344
360;29
344;428
29;400
400;424
400;257
257;418
257;34
34;216
252;183
381;23
23;4
4;81
316;284
316;419
284;240
419;317
240;86
86;186
186;189
189;355
355;95
95;115
115;151
115;421
421;158
158;279
317;117
117;193
193;282
193;206
282;302
206;195
302;174
174;397
195;110
110;332
110;443
332;379
443;266
379;245
245;49
49;106
106;126
266;402
402;52
