from_id;to_id
19;162
19;6
162;38
38;88
88;123
88;34
88;173
88;174
34;33
173;31
173;89
174;186
33;141
33;40
141;78
40;155
89;27
27;87
87;58
58;71
71;37
37;93
93;29
29;99
99;169
186;181
181;128
181;7
7;156
7;63
63;90
90;13
13;133
133;146
146;10
10;4
10;53
10;75
10;69
10;95
69;100
95;1
1;135
135;182
182;185
185;147
147;50
50;163
163;56
56;136
136;114
114;61
61;2
2;104
104;161
161;54
54;176
176;12
12;24
24;164
164;137
137;106
106;11
11;72
72;81
81;126
126;36
36;107
107;5
5;16
16;160
160;84
84;154
154;150
150;48
48;178
178;28
28;119
28;167
28;3
3;73
73;25
25;110
110;79
79;55
79;26
55;138
26;117
138;152
138;66
152;140
66;43
140;189
189;105
105;101
117;179
179;8
179;91
179;130
91;111
130;76
111;85
111;0
76;49
49;184
184;115
115;20
115;18
20;86
18;41
86;94
94;129
129;187
129;165
165;64
64;74
74;122
122;170
170;103
170;52
103;80
52;97
52;157
52;168
80;153
80;57
153;120
57;124
124;21
21;15
15;68
157;121
168;70
168;92
121;60
60;39
60;177
70;149
92;46
149;183
183;108
43;180
180;143
143;65
143;67
67;102
102;134
102;30
134;83
134;96
30;22
96;35
35;148
35;112
112;125
22;144
144;17
17;32
17;172
32;45
172;14
45;62
62;59
14;175
175;159
85;113
0;116
116;118
118;127
127;151
151;142
142;23
23;9
9;109
41;158
158;132
132;47
47;77
77;44
44;145
145;131
131;188
188;51
188;139
51;98
139;166
98;42
42;82
82;171
