id;x;y;z
37;0.0;0.0;0.0
230;2.56;-2.18;-1.92
32;22.07;-12.22;-5.51
86;35.61;-22.7;-9.12
84;46.04;-24.92;-9.76
148;32.84;-24.52;-7.49
166;55.25;-35.25;-10.97
106;66.77;-40.26;-13.15
82;98.81;-53.1;-18.0
130;109.43;-56.7;-19.42
58;123.52;-57.41;-21.88
133;130.45;-55.8;-22.51
95;137.3;-59.94;-23.88
159;148.87;-63.87;-25.29
160;154.53;-62.39;-26.09
101;163.85;-69.58;-26.72
108;172.12;-73.12;-28.37
68;177.14;-68.89;-28.51
162;191.1;-74.84;-30.18
110;199.61;-76.08;-31.21
99;204.5;-78.28;-32.03
83;209.17;-82.14;-32.12
60;222.21;-72.25;-34.96
232;197.35;-84.94;-30.5
187;241.87;-65.97;-37.83
207;258.44;-66.39;-40.29
40;275.41;-75.68;-42.88
227;289.85;-84.68;-44.3
72;289.85;-84.68;-44.62
15;302.18;-84.65;-47.36
197;306.9;-86.04;-48.5
195;312.46;-84.22;-49.08
168;330.59;-95.39;-51.9
20;318.39;-80.88;-49.96
45;325.65;-80.45;-51.21
12;325.65;-80.45;-50.86
128;336.09;-84.47;-52.7
225;338.22;-85.6;-53.07
90;346.44;-83.56;-54.39
64;350.58;-85.51;-55.53
180;363.44;-76.17;-56.6
65;366.08;-75.14;-56.77
87;372.36;-82.31;-57.24
44;376.28;-83.04;-57.66
242;386.26;-91.58;-59.44
157;396.09;-93.41;-60.44
169;191.46;-86.28;-29.53
218;183.86;-85.62;-28.87
25;180.25;-87.71;-28.28
100;168.51;-84.11;-27.5
179;162.77;-82.71;-26.52
163;155.38;-81.34;-25.36
173;150.68;-76.74;-24.57
13;150.68;-76.75;-25.07
46;136.85;-80.65;-23.0
193;130.59;-84.13;-21.98
190;123.86;-90.89;-21.16
66;144.25;-87.84;-24.53
53;109.82;-84.49;-19.01
118;99.09;-88.64;-16.99
17;91.48;-85.94;-15.36
153;107.6;-93.2;-18.48
229;80.01;-86.46;-13.52
77;75.1;-82.37;-12.89
224;68.46;-84.0;-11.54
30;68.46;-84.0;-11.34
56;62.81;-78.75;-10.71
220;56.03;-89.31;-9.56
112;56.48;-79.81;-9.83
109;49.28;-73.91;-8.88
119;49.29;-73.9;-8.65
111;42.4;-67.32;-7.35
16;36.47;-69.77;-6.34
239;23.44;-54.16;-4.4
69;26.3;-64.33;-4.98
39;21.91;-63.71;-4.21
7;9.72;-67.7;-2.75
240;20.44;-61.32;-3.87
194;-5.41;-67.62;0.03
164;-17.26;-63.54;1.38
55;-25.74;-58.56;4.44
62;-11.44;-66.68;1.98
136;150.04;-87.46;-24.99
231;156.4;-91.97;-25.94
8;169.68;-90.62;-27.86
129;181.24;-100.53;-28.32
137;192.99;-100.04;-29.78
155;184.18;-102.4;-28.68
219;201.29;-93.57;-31.33
104;208.23;-100.98;-31.35
172;218.53;-103.95;-34.01
26;227.81;-111.78;-35.71
189;242.58;-120.44;-36.73
91;255.58;-130.18;-38.6
27;264.45;-130.71;-40.12
228;262.82;-136.58;-40.86
237;274.98;-124.42;-42.68
51;262.82;-136.6;-40.24
36;286.41;-105.84;-46.97
233;286.41;-105.84;-46.07
245;307.45;-112.49;-50.04
48;319.46;-117.21;-51.85
113;333.1;-120.49;-53.87
59;351.23;-126.51;-57.7
6;365.21;-125.9;-59.68
222;380.3;-129.47;-60.91
221;397.39;-131.09;-63.41
43;399.86;-130.84;-64.61
96;405.88;-129.48;-64.91
175;405.88;-129.48;-64.31
117;411.53;-135.82;-65.25
92;425.8;-131.57;-66.1
138;429.64;-137.52;-66.82
1;442.28;-136.91;-68.58
177;441.75;-148.24;-68.59
184;446.43;-145.62;-69.98
52;453.76;-147.1;-70.4
41;458.29;-146.91;-70.6
61;468.9;-147.15;-71.56
71;476.21;-146.46;-73.89
94;486.51;-146.92;-75.18
167;497.2;-158.64;-75.51
0;497.91;-160.91;-76.54
54;502.01;-162.3;-77.14
174;511.6;-166.38;-78.39
5;517.88;-171.74;-79.57
19;258.3;-144.54;-39.97
74;256.13;-144.43;-40.04
120;255.19;-144.66;-36.92
73;242.15;-147.18;-38.9
63;228.74;-147.98;-34.82
115;220.57;-142.03;-35.26
214;207.59;-137.43;-32.91
186;208.22;-148.21;-33.62
200;195.2;-136.6;-31.93
