id;cswidth;csheight
78;1.92;5.56
239;0.78;0.78
205;0.51;1.19
251;0.7;0.7
85;2.21;2.21
86;0.0;2.07
5;0.09;0.34
119;0.11;2.78
71;1.5;1.5
61;0.01;0.09
246;0.46;1.05
153;0.67;0.05
38;2.0;2.0
212;0.23;0.04
98;0.02;0.32
93;0.01;1.23
69;0.14;0.87
172;0.12;0.58
83;0.8;0.01
243;1.0;1.0
169;7.3;0.01
128;0.39;1.31
229;7.3;0.01
228;0.07;1.19
50;1.8;1.8
87;0.18;0.98
127;0.33;0.69
188;0.28;1.38
74;3.49;0.0
156;4.0;0.0
0;0.14;1.13
124;2.5;0.0
241;2.5;0.0
47;0.05;1.04
157;0.26;1.25
254;0.08;0.94
173;0.02;0.12
199;0.03;0.13
142;0.0;0.08
200;0.5;0.01
28;0.5;0.0
201;0.32;1.19
196;2.02;6.26
65;0.07;0.43
7;0.15;0.75
221;0.13;0.55
184;0.59;2.91
120;0.08;0.82
115;1.94;3.94
226;1.13;1.83
162;0.02;1.09
36;0.02;1.08
204;0.35;0.35
8;0.54;1.09
227;0.08;0.77
100;0.01;1.1
130;0.03;1.08
11;0.03;1.08
57;0.01;1.1
230;0.01;1.08
207;1.52;3.81
213;0.04;1.85
111;3.37;3.25
92;2.73;5.34
258;1.57;8.61
39;7.28;6.91
164;2.05;2.92
46;6.99;6.99
167;2.54;5.3
168;2.18;4.35
112;0.09;0.38
55;0.22;1.13
260;0.13;1.01
32;0.23;1.28
116;1.41;1.17
52;10.94;7.53
236;0.18;1.34
18;0.2;2.06
79;14.0;0.01
186;14.0;0.01
13;0.26;11.54
101;6.29;13.76
194;4.5;4.5
218;0.47;1.02
216;2.77;5.6
102;4.09;9.17
108;4.1;6.29
77;1.1;5.41
135;0.16;2.33
84;2.07;5.71
158;1.16;0.79
1;5.0;5.0
263;1.28;2.47
75;5.88;2.09
217;3.61;0.78
159;0.02;0.19
178;0.22;0.51
143;1.0;0.0
240;0.16;1.09
187;2.8;2.85
29;0.0;0.02
113;0.13;1.47
73;0.09;0.43
137;0.09;0.41
214;0.15;0.7
195;0.14;1.05
182;0.04;1.47
44;0.37;2.21
6;0.3;1.63
136;0.44;1.62
233;3.56;3.22
238;0.07;0.39
30;0.21;1.09
3;0.0;3.5
123;2.49;0.0
208;6.6;0.29
99;0.03;0.6
31;0.07;0.71
203;1.79;0.01
60;1.8;0.01
90;0.07;1.19
220;0.08;1.12
67;0.01;0.62
88;0.05;0.69
245;0.04;0.67
68;0.03;0.64
22;0.02;0.65
235;0.01;0.64
174;0.01;0.64
154;0.02;0.64
155;0.02;0.65
190;0.02;0.66
237;0.01;0.64
138;0.04;0.68
131;0.11;0.75
139;0.06;0.74
192;0.02;0.67
103;0.02;0.65
170;0.11;0.77
152;0.03;0.68
223;0.05;0.72
118;0.03;0.65
41;0.03;0.67
144;0.03;0.67
21;0.03;0.68
171;0.02;4.03
25;0.02;0.64
19;0.0;0.6
234;0.74;0.64
262;0.02;0.74
247;0.01;0.61
146;0.0;0.69
33;0.01;0.6
104;0.31;0.7
109;1.01;0.6
149;0.05;0.17
175;1.01;0.0
53;1.11;1.41
264;0.86;2.03
81;4.55;3.73
248;14.27;7.31
132;10.52;10.32
34;2.81;8.61
145;1.9;1.9
14;0.66;6.61
110;0.99;5.56
231;0.98;2.44
256;0.12;1.57
97;0.07;2.08
40;0.0;2.2
80;0.09;1.88
215;0.13;1.39
35;0.03;2.02
166;0.0;2.2
91;0.0;2.2
150;0.01;2.19
147;0.0;2.03
12;0.23;1.83
121;0.36;0.97
125;0.03;1.81
133;0.6;2.19
9;1.21;1.98
165;3.29;7.63
63;0.04;5.99
252;0.03;5.0
20;0.08;4.67
148;0.09;4.59
209;1.21;0.01
58;1.2;0.01
23;1.99;2.19
26;1.73;3.21
4;0.92;2.42
45;0.13;5.69
48;0.13;5.64
27;0.08;6.95
163;3.1;3.1
261;0.09;7.06
134;0.17;5.84
64;0.01;5.71
177;0.13;6.04
198;0.25;6.2
117;0.0;7.26
43;0.05;7.1
151;0.02;7.28
141;0.04;7.13
15;5.51;2.16
42;1.02;1.09
59;1.35;0.7
206;0.01;6.98
16;0.01;6.84
70;0.01;6.73
122;0.0;6.99
140;0.01;6.99
257;0.03;6.87
89;0.07;4.17
191;0.08;2.48
17;1.81;2.55
211;0.0;2.0
180;0.03;2.31
176;0.01;2.41
126;0.02;1.99
62;0.8;0.5
2;0.25;6.27
225;1.49;3.69
222;0.67;1.69
193;0.03;2.44
