id;cswidth;csheight
456;5.53;5.53
139;8.78;4.69
837;5.5;5.5
770;2.37;13.48
739;0.64;1.28
271;1.35;1.35
28;0.04;0.5
981;3.51;0.0
391;0.06;0.53
472;0.0;0.05
533;5.5;5.5
830;1.05;4.81
258;4.53;9.07
458;0.01;1.03
646;2.22;0.63
931;0.9;3.6
659;1.03;4.72
517;1.86;7.34
806;1.79;2.86
870;0.25;0.11
496;0.92;0.33
983;0.05;1.31
386;0.0;26.99
909;0.97;1.26
639;2.9;2.9
777;0.13;0.46
307;0.02;0.73
749;0.05;1.41
760;0.01;0.02
588;0.01;0.04
31;0.02;0.06
535;3.0;4.17
235;4.18;3.83
52;4.0;4.0
590;2.01;2.01
113;0.96;0.99
