id;x;y;z
90;283.0;4762.0;1323.0
94;281.55;4763.92;1320.75
105;281.38;4764.31;1319.39
156;279.14;4766.05;1311.01
52;275.64;4765.55;1302.73
217;274.94;4766.82;1292.56
275;275.29;4768.05;1279.72
276;274.21;4765.17;1279.8
271;271.38;4765.5;1275.62
50;270.85;4765.31;1262.04
68;267.81;4766.19;1255.31
100;267.19;4767.66;1255.14
215;266.96;4767.79;1247.67
14;266.61;4767.72;1231.92
132;261.89;4767.99;1226.52
55;258.92;4768.48;1218.38
1;255.34;4769.61;1217.96
189;252.5;4766.99;1217.06
135;252.87;4767.78;1203.06
81;252.83;4768.25;1189.46
59;244.02;4769.35;1188.39
43;258.49;4768.21;1185.41
38;258.49;4768.21;1184.99
4;260.1;4769.11;1182.72
221;261.08;4769.18;1182.34
204;263.46;4768.16;1179.82
82;263.27;4767.6;1164.32
175;265.19;4765.08;1157.64
36;265.11;4765.72;1154.05
11;263.96;4765.07;1152.89
114;262.15;4766.41;1147.86
143;262.64;4767.53;1133.84
162;273.34;4768.54;1118.61
42;276.82;4769.17;1113.23
181;285.37;4767.93;1104.63
118;289.73;4768.35;1104.15
235;291.77;4768.96;1095.16
191;294.48;4768.85;1106.38
99;294.86;4773.22;1092.14
141;286.49;4775.31;1091.23
202;283.63;4776.23;1090.52
148;283.62;4780.29;1089.37
77;283.62;4780.29;1089.82
178;284.52;4780.7;1089.41
54;287.33;4781.12;1085.24
133;296.46;4769.33;1107.15
176;298.43;4771.38;1106.62
48;293.21;4772.34;1108.95
8;292.49;4773.66;1108.81
196;295.6;4777.16;1103.72
111;294.44;4772.63;1097.03
112;277.68;4766.7;1307.29
27;277.17;4764.8;1307.29
265;275.15;4765.26;1302.62
22;275.15;4765.26;1298.04
152;275.09;4765.88;1290.97
79;275.04;4766.54;1283.34
273;276.19;4767.35;1281.61
84;276.19;4767.35;1270.84
18;281.64;4771.94;1271.46
3;272.68;4768.97;1267.59
222;276.13;4763.47;1273.26
26;267.12;4770.45;1268.0
103;276.0;4761.98;1271.87
240;275.25;4757.69;1266.68
237;272.1;4761.98;1273.45
182;272.1;4761.98;1259.53
56;271.21;4762.59;1257.99
89;270.62;4764.21;1251.55
12;270.62;4764.21;1228.15
113;266.66;4764.55;1227.16
40;266.66;4764.55;1216.52
223;274.51;4763.88;1217.91
70;260.16;4765.11;1214.53
39;259.44;4765.96;1214.23
66;256.74;4762.73;1213.64
153;256.74;4762.73;1184.72
115;258.47;4764.46;1183.53
80;262.08;4764.15;1181.43
243;264.84;4765.75;1177.21
236;266.44;4764.94;1174.83
126;266.44;4764.94;1158.68
200;266.44;4764.94;1152.62
261;266.1;4768.69;1149.46
31;267.42;4763.36;1151.75
213;266.52;4769.29;1146.72
268;265.68;4771.37;1147.08
193;265.63;4773.7;1149.85
205;261.73;4773.35;1149.37
238;262.12;4775.88;1150.51
246;259.74;4773.17;1149.37
219;267.42;4763.36;1149.41
134;266.75;4763.4;1148.86
101;264.37;4763.19;1142.95
201;264.37;4763.19;1127.92
190;264.37;4763.19;1115.79
249;267.01;4765.57;1114.2
211;272.13;4764.59;1113.28
5;274.56;4764.81;1111.38
206;281.04;4764.93;1105.54
125;281.04;4764.93;1099.54
2;291.31;4764.95;1097.73
225;291.31;4764.95;1088.43
248;295.37;4767.4;1086.32
155;295.27;4769.23;1085.5
73;284.03;4772.22;1083.45
78;283.67;4776.27;1082.36
28;284.96;4777.05;1082.36
207;290.74;4784.33;1081.35
247;296.89;4782.92;1081.83
110;297.83;4783.26;1073.32
32;308.04;4782.37;1077.29
97;312.17;4781.54;1078.26
218;320.71;4777.62;1080.05
172;330.23;4778.07;1085.81
198;322.66;4779.23;1079.34
106;328.69;4779.82;1085.78
231;331.32;4778.86;1086.32
255;340.0;4776.82;1090.41
131;322.25;4781.58;1076.91
104;324.06;4784.03;1065.86
184;324.19;4785.32;1065.53
173;323.68;4785.69;1062.6
75;325.63;4785.04;1060.36
244;326.44;4785.85;1060.02
13;329.79;4785.26;1060.55
251;332.4;4786.58;1060.37
160;335.57;4785.14;1062.26
130;335.72;4785.24;1062.93
171;339.08;4785.46;1061.93
283;338.16;4783.53;1059.03
262;341.27;4783.27;1058.54
34;343.12;4784.1;1053.38
67;345.62;4783.27;1052.71
157;349.69;4783.13;1046.8
280;354.45;4788.71;1036.74
264;356.07;4785.13;1036.47
154;354.91;4782.44;1035.45
63;352.12;4779.03;1035.11
47;351.2;4777.82;1031.42
123;345.94;4772.05;1025.83
41;329.82;4778.07;1018.19
252;313.74;4777.51;1011.25
10;306.89;4785.46;1001.26
15;282.44;4792.51;987.3
147;280.36;4791.57;985.87
65;274.12;4793.24;979.32
195;272.65;4794.49;979.17
61;274.91;4798.18;977.14
224;277.98;4797.8;976.14
83;283.64;4797.64;975.94
227;287.89;4800.02;965.98
109;286.57;4801.86;961.06
0;287.26;4804.08;956.18
7;289.26;4804.71;953.34
91;293.47;4806.03;950.35
185;291.84;4811.94;935.38
250;281.6;4810.95;937.08
186;291.84;4811.94;935.88
151;278.87;4811.82;937.37
216;264.57;4809.75;937.25
226;280.34;4813.45;933.33
167;264.88;4806.86;938.43
197;265.79;4804.0;950.7
177;279.39;4813.01;926.86
6;273.17;4814.58;924.48
228;271.45;4814.56;924.94
116;269.1;4812.37;924.76
208;264.38;4813.31;924.67
267;265.3;4814.75;924.64
256;267.26;4817.36;918.76
149;262.15;4818.25;916.19
270;250.3;4818.87;908.59
98;249.7;4817.14;908.21
194;243.33;4815.91;903.06
44;236.78;4817.37;901.76
29;235.53;4818.62;899.31
127;230.01;4819.01;896.09
203;224.99;4819.76;892.39
233;219.29;4819.76;886.98
60;216.18;4819.83;885.6
253;213.74;4819.19;885.92
254;210.76;4819.52;884.1
144;208.69;4819.15;882.94
158;204.43;4820.75;880.22
210;202.76;4818.34;877.55
87;198.78;4820.23;875.41
281;195.5;4824.32;867.27
269;192.06;4823.79;862.23
263;192.06;4823.79;860.85
117;183.95;4823.6;858.51
124;186.36;4821.03;859.26
142;186.57;4820.55;859.02
183;188.66;4819.53;857.99
46;189.4;4818.51;853.29
45;190.81;4818.05;853.17
121;192.31;4818.84;852.65
279;194.93;4818.31;850.84
199;191.44;4817.98;849.66
136;338.85;4777.11;1090.8
212;339.17;4776.0;1090.75
95;342.03;4774.84;1089.34
166;342.03;4774.84;1088.89
71;341.71;4776.79;1074.51
257;339.67;4782.44;1073.42
20;348.33;4775.5;1075.78
119;331.88;4782.77;1072.01
108;351.05;4775.15;1076.31
76;357.41;4774.18;1076.63
272;360.45;4774.15;1069.16
165;364.93;4776.35;1059.35
259;374.68;4777.11;1060.36
179;296.42;4811.68;936.95
102;299.25;4812.68;936.52
241;302.87;4812.83;937.54
19;303.28;4814.95;936.37
229;304.07;4815.64;936.38
37;307.83;4814.82;936.44
74;308.43;4813.84;936.52
187;311.42;4813.48;937.18
150;312.96;4811.31;936.95
64;312.61;4810.0;937.7
174;312.43;4810.17;934.94
145;317.32;4807.91;942.5
274;313.42;4809.04;934.97
62;315.79;4808.85;926.84
258;322.03;4807.27;930.81
122;324.58;4807.24;927.04
220;325.38;4808.51;926.24
120;329.59;4806.53;923.66
137;331.57;4805.44;924.92
266;334.45;4804.86;925.81
69;334.9;4803.48;926.47
128;334.34;4801.77;891.23
232;329.68;4803.93;889.27
25;323.07;4804.93;884.65
85;321.2;4804.62;883.71
53;319.4;4805.44;882.1
277;313.96;4804.82;864.51
168;314.91;4801.47;863.83
230;314.15;4801.18;861.79
188;307.91;4802.44;858.6
170;318.45;4800.15;864.39
209;307.04;4803.12;858.93
129;306.77;4805.96;863.49
86;303.28;4806.13;864.31
234;295.91;4811.49;864.83
169;291.5;4809.41;858.83
245;294.32;4809.44;853.28
146;291.31;4812.77;853.85
159;282.31;4814.97;850.33
16;296.15;4816.09;855.49
92;319.75;4798.01;865.28
278;327.97;4797.18;865.72
140;328.02;4803.71;871.17
161;334.36;4804.61;872.65
57;339.32;4801.42;872.9
107;345.17;4800.76;877.88
24;348.58;4798.58;876.41
51;350.39;4796.85;875.88
163;351.1;4799.91;878.78
138;356.13;4801.11;883.52
239;356.13;4801.11;884.97
282;360.3;4800.54;886.3
180;361.36;4798.99;884.79
17;360.82;4800.18;883.28
21;370.85;4796.76;884.41
214;372.26;4795.11;884.48
96;376.57;4793.89;883.72
