id;cswidth;csheight
274;0.53;0.53
75;0.44;0.51
233;6.75;4.95
520;6.62;5.46
338;3.87;3.87
279;0.97;2.34
259;1.38;1.46
289;1.23;1.7
439;0.83;1.62
28;0.93;1.69
173;1.18;7.04
492;2.0;0.08
57;1.8;0.04
221;8.21;0.45
120;2.3;2.3
450;0.72;13.07
506;0.75;1.3
137;1.51;0.02
310;5.67;1.79
471;5.58;5.58
138;10.07;16.96
530;13.34;17.15
341;5.99;17.44
515;1.28;2.15
355;0.21;0.89
111;0.01;1.75
307;2.09;3.92
542;1.52;3.18
183;3.54;5.48
484;0.53;0.48
49;0.03;2.18
18;1.03;0.9
527;0.86;0.19
397;0.03;1.4
34;0.04;2.18
507;2.92;5.81
162;4.1;7.66
287;0.47;1.05
514;2.96;3.11
301;1.1;0.0
86;0.36;0.74
19;0.1;0.79
343;0.56;0.25
309;0.96;6.71
21;1.46;0.32
12;1.07;1.29
90;0.6;0.64
323;0.81;0.01
81;0.8;0.01
442;0.44;2.25
539;0.12;33.22
321;0.05;15.95
372;6.6;8.5
482;0.64;0.63
146;0.65;1.33
199;1.17;0.77
312;5.58;14.09
23;2.66;1.64
538;1.35;0.46
234;0.13;1.48
331;0.01;1.27
502;1.73;1.13
58;1.61;1.82
122;0.01;8.0
88;0.93;0.93
127;4.0;4.9
293;1.5;0.0
197;0.68;1.55
395;0.12;3.71
136;0.06;1.39
218;0.62;1.67
64;1.1;1.28
483;0.75;1.61
488;1.04;1.06
238;2.76;7.93
60;0.87;0.6
387;3.43;5.6
29;0.03;15.89
212;1.01;17.37
316;3.0;7.18
487;0.1;2.21
191;0.58;2.29
476;1.22;2.25
533;1.15;2.03
271;4.04;5.42
409;2.25;2.25
2;0.42;1.38
491;2.7;4.5
400;1.07;1.6
213;1.03;1.03
105;0.73;1.0
358;0.01;1.07
224;0.0;0.81
9;0.0;0.83
458;0.01;0.78
466;0.01;1.8
406;0.0;1.03
217;0.01;1.01
430;0.02;0.24
469;0.93;4.21
254;0.76;4.44
473;2.44;2.44
478;5.81;0.01
546;2.77;3.16
198;0.7;16.8
202;10.83;14.85
268;10.23;10.56
55;6.95;10.99
205;18.03;6.61
443;17.5;0.02
517;9.32;16.55
78;11.3;24.0
270;10.49;21.01
474;16.5;0.0
325;1.41;6.27
330;2.86;5.53
300;12.07;5.4
27;5.81;4.18
186;8.35;8.35
465;8.09;12.36
62;7.03;13.45
53;8.02;12.5
85;7.32;9.12
54;1.61;2.68
361;19.0;0.01
14;3.77;5.81
4;8.5;8.5
83;1.58;2.02
508;4.53;11.57
385;0.36;1.57
480;0.13;0.4
65;0.12;0.37
30;0.21;0.75
263;0.03;0.1
451;0.36;0.46
285;0.32;0.36
145;0.01;0.01
353;0.07;0.08
305;1.3;0.0
228;3.17;4.98
467;6.61;3.72
262;0.24;0.44
211;10.3;6.63
349;14.17;6.53
272;8.5;8.5
264;0.29;0.36
449;6.16;2.9
163;4.24;7.13
436;0.32;2.0
275;3.27;4.36
109;2.51;2.41
401;2.31;2.92
195;3.0;3.0
139;1.77;3.75
269;6.51;2.01
76;4.01;3.4
92;3.23;4.22
377;4.06;4.37
249;3.22;3.32
84;0.67;0.85
94;3.25;3.25
38;1.41;1.09
468;2.08;0.46
41;3.46;2.27
408;0.63;0.12
11;3.56;6.17
315;0.03;0.49
144;0.98;0.98
534;1.07;2.32
380;2.45;2.45
525;0.97;4.19
80;1.32;1.68
182;2.19;0.46
273;1.93;1.78
67;0.69;2.46
241;1.03;0.39
544;2.25;1.97
340;3.4;4.17
498;1.52;1.52
15;2.88;1.31
31;0.97;1.41
261;3.15;3.15
535;3.82;6.16
433;0.71;5.42
437;5.94;3.64
39;1.24;1.24
247;0.3;0.41
501;0.17;0.43
463;0.08;0.21
448;0.24;0.3
79;2.95;0.8
22;0.17;0.15
352;0.27;0.41
281;0.32;0.54
253;1.1;0.0
229;3.3;0.0
258;0.68;0.77
166;1.58;1.15
413;0.87;1.05
40;4.5;4.5
239;8.0;8.0
170;1.05;1.44
68;4.5;4.5
225;0.15;4.95
252;0.4;3.98
159;0.1;0.68
447;4.97;17.09
308;0.31;5.55
276;2.71;8.37
131;8.5;8.5
536;1.8;2.07
418;9.5;9.5
354;0.01;0.47
114;0.65;2.06
486;8.0;8.0
359;7.97;3.19
379;0.04;0.33
328;0.19;1.4
545;5.67;5.67
392;0.82;1.05
427;0.34;1.38
125;0.03;0.04
444;1.74;1.92
115;2.37;2.44
398;4.9;2.96
