id;x;y;z
543;730.0;4772.0;1246.0
274;734.54;4767.89;1238.78
75;741.62;4768.3;1240.03
233;737.91;4762.46;1234.69
520;737.02;4760.45;1231.35
338;734.04;4760.82;1230.52
279;732.29;4764.09;1232.27
259;733.9;4757.21;1228.54
289;726.4;4763.07;1233.47
439;727.18;4765.49;1234.88
28;724.77;4765.69;1235.08
173;728.32;4772.76;1239.36
492;736.08;4756.57;1226.45
57;737.71;4756.97;1202.5
189;737.03;4757.35;1187.62
221;737.47;4756.34;1182.42
123;736.84;4756.3;1172.91
120;736.28;4755.65;1161.0
450;733.36;4762.96;1165.9
506;738.5;4754.35;1159.75
137;726.59;4770.29;1168.86
310;725.05;4771.99;1172.63
471;721.02;4775.02;1177.29
138;718.03;4779.31;1181.89
530;725.56;4778.14;1179.2
341;730.74;4773.87;1185.03
515;742.09;4751.02;1156.93
355;744.59;4742.63;1151.95
111;744.68;4741.17;1152.33
307;746.24;4739.67;1152.01
542;745.48;4737.15;1150.14
183;747.75;4733.82;1149.93
484;747.82;4731.49;1148.04
49;749.38;4726.0;1146.33
18;753.34;4723.87;1147.14
527;753.58;4721.35;1142.62
397;753.24;4718.47;1141.78
34;756.59;4714.15;1139.88
507;756.26;4711.66;1139.28
162;758.75;4699.02;1132.43
287;767.05;4688.59;1125.67
514;773.49;4677.67;1123.64
301;778.18;4672.49;1119.1
86;782.09;4668.17;1116.26
19;785.36;4663.74;1113.8
343;784.84;4663.14;1113.92
309;785.42;4662.73;1115.91
21;789.17;4657.7;1112.0
12;793.2;4651.96;1109.85
90;796.25;4649.5;1107.03
323;796.53;4647.37;1104.93
81;796.53;4647.37;1104.33
442;798.61;4643.74;1102.51
539;799.55;4640.47;1102.45
321;794.93;4634.51;1101.14
372;801.26;4629.13;1098.76
482;799.49;4628.08;1097.49
146;804.81;4623.57;1093.62
199;807.79;4624.03;1092.65
312;814.87;4625.32;1097.42
23;817.49;4625.26;1097.09
538;820.63;4622.22;1089.04
234;822.84;4617.68;1086.72
331;825.78;4617.57;1087.14
502;827.81;4613.74;1086.88
58;828.25;4610.42;1082.93
122;832.12;4607.9;1082.55
88;834.61;4609.75;1082.29
127;831.07;4615.35;1085.81
293;834.61;4609.75;1081.79
197;840.25;4608.78;1079.18
395;851.9;4601.9;1073.58
136;855.12;4601.94;1072.68
218;860.32;4597.68;1070.12
64;869.34;4593.13;1066.58
483;875.92;4590.37;1063.11
488;882.07;4579.78;1058.46
496;883.71;4572.05;1052.55
8;887.11;4562.26;1048.0
333;897.47;4580.07;1063.25
192;884.92;4589.92;1061.25
215;889.93;4558.34;1043.8
158;892.35;4547.68;1037.24
96;894.81;4538.07;1032.31
124;895.06;4531.84;1030.02
130;900.77;4515.57;1020.89
292;902.83;4512.92;1019.73
374;900.46;4532.57;1034.86
172;903.53;4513.32;1019.33
324;916.35;4502.57;998.97
494;922.69;4492.94;997.49
230;949.39;4480.89;984.01
16;953.36;4473.77;982.71
295;953.65;4482.56;990.4
112;959.99;4468.17;981.29
219;967.59;4474.29;986.89
347;967.59;4474.29;987.99
519;979.75;4471.67;983.06
435;983.03;4468.6;981.96
297;988.67;4467.48;976.74
10;988.67;4467.48;979.24
311;996.78;4459.58;977.43
335;998.33;4452.74;976.54
20;1007.51;4454.88;975.4
528;1007.51;4454.88;968.11
327;1006.88;4444.31;959.6
531;1010.09;4429.64;951.55
3;1016.22;4420.45;949.48
95;1018.41;4416.24;952.45
155;1026.91;4413.32;945.5
414;1025.5;4423.42;954.05
357;1029.23;4408.66;942.99
420;1029.88;4404.52;939.23
464;1031.96;4402.55;938.34
339;1042.34;4394.48;927.5
222;1051.07;4394.3;917.84
405;1046.59;4393.67;938.7
251;1067.34;4380.56;906.61
344;1077.87;4371.54;902.37
35;1085.17;4363.72;899.1
220;1107.71;4343.93;884.99
441;1130.45;4323.04;875.9
242;1130.45;4323.04;873.66
453;1139.47;4315.69;871.94
255;1143.26;4307.72;871.63
118;1154.12;4300.96;867.08
452;1162.99;4287.82;865.19
504;1164.03;4283.65;862.28
510;1163.99;4279.34;859.33
216;1167.71;4275.93;862.66
61;1150.69;4269.35;859.34
169;1153.18;4265.89;860.25
82;1146.83;4259.55;857.16
193;1146.79;4246.23;855.0
454;1157.99;4244.34;855.08
231;1166.32;4245.22;855.31
537;1168.5;4250.77;858.24
102;1167.39;4255.41;857.01
461;1167.6;4260.5;860.29
106;1166.78;4263.39;861.44
416;1171.81;4265.38;862.55
140;1175.51;4262.47;861.42
87;1175.31;4258.69;860.49
516;1172.6;4263.93;862.93
257;1179.6;4261.55;859.04
477;1183.33;4257.18;852.7
91;1189.12;4254.46;847.97
147;1183.33;4257.18;847.67
489;1191.84;4246.41;836.94
422;1172.04;4265.06;865.82
243;1172.46;4265.06;866.9
518;1167.22;4268.15;867.57
383;1174.88;4265.79;867.23
351;1175.16;4271.25;867.64
388;1180.94;4274.39;861.51
286;1172.53;4277.67;868.87
425;1205.64;4262.14;853.76
24;1229.32;4244.31;854.28
160;1213.38;4255.83;853.59
404;1230.42;4241.0;853.85
256;1164.6;4267.81;867.1
266;1161.32;4272.43;868.51
386;1157.27;4266.74;866.58
369;1164.8;4272.88;869.93
336;1169.52;4273.15;872.34
167;1170.11;4275.43;875.7
190;1155.04;4267.24;866.58
32;1233.69;4241.65;855.41
462;1239.11;4236.29;854.34
298;1239.73;4232.51;853.8
438;1239.73;4232.51;823.8
238;1239.88;4234.29;854.18
206;1190.91;4249.33;845.67
296;1200.42;4242.5;838.91
178;1200.42;4242.5;837.57
161;1205.2;4239.78;834.26
26;1204.57;4233.45;831.43
445;1202.63;4233.2;831.01
175;1199.96;4233.0;827.46
48;1203.35;4233.49;826.28
188;1209.26;4231.5;824.13
98;1220.79;4236.35;822.71
455;1223.4;4237.59;822.3
479;1230.94;4240.68;821.01
459;1231.84;4239.25;820.92
116;1233.11;4237.47;819.66
45;1240.82;4237.98;818.57
393;1245.19;4240.48;814.35
43;1250.68;4233.28;814.35
509;1023.65;4436.12;966.23
77;1019.05;4438.64;968.14
235;1019.07;4447.16;973.89
100;1019.45;4453.06;977.66
71;1016.06;4455.5;975.53
52;1008.0;4456.58;968.71
322;1222.36;4249.5;849.7
93;1226.96;4246.32;849.7
547;1228.33;4245.83;846.67
394;1234.01;4243.91;839.51
44;1235.73;4242.24;838.64
236;1237.47;4240.52;831.91
46;1246.31;4225.99;828.6
485;1228.32;4223.67;829.23
74;1249.22;4214.18;821.99
113;1250.61;4211.88;820.38
104;1251.31;4210.54;818.65
365;1259.49;4199.41;813.62
381;1259.45;4195.47;813.55
523;1260.61;4192.63;811.32
500;1259.58;4183.14;801.6
37;1267.48;4178.55;796.75
313;1258.73;4187.14;801.61
89;1255.08;4185.72;801.73
164;1273.69;4181.23;796.69
200;1284.21;4178.28;795.83
70;1288.3;4169.24;796.7
317;1289.62;4153.57;793.93
110;1289.39;4145.9;793.93
364;1297.11;4149.88;794.53
99;1313.59;4138.48;794.53
320;1315.45;4136.44;795.88
424;1328.34;4139.26;795.65
17;1328.34;4139.26;796.5
419;1339.77;4125.31;796.18
407;1328.67;4141.74;797.62
375;1334.86;4118.96;796.46
318;1327.12;4113.87;795.82
7;1326.49;4110.01;795.61
457;1325.64;4108.38;795.29
196;1320.71;4105.94;794.42
210;1318.22;4102.47;795.17
150;1316.05;4100.28;794.05
382;1308.48;4096.03;795.89
108;1304.75;4091.2;795.04
368;1302.56;4081.84;793.25
129;1306.56;4080.08;793.03
244;1316.05;4086.44;793.62
107;1323.99;4088.32;793.41
334;1332.04;4086.51;792.98
370;1335.41;4086.24;793.1
291;1344.63;4083.03;792.76
360;1356.03;4089.57;792.76
51;1363.15;4091.79;792.89
390;1369.64;4095.43;793.28
248;1376.57;4093.02;793.28
63;1376.46;4097.95;792.76
503;1374.36;4103.19;792.66
511;1384.16;4103.25;792.14
201;1385.95;4107.74;792.65
505;1387.77;4108.64;792.76
153;1392.33;4105.0;792.45
103;1389.31;4097.78;792.59
126;1392.94;4095.07;792.91
384;1401.46;4098.23;792.43
367;1403.45;4091.44;792.25
475;1412.42;4093.32;792.01
184;1418.23;4088.67;792.4
278;1422.26;4085.27;792.58
431;1425.42;4092.39;797.07
227;1424.42;4078.57;791.21
403;1422.8;4071.38;791.21
101;1434.15;4081.06;795.48
326;1417.83;4069.03;790.92
214;1417.93;4064.65;789.83
179;1400.18;4052.98;788.35
132;1448.08;4089.2;796.89
237;1467.12;4097.61;797.25
512;1474.63;4098.19;797.1
440;1427.33;4094.77;796.2
460;1430.39;4098.47;793.96
470;1434.87;4099.61;794.12
25;1439.87;4103.71;794.23
203;1444.09;4101.5;794.07
250;1454.63;4108.97;794.29
223;1459.78;4113.57;794.29
302;1463.92;4113.45;795.02
329;1467.58;4117.43;795.21
521;1471.59;4108.57;795.38
149;1478.55;4113.32;795.67
472;1481.89;4109.51;796.12
373;1478.66;4107.05;796.84
60;1480.29;4106.87;797.19
6;1261.23;4196.89;804.65
174;1260.16;4199.42;804.68
446;1253.76;4203.98;807.28
337;1252.84;4203.29;805.94
59;1255.1;4204.6;802.06
389;1255.1;4204.6;797.36
378;1259.17;4199.94;797.82
185;1254.14;4210.2;800.06
426;1264.17;4191.58;796.75
208;1249.68;4214.37;798.77
181;1247.98;4215.03;799.38
294;1248.02;4217.88;800.07
399;1246.4;4221.51;801.57
226;1479.28;4102.15;797.45
0;1482.96;4101.25;797.44
260;1291.27;4159.42;808.25
402;1300.8;4161.73;809.9
526;1309.65;4157.21;810.93
204;1323.66;4146.66;802.3
371;1246.85;4189.0;805.75
541;1240.55;4189.22;808.12
432;1234.67;4189.19;810.57
529;903.04;4536.44;1041.49
348;912.85;4554.99;1053.71
245;912.85;4554.99;1096.71
387;1240.8;4229.71;858.69
29;1234.2;4227.0;858.32
212;1224.14;4225.35;858.67
316;1219.15;4230.64;861.76
487;1211.24;4232.86;864.92
191;1210.56;4234.71;863.38
476;1205.05;4239.96;867.59
533;1202.48;4243.6;869.86
271;1201.25;4246.74;871.81
409;1197.38;4250.57;876.06
2;1201.23;4251.69;875.21
491;1194.64;4253.48;878.56
400;1200.56;4255.05;877.88
121;1198.7;4254.94;879.45
171;1196.3;4256.04;881.37
282;1195.63;4255.27;883.34
168;1191.91;4254.14;884.43
497;1191.91;4254.14;884.23
481;1188.38;4255.3;887.7
133;1183.52;4257.24;890.82
410;1181.05;4257.65;893.24
267;1178.19;4263.1;896.62
187;1172.8;4269.74;901.11
376;1163.33;4278.51;904.24
345;1157.49;4283.13;909.05
342;1152.56;4288.58;911.65
434;1168.95;4288.44;899.53
396;1149.01;4290.77;913.34
119;1169.25;4293.03;897.51
391;1166.88;4296.71;897.22
176;1167.51;4296.14;903.25
97;1164.51;4301.83;897.1
306;1159.31;4313.7;909.4
493;1158.99;4322.39;909.58
47;1152.7;4310.95;910.15
415;1158.98;4311.24;906.91
209;1158.98;4311.24;906.51
428;1159.63;4314.66;905.76
314;1159.63;4314.66;902.46
246;1158.68;4316.06;902.62
194;1155.36;4315.81;902.85
73;1153.92;4317.46;902.27
152;1151.32;4316.69;901.85
304;1149.85;4318.67;902.1
13;1150.52;4318.85;902.77
524;1150.21;4321.67;905.36
69;1146.25;4324.23;906.22
142;1144.66;4324.82;906.58
56;1141.4;4325.82;910.41
240;1135.82;4323.13;911.58
513;1146.11;4321.65;913.14
346;1124.74;4330.62;914.72
207;1133.69;4322.1;910.37
362;1148.31;4313.96;910.14
277;1136.22;4319.84;908.91
128;1139.26;4320.92;905.61
265;1139.48;4322.07;903.32
303;1139.48;4322.07;898.12
177;1135.68;4320.87;895.28
350;1131.66;4326.41;891.9
33;1130.76;4328.3;891.11
232;1116.41;4341.38;893.91
356;1117.46;4348.84;887.81
421;885.68;4599.62;1066.1
72;889.94;4611.51;1073.02
417;1046.81;4401.48;951.76
165;1047.71;4402.73;953.08
412;1049.7;4413.81;963.0
1;1480.29;4106.87;796.79
213;1485.88;4111.04;796.99
105;1489.41;4109.56;796.78
358;1493.73;4120.47;797.14
224;1500.03;4124.3;797.42
9;1503.15;4129.19;797.68
458;1514.89;4134.03;798.48
280;1523.18;4140.42;798.51
466;1526.01;4144.02;798.82
406;1517.24;4147.13;799.29
217;1503.52;4144.11;800.27
430;1498.61;4146.5;800.74
469;1499.46;4154.77;801.01
254;1497.13;4169.32;805.24
473;1498.91;4177.92;806.63
154;1500.83;4174.96;807.46
366;1484.98;4180.49;812.84
478;1489.28;4194.77;806.48
546;1505.59;4181.95;813.7
157;1489.28;4194.77;806.68
198;1496.4;4200.14;809.84
202;1497.41;4199.53;809.95
268;1499.25;4203.96;814.09
55;1501.0;4215.65;821.19
205;1515.5;4231.82;834.49
443;1524.65;4243.19;834.5
522;1524.65;4243.19;835.57
517;1523.22;4253.87;841.31
78;1510.72;4264.43;849.82
270;1499.01;4268.4;853.46
474;1500.71;4271.66;854.77
423;1500.71;4271.66;855.27
325;1500.52;4279.8;855.88
330;1495.28;4288.4;859.15
300;1492.64;4290.57;861.03
27;1482.06;4299.95;865.97
186;1474.9;4304.1;873.02
66;1468.09;4310.57;874.09
