from_id;to_id
184;80
80;11
11;30
11;217
30;380
380;124
124;182
124;97
97;227
227;241
227;173
173;84
84;382
382;319
319;95
95;263
263;15
15;268
268;372
372;358
358;145
145;49
145;185
49;329
185;275
329;4
275;355
275;277
355;107
277;385
107;229
229;31
31;305
305;43
43;364
364;238
238;21
238;230
21;24
230;373
373;218
218;50
50;119
119;255
119;339
339;42
42;109
109;362
362;224
362;316
224;251
316;370
251;45
45;160
160;388
388;164
164;35
35;391
391;73
73;357
73;377
357;338
377;199
338;324
324;210
210;205
205;76
76;353
353;181
181;137
137;220
220;143
143;105
143;115
115;151
151;323
323;381
381;189
189;219
219;85
85;282
282;281
281;67
67;211
211;22
22;112
22;290
112;212
290;144
212;16
16;276
276;83
83;283
283;363
363;103
103;118
118;58
58;36
36;65
65;242
242;68
68;359
199;256
256;249
249;135
135;390
390;100
100;18
18;37
370;111
111;59
59;121
59;334
334;27
27;0
0;56
56;385
56;28
106;267
267;102
102;13
102;300
13;231
300;197
197;387
387;178
387;314
178;365
314;153
365;169
169;89
89;172
172;207
207;186
186;29
29;313
313;308
308;108
308;332
108;126
332;309
126;157
309;347
309;216
347;39
216;162
39;240
162;270
153;23
23;34
34;33
33;301
301;262
262;376
262;81
262;14
262;167
376;271
81;352
14;289
167;311
271;116
116;86
86;99
99;261
261;110
110;307
307;264
264;159
264;278
278;260
260;51
51;101
101;248
248;320
248;123
320;5
123;196
123;322
322;225
322;221
221;149
149;127
127;150
150;333
333;163
163;71
71;327
327;259
259;96
96;129
129;392
392;201
201;236
236;232
232;113
113;317
317;360
360;326
326;6
6;92
92;369
369;321
321;139
139;383
383;146
146;312
352;253
311;132
132;269
266;165
165;215
215;120
120;62
62;136
136;177
177;128
128;142
142;179
53;340
53;335
340;70
340;254
70;194
254;131
194;69
69;279
279;202
131;214
214;3
19;286
19;280
286;371
280;161
371;91
91;122
122;152
152;130
130;171
171;156
156;343
343;161
161;7
7;77
77;206
206;351
250;228
228;148
148;299
299;141
141;200
200;187
187;195
195;222
222;302
302;295
295;64
295;190
64;303
190;63
190;75
303;104
104;337
337;285
285;203
203;41
41;134
134;374
374;258
258;297
297;341
341;367
367;8
367;1
8;247
8;87
247;44
44;82
82;117
117;284
117;138
284;310
284;176
310;26
26;345
345;273
273;246
246;257
257;57
257;378
57;344
378;158
344;48
48;74
48;208
74;356
208;147
356;292
292;168
168;234
234;366
366;244
244;375
375;348
348;361
361;47
47;306
306;204
204;223
223;394
394;245
245;17
17;386
386;294
294;140
294;52
140;175
52;93
175;298
298;293
293;349
349;342
342;350
350;331
331;239
239;79
239;304
79;213
213;94
94;330
330;183
183;61
61;198
198;243
243;296
296;318
318;384
384;66
66;328
328;346
346;368
368;379
379;192
192;252
252;233
233;354
93;10
93;288
10;88
88;174
174;12
12;272
272;32
272;193
272;46
32;389
193;265
193;325
389;315
389;191
315;336
336;291
291;226
226;133
133;60
60;170
170;72
72;54
63;90
63;188
90;154
90;237
188;114
25;209
209;180
125;393
393;180
2;98
98;395
395;40
40;235
235;55
55;274
