id;x;y;z
5;396661.0;4706413.0;1851.0
171;396662.49;4706418.44;1845.43
433;396728.0;4705867.0;1943.0
478;396729.49;4705872.44;1937.43
26;396767.0;4705737.0;1967.0
29;396766.9;4705736.0;1966.98
331;396885.0;4705337.0;2117.0
323;396884.9;4705336.0;2116.98
239;396949.0;4705233.0;2179.0
72;396950.49;4705238.44;2173.43
49;396750.0;4706561.0;1847.0
75;396749.9;4706560.0;1846.98
398;396693.0;4706094.0;1851.0
199;396692.9;4706093.0;1850.98
20;396199.0;4707192.0;1480.0
540;396195.69;4707191.97;1479.98
284;396197.89;4707189.09;1473.8
286;396196.59;4707190.38;1467.82
185;396195.91;4707188.95;1467.79
511;396200.12;4707188.41;1464.63
15;396201.24;4707184.72;1445.34
204;396203.88;4707186.02;1444.74
358;396205.63;4707180.75;1440.92
506;396206.39;4707179.53;1436.41
321;396207.82;4707175.82;1435.48
133;396208.22;4707174.34;1433.54
495;396208.01;4707172.83;1418.79
308;396211.18;4707171.51;1419.16
494;396210.48;4707169.44;1413.72
545;396209.01;4707166.86;1407.23
413;396207.53;4707164.95;1407.27
306;396206.82;4707162.94;1400.64
414;396203.15;4707163.19;1399.07
380;396201.49;4707162.29;1387.54
369;396200.08;4707163.68;1386.88
355;396196.88;4707167.44;1353.86
109;396190.02;4707174.22;1355.56
451;396185.16;4707177.58;1354.52
230;396185.16;4707177.58;1314.52
122;396165.36;4707205.47;1220.55
158;396533.0;4705940.0;1887.0
170;396532.86;4705938.78;1878.26
429;396535.59;4705940.49;1877.23
285;396536.36;4705940.33;1877.16
255;396537.57;4705942.9;1876.76
156;396539.77;4705943.69;1873.84
300;396542.32;4705942.71;1859.11
93;396540.82;4705948.85;1854.81
263;396539.3;4705948.62;1854.68
203;396539.33;4705951.04;1850.62
106;396536.35;4705951.35;1849.13
161;396536.6;4705955.57;1847.5
415;396535.47;4705958.87;1840.46
531;396533.45;4705956.83;1840.52
176;396530.98;4705955.49;1837.55
33;396529.92;4705954.92;1837.55
243;396532.49;4705957.87;1782.44
533;396531.61;4705959.59;1781.52
549;396530.92;4705965.31;1778.86
427;396530.56;4705965.77;1762.79
354;396528.24;4705968.65;1780.44
13;396529.95;4705961.85;1779.79
47;396532.94;4705954.97;1784.43
356;396536.17;4705955.61;1784.93
18;396529.19;4705968.92;1762.83
293;396530.67;4705964.56;1763.59
83;396529.89;4705961.55;1765.55
46;396529.35;4705967.42;1763.76
67;396524.44;4705969.1;1758.37
240;396519.0;4705970.2;1756.61
339;396529.27;4705968.49;1758.54
507;396526.01;4705967.49;1761.8
363;396515.01;4705973.12;1756.13
333;396520.45;4705968.54;1757.18
151;396512.4;4705973.46;1755.07
290;396511.13;4705973.43;1754.7
510;396511.5;4705974.78;1751.42
328;396500.94;4705978.39;1745.28
441;396498.87;4705980.59;1738.66
353;396508.74;4705975.7;1746.47
483;396507.39;4705977.46;1746.13
374;396502.89;4705978.24;1745.86
381;396503.95;4705976.71;1757.66
365;396499.91;4705977.98;1767.59
522;396495.3;4705982.71;1737.72
268;396503.34;4705978.82;1737.35
474;396493.17;4705983.0;1736.34
132;396490.34;4705985.66;1736.33
324;396486.79;4705988.52;1736.43
345;396486.87;4705981.57;1758.49
55;396489.6;4705984.02;1744.12
408;396485.59;4705989.25;1736.53
228;396484.53;4705991.75;1735.69
44;396485.51;4705989.72;1736.93
553;396485.77;4705989.78;1734.25
86;396485.04;4705992.63;1735.62
252;396483.42;4705993.43;1735.5
436;396484.25;4705995.2;1734.99
387;396484.15;4705996.79;1734.49
48;396483.17;4705997.88;1734.21
425;396483.83;4706000.93;1734.45
254;396484.22;4706001.69;1734.06
38;396482.87;4706002.17;1733.77
137;396482.09;4706003.59;1732.86
8;396483.5;4706004.38;1731.99
184;396482.87;4706006.53;1731.78
183;396482.26;4706003.75;1732.89
403;396481.98;4706007.17;1731.61
368;396481.07;4706009.44;1731.43
330;396481.78;4706010.89;1730.97
343;396479.27;4706013.97;1729.59
163;396482.2;4706010.16;1732.06
253;396478.89;4706018.35;1729.56
503;396478.99;4706019.98;1729.31
30;396480.14;4706020.43;1727.5
64;396479.36;4706022.62;1727.22
258;396478.37;4706023.08;1727.65
389;396478.8;4706024.93;1728.16
248;396478.06;4706028.04;1726.64
14;396476.88;4706035.26;1726.73
52;396475.92;4706040.09;1721.55
173;396475.21;4706041.12;1720.99
99;396476.64;4706036.96;1722.52
219;396476.69;4706036.99;1722.61
326;396474.44;4706047.38;1718.52
399;396473.85;4706049.43;1717.48
434;396474.66;4706043.93;1718.63
25;396475.37;4706044.97;1718.89
85;396475.77;4706045.47;1728.39
512;396472.35;4706055.21;1704.07
460;396473.39;4706049.33;1718.09
135;396472.81;4706055.46;1703.92
195;396472.64;4706057.6;1698.24
555;396469.74;4706061.04;1691.89
27;396469.53;4706066.75;1691.06
167;396469.36;4706069.63;1690.65
534;396469.78;4706070.86;1690.62
335;396468.68;4706072.75;1690.01
