id;x;y;z
204;404223.33;5122844.89;1728.66
6235;404238.95;5122847.46;1729.8
3112;404241.55;5122852.0;1730.59
5363;404246.99;5122846.92;1731.44
4441;404252.16;5122842.43;1732.47
5327;404255.25;5122846.13;1733.73
2490;404255.24;5122846.14;1732.19
6732;404259.08;5122846.75;1733.35
5117;404262.34;5122844.79;1733.59
5828;404264.88;5122846.94;1733.45
7228;404266.95;5122846.46;1731.64
1936;404267.61;5122843.36;1729.93
5920;404267.59;5122843.37;1719.89
4150;404274.12;5122834.99;1724.29
4010;404277.91;5122831.8;1724.0
1633;404277.89;5122831.82;1709.85
4611;404284.14;5122827.11;1715.07
7247;404289.31;5122824.7;1709.05
7225;404296.46;5122823.19;1713.73
4388;404297.88;5122820.41;1714.32
6679;404297.87;5122820.42;1704.98
2492;404301.79;5122819.44;1716.12
3115;404308.33;5122817.82;1724.11
5990;404311.75;5122813.58;1723.4
5273;404318.59;5122808.05;1721.1
394;404311.75;5122813.58;1713.4
2126;404325.84;5122806.12;1720.9
996;404325.17;5122800.79;1721.68
600;404335.22;5122801.61;1745.31
6256;404335.36;5122791.34;1711.16
4925;404336.18;5122793.71;1711.48
6918;404336.96;5122795.74;1712.08
6196;404334.57;5122796.8;1712.26
6864;404337.75;5122802.61;1713.57
6581;404340.85;5122808.31;1714.98
7295;404341.3;5122808.42;1716.67
3337;404340.73;5122810.55;1717.1
568;404343.39;5122814.68;1717.36
2473;404343.47;5122814.65;1718.04
7269;404345.62;5122821.64;1719.8
5034;404345.54;5122826.5;1720.65
3612;404342.86;5122827.35;1722.06
6090;404344.8;5122826.64;1722.69
5726;404346.35;5122828.43;1723.29
12;404348.9;5122832.86;1725.12
316;404353.46;5122831.91;1725.65
443;404356.24;5122831.34;1725.96
6697;404360.82;5122830.39;1726.51
205;404363.23;5122828.61;1727.08
471;404365.05;5122832.66;1728.93
3247;404366.88;5122836.69;1730.75
4281;404368.13;5122838.13;1732.86
5751;404369.95;5122843.13;1738.75
2675;404374.45;5122839.82;1742.44
1274;404340.49;5122775.88;1705.95
3261;404339.14;5122775.42;1706.68
2732;404339.4;5122772.55;1698.75
2547;404339.43;5122783.89;1708.59
3851;404336.72;5122776.37;1708.21
3687;404333.57;5122768.09;1706.57
5408;404331.82;5122766.94;1705.96
5662;404329.85;5122758.88;1704.13
2875;404325.41;5122733.07;1696.89
5816;404326.92;5122732.03;1696.42
1125;404325.57;5122729.1;1695.09
3304;404324.05;5122723.65;1693.31
4732;404326.63;5122720.38;1690.54
6915;404324.38;5122715.25;1689.82
2047;404325.94;5122714.41;1693.55
127;404327.07;5122712.54;1693.31
5442;404321.0;5122710.68;1691.7
1394;404319.96;5122706.66;1690.41
5419;404316.12;5122703.42;1688.55
