id;cswidth;csheight
65761;4.79;1.96
65957;0.62;1.57
98829;13.65;3.63
57907;17.87;21.93
74370;25.16;3.83
66199;15.68;0.84
82968;7.41;2.69
50210;18.0;9.96
74945;9.55;3.72
42253;7.88;2.39
42285;18.69;27.49
75065;2.65;4.82
34258;7.61;1.9
99900;21.4;3.1
51233;4.88;4.88
92199;1.6;0.46
26668;19.7;4.1
26831;7.26;4.63
35077;8.5;1.78
76170;8.76;1.25
27027;3.43;6.21
92562;25.51;6.55
76234;0.09;0.72
35284;4.04;4.04
84484;74.17;11.23
43550;9.5;2.16
60017;13.06;8.33
27509;6.15;1.46
35762;22.17;4.33
93121;22.85;10.27
93142;0.74;2.09
3032;22.52;5.13
68574;0.19;0.98
68742;11.12;5.61
101511;0.79;1.56
11417;0.22;1.0
36041;10.63;0.76
101582;5.22;1.73
36080;25.65;5.2
36165;0.45;1.15
60793;13.2;2.98
60798;4.66;17.0
11701;0.47;1.77
11728;4.65;2.23
77350;0.09;1.08
77455;3.38;3.56
102190;3.23;3.23
77659;0.28;3.14
69494;3.6;7.25
94153;29.81;6.07
61449;12.76;3.43
28697;5.03;5.03
61639;2.58;1.36
45277;14.41;2.66
20728;26.71;4.54
61848;3.21;3.3
78242;14.85;14.85
20950;28.92;1.77
45648;19.6;6.7
78489;5.78;3.78
29381;0.16;1.1
45774;0.15;1.0
21261;0.92;0.75
78642;97.09;3.07
4966;29.43;8.41
13194;19.11;9.6
70744;13.53;3.1
103650;0.34;1.96
103657;8.93;1.02
87480;7.02;2.45
54744;0.9;1.37
63089;5.36;5.36
55004;41.68;6.13
30433;3.15;2.74
104263;9.04;20.94
55208;17.58;2.23
79890;1.47;0.33
47162;1.47;2.54
30860;11.23;3.15
30869;8.12;22.48
47282;18.03;3.53
71875;0.19;1.17
63688;2.83;2.83
104750;30.06;4.17
14659;3.69;1.62
6500;2.55;1.0
55758;30.83;6.79
88674;18.13;2.01
80503;29.02;3.67
39563;14.93;1.99
105114;16.84;9.0
105277;4.93;14.85
47999;4.92;6.77
80769;4.92;2.92
48052;17.12;4.0
97303;13.88;8.57
97501;22.53;19.74
105853;15.38;3.08
97663;3.57;3.35
15817;4.17;31.3
89549;18.22;17.94
73233;17.05;2.58
106302;21.21;9.43
73567;13.7;5.32
