from_id;to_id
18432;11840
18432;13399
1;79031
1;87306
45058;95086
45058;30727
77829;13399
77829;71874
92168;1478
92168;10849
28685;77603
14350;63774
14350;40155
63503;54141
63503;39880
10262;92939
10262;86688
100375;21178
100375;1851
96282;54503
96282;18533
69660;57725
69660;32308
83996;95639
83996;18208
55335;36925
55335;37189
24618;72323
24618;63829
24618;47928
96304;66197
96304;23220
22578;25241
22578;91553
2099;70004
2099;94754
45108;96948
51252;58443
51252;102848
86070;57139
86070;34115
45110;38345
45110;59844
84024;53649
84024;95353
56;40798
56;73820
67642;32009
67642;87640
98361;90435
98361;33137
36925;105317
36925;85565
36925;102913
61503;29900
61503;10593
81987;80251
81987;18067
104519;45196
104519;32199
72;21322
72;16738
73800;5878
73800;55583
16457;33451
16457;26814
86091;1275
86091;17401
14415;84482
14415;10546
14416;70125
14416;76034
20561;87527
20561;71454
8276;105610
8276;40240
30805;60640
30805;104053
38998;11119
38998;43697
69718;48884
69718;81609
84;37519
84;27719
84;45924
36951;18067
36951;37624
14422;97237
14422;104124
14422;96717
34907;8107
34907;28616
73820;64782
32857;8961
32857;18835
100453;87640
100453;36369
100453;58372
18533;2707
39014;32267
39014;70433
39014;23957
90213;73548
90213;26173
30822;37624
30822;28367
32874;15150
69735;43007
69735;26773
92264;11442
28781;31928
28781;74837
73834;60954
73834;101082
92275;32616
92275;58785
4212;87545
102518;58064
102518;8704
30841;61387
30841;56251
28796;25333
28796;41748
92287;86707
79999;1649
79999;5690
39041;70210
39041;35153
34953;47009
34953;79609
96395;98255
96395;29289
96395;64239
45196;1036
53388;75061
53388;73932
53388;37371
28814;62723
28814;49390
75920;4667
75920;12503
104593;35310
104593;92387
6290;15276
6290;6637
45206;42884
45206;77764
155;43746
155;87527
67742;78656
67742;49699
24738;97492
24738;12493
20646;21178
20646;42012
16551;100039
61607;32742
61607;54825
24749;88272
24749;30221
104623;35153
104623;22049
30896;19232
30896;50139
12472;11647
12472;94672
75961;76623
75961;47366
8379;76034
102589;89937
102589;47748
18622;68069
18622;67490
69824;15919
69824;86409
41152;65350
41152;24852
12482;25330
78015;4714
78015;25241
71874;98546
98502;68355
98502;90735
10438;65303
10438;38090
69832;88887
104651;51160
73932;106071
102605;3560
102605;52483
12493;16014
88272;71365
71890;51848
71890;80160
71890;58899
71890;27000
75988;39540
75988;28271
71894;88315
71894;70204
71895;37189
71895;57725
12503;23318
57561;95727
57561;7521
41176;4715
84187;28271
84187;28508
94428;44582
94428;3868
78044;52776
78044;51472
82142;29289
82142;9907
80093;84500
80093;62698
35032;53845
35032;12034
37090;96717
37090;25117
37090;57284
63715;40092
63715;89937
61669;105008
61669;66869
39143;24221
39143;32267
12519;23318
12519;98029
82155;5133
82155;103503
82155;71365
49390;14940
2289;592
2289;70677
73975;73305
73975;50313
24824;72828
24824;89022
18680;50809
18680;4506
88315;91820
24828;74837
86273;71021
86273;86543
6402;72286
12548;73563
12548;64851
16642;81780
16642;35310
67851;78647
67851;81202
4364;80979
4364;88672
33037;98243
33037;44749
14607;69264
14607;62806
51472;1036
6416;74808
39188;66501
39188;32009
94485;10939
94485;102100
94485;83881
94485;9643
24852;95254
61719;87640
61719;103602
88348;46954
88348;1667
63774;89194
41246;35815
80160;33158
55583;66061
31010;33476
31010;87656
31010;65100
41251;87438
41251;30317
33063;25139
33063;27238
16680;40816
16680;66967
74027;35367
74027;26040
74027;57932
86322;99845
86322;71469
10546;20860
51511;39644
51511;66501
51511;23737
4411;87682
4411;11647
39228;90830
39228;30262
88382;58680
88382;65219
8511;32308
8511;89194
49473;58899
49473;58363
90435;43540
4419;103757
4419;96194
92486;93658
92486;21322
78156;84639
78156;35815
35153;103446
61781;103602
61781;7591
84310;41863
84310;65300
45399;103411
45399;71469
63829;42060
59738;4489
59738;39644
22879;14115
22879;58777
10593;6615
16738;12735
20836;106104
33125;29082
33125;58680
12651;25956
12651;57959
364;85375
364;8631
90478;41874
90478;90710
92528;39644
92528;42190
33137;36614
82290;54490
82290;26432
4468;58064
4468;26507
70004;66197
61815;85337
61815;65350
27000;17428
47482;66869
47482;33264
80251;96998
20860;78787
29056;59844
29056;86969
10625;79330
10625;29722
72065;62698
72065;98243
33155;55745
33155;64287
33155;47659
4485;89534
4485;37453
33158;52725
33158;100923
37255;83593
4489;81791
86409;89534
53649;42012
80274;29371
80274;101180
18835;20470
76180;54503
76180;68023
29082;5701
45471;5878
45471;94956
63914;77764
63914;102938
18868;27789
18868;92917
68023;44582
8631;70210
8631;42036
88506;82982
14779;19841
14779;78466
14779;50300
45502;86517
45502;38345
12735;89410
102848;11009
55745;65219
90562;94754
90562;13363
82372;57258
59844;101818
