id;x;y;z
86020;448286.85;4800025.89;165.91
7;448368.93;4799948.75;168.19
43016;448374.74;4799975.38;168.35
71690;448334.67;4799960.36;165.37
20498;448327.44;4799947.63;155.3
96287;448331.23;4799993.03;166.03
28706;448309.7;4800032.34;166.07
47140;448306.12;4800000.06;163.47
45101;448310.78;4799994.5;166.04
46;448319.41;4800021.22;173.35
45103;448336.23;4799958.72;166.24
86068;448307.82;4800013.81;175.54
14396;448323.76;4799978.56;168.53
24640;448332.71;4800034.85;173.11
28747;448298.68;4800014.04;167.54
28753;448297.64;4800036.22;166.28
49234;448342.53;4799986.0;167.31
4179;448358.31;4799950.95;168.85
45146;448363.0;4799983.13;167.72
96355;448366.22;4799967.67;167.96
100455;448382.21;4799999.7;167.25
10344;448318.55;4799966.32;168.45
53353;448335.81;4799987.05;167.58
77931;448302.84;4800032.24;167.55
32878;448329.5;4799977.83;165.77
36980;448362.07;4800035.31;166.3
51323;448319.09;4799995.87;176.28
6299;448363.54;4799971.63;165.64
30875;448344.31;4799963.7;169.47
32925;448358.08;4800005.4;165.99
53410;448304.64;4800026.71;166.81
14508;448392.02;4799970.96;167.78
63672;448358.66;4799963.22;159.05
71679;448381.81;4799984.17;168.13
53449;448332.23;4799993.93;166.15
88283;448329.47;4799995.6;167.41
65759;448354.6;4799971.28;166.99
98534;448316.28;4800010.68;174.13
57597;448319.3;4799969.49;167.94
45313;448316.27;4799957.44;165.54
63764;448342.05;4799969.19;166.12
35102;448325.64;4800002.73;168.51
78127;448323.34;4800042.45;165.71
71992;448365.67;4799979.24;167.5
37184;448365.3;4799985.37;167.93
55622;448340.53;4799953.59;164.74
100681;448303.57;4800034.84;167.42
10570;448342.45;4800022.56;171.03
20812;448356.44;4800014.96;153.06
55635;448300.75;4800035.22;168.54
84311;448308.28;4800029.9;167.94
102757;448351.13;4800018.06;166.87
92518;448339.8;4800020.95;168.39
2430;448290.23;4800022.84;165.83
63876;448374.2;4799988.52;167.58
92549;448370.12;4799979.85;167.45
100757;448395.05;4799973.44;167.69
65941;448367.33;4799952.33;166.72
33176;448381.66;4799976.98;167.74
57752;448357.18;4799954.21;166.93
51617;448351.55;4800017.3;166.68
27042;448367.17;4799947.55;168.16
18852;448325.01;4800039.21;167.38
35237;448354.9;4799980.35;165.32
29094;448308.43;4800003.51;165.22
43428;448283.74;4800025.62;164.62
47529;448350.85;4800003.64;167.72
80298;448312.74;4799998.1;165.82
94644;448310.57;4800001.69;166.45
82357;448314.18;4799995.96;165.64
45492;448319.6;4799960.08;166.84
39349;448321.69;4799964.39;167.05
94650;448366.54;4799983.13;168.13
14781;448319.35;4799979.37;168.7
4543;448370.5;4799970.77;165.95
33216;448319.44;4799978.61;168.24
82369;448333.29;4799989.02;176.53
10704;448348.69;4800015.68;165.56
102865;448350.46;4799950.7;164.9
92633;448369.09;4799992.07;167.58
92634;448326.58;4800016.93;173.14
4571;448363.76;4799959.44;158.79
47581;448365.62;4799961.71;158.16
35304;448390.65;4799971.77;167.79
43510;448289.01;4800023.66;166.92
14840;448336.44;4800027.11;168.89
27130;448351.93;4799976.86;166.95
25093;448320.55;4799992.26;164.98
21006;448310.36;4799996.55;164.13
90656;448326.86;4799975.44;166.66
27171;448313.0;4800027.6;167.83
45604;448375.6;4799987.08;168.13
51752;448297.41;4800011.66;165.13
86590;448334.28;4799958.78;166.18
64063;448378.08;4799995.14;167.4
25163;448361.25;4800005.41;166.81
21075;448353.02;4800008.48;163.98
84563;448322.88;4799953.68;147.93
29278;448329.32;4799960.39;166.19
51810;448370.51;4799953.66;168.24
103017;448377.16;4799978.92;167.75
23157;448320.21;4799958.47;167.08
8821;448286.04;4800024.33;166.95
35446;448302.38;4800040.37;160.91
45689;448320.07;4800027.2;167.03
78462;448395.73;4799992.46;165.49
8838;448290.25;4800027.84;163.36
103074;448311.6;4799999.72;165.61
80547;448358.18;4799984.63;167.48
2726;448366.2;4799961.76;168.12
74416;448357.34;4800015.57;166.27
51908;448380.46;4799979.3;167.73
25286;448357.56;4799988.41;168.27
103111;448306.6;4800026.55;167.47
2770;448360.34;4800024.79;163.49
51929;448326.51;4800018.82;172.83
25311;448310.77;4800000.07;165.67
56032;448325.3;4799955.44;165.09
13039;448353.52;4799952.01;161.35
15095;448354.37;4799967.52;167.72
97024;448361.26;4799977.35;165.73
33536;448349.6;4800001.98;169.91
56074;448327.08;4799957.68;169.8
13067;448369.38;4799976.94;167.78
90897;448346.03;4799972.72;165.64
92955;448326.17;4799953.21;149.85
37681;448317.77;4799974.87;168.04
74551;448364.21;4800013.77;166.46
103224;448365.4;4799971.49;165.03
58167;448356.04;4800016.31;156.87
72508;448372.38;4799974.08;168.41
17212;448301.5;4800018.26;175.36
29511;448338.55;4800014.55;170.28
101193;448316.67;4799986.94;166.86
27481;448361.95;4799958.11;158.21
78685;448357.02;4800014.08;157.53
25438;448323.12;4800014.14;173.82
9058;448337.41;4799956.88;166.06
52081;448302.38;4800040.13;163.41
95094;448314.25;4800024.87;167.31
39807;448354.95;4799951.09;168.94
82819;448370.8;4799946.14;168.67
56212;448317.29;4800017.26;173.35
19353;448311.91;4800024.64;168.0
95129;448310.13;4800028.24;167.68
928;448371.64;4799974.23;168.23
54178;448358.4;4799953.04;168.22
99245;448374.17;4799972.26;168.06
23469;448317.87;4800016.8;173.29
9136;448356.31;4799980.46;164.7
29622;448317.41;4799959.98;167.71
37815;448305.4;4800004.69;166.3
7102;448318.85;4799981.5;168.08
13249;448392.54;4799996.17;165.26
35784;448399.87;4799970.2;169.16
82891;448302.13;4800005.87;163.99
13267;448339.23;4799985.8;168.62
43996;448305.05;4800016.63;175.71
91112;448365.54;4800020.63;165.84
25586;448322.51;4799961.64;170.13
95229;448298.75;4800036.75;164.08
87039;448297.66;4800027.3;169.26
78849;448352.9;4800014.82;166.76
99331;448344.36;4800015.73;165.44
9220;448328.35;4799952.77;162.59
50203;448397.88;4799970.66;167.75
74783;448359.11;4799966.42;168.35
23586;448375.26;4800001.01;166.5
70693;448331.01;4800035.41;165.44
62504;448315.59;4799956.8;165.37
