from_id;to_id
88576;15097
88576;69341
88576;32423
64001;33894
64001;18050
62467;10596
62467;46741
97798;77789
97798;31706
97798;46253
87559;56858
87559;77789
87559;27515
75782;63278
75782;25807
67597;46566
46095;39989
46095;22326
75280;38047
75280;52079
12817;97757
12817;77789
12817;27515
100883;74873
100883;50329
14356;69341
14356;66580
66580;11199
13843;46815
51222;27546
51222;28760
56858;79728
56858;77789
24091;18050
24091;90182
46108;13857
46108;46566
76829;79325
76829;929
13857;90558
13857;98237
16941;5763
16941;27546
94766;4943
94766;70813
34353;24734
34353;46815
98869;18192
98869;9587
98869;18796
93238;11848
93238;4943
39989;629
29245;65410
29245;48254
29245;88818
4163;1273
90182;87356
90182;22144
11848;99409
29770;37483
29770;1273
29770;103648
29770;93877
3660;65164
3660;46690
99409;46690
22103;45042
28760;53079
50268;88818
50268;10534
32861;20133
32861;32513
89190;37483
33894;37789
12392;38047
37483;79728
37483;97757
44147;10505
54387;96094
54387;24734
96373;91614
96373;10505
99958;63825
99958;52079
629;87356
629;55270
74873;17209
74873;43840
48254;32645
5763;19140
52868;86780
52868;104413
52868;69336
52868;106125
104580;54598
104580;12077
46212;46741
46212;34601
73355;91882
65164;45372
106125;20447
50329;42755
28826;715
28826;61229
70813;17209
38047;27112
103587;44461
103587;4417
20133;92151
13993;19284
46253;77789
46253;88464
58545;46566
106168;58058
5820;61229
5820;79325
19140;53081
58058;10505
58058;85951
58058;91882
715;22326
25807;68340
87249;42755
66257;46566
65240;10534
65240;86780
28893;41962
28893;87418
46815;53081
103648;1273
48866;929
48866;15097
101091;68340
101091;37789
91882;60670
91882;40802
88818;71989
88818;74593
1273;21461
86780;8172
32513;13692
42755;45042
10505;18192
18192;106304
65308;21461
65308;19284
22308;12077
22308;41962
34601;63278
48938;17209
48938;10596
45364;92151
45372;25066
87356;86512
43328;45042
4417;53206
54598;93146
33616;21461
53079;21971
96094;11199
40802;76166
40802;92151
52079;34795
79728;97757
87418;25066
13692;90558
32645;31706
15754;77789
40852;41422
40852;93146
60834;31706
44461;40907
44982;77789
61878;21461
40907;21971
41422;35819
31706;48101
20447;27112
91614;45042
34795;35819
