id;x;y;z
85005;453667.38;4794794.93;243.71
57875;453605.6;4794793.49;248.32
57879;453612.78;4794716.82;248.48
93215;453626.8;4794710.16;249.82
77863;453670.51;4794829.26;244.57
66605;453611.33;4794716.45;248.48
5166;453616.15;4794774.96;246.01
30776;453620.62;4794734.17;247.7
56389;453610.73;4794723.96;251.09
15944;453628.41;4794733.95;248.24
46665;453637.14;4794756.84;252.3
3168;453613.91;4794779.77;245.82
1131;453686.03;4794829.5;242.64
87151;453639.14;4794756.85;252.3
62578;453615.89;4794778.35;245.95
39030;453660.33;4794797.17;243.71
44151;453601.89;4794791.81;248.18
102531;453618.0;4794705.0;250.0
102535;453612.22;4794719.4;248.34
84109;453674.07;4794805.22;243.18
70288;453612.65;4794766.14;246.34
61604;453651.34;4794802.55;244.54
45225;453668.2;4794811.43;243.53
88243;453676.2;4794808.09;243.37
29880;453613.52;4794759.46;261.57
72889;453694.24;4794858.85;241.05
54974;453630.86;4794755.74;249.81
95942;453598.32;4794709.97;251.42
10951;453624.09;4794699.3;250.06
36043;453672.04;4794835.6;246.32
39635;453698.98;4794863.64;240.93
37597;453692.47;4794853.57;241.54
54498;453616.45;4794730.63;247.89
65764;453667.67;4794807.45;244.09
56040;453614.59;4794727.48;248.53
58612;453674.33;4794841.38;246.1
61179;453637.71;4794797.83;244.94
28411;453632.25;4794752.99;250.68
40193;453614.55;4794722.12;248.34
90887;453619.03;4794786.88;247.7
7443;453626.82;4794726.58;248.47
7963;453668.06;4794821.56;244.57
105756;453668.37;4794804.87;243.62
90397;453625.31;4794779.3;244.94
35615;453628.55;4794754.08;247.71
48419;453613.52;4794759.46;246.57
94507;453625.26;4794747.22;247.84
27437;453624.36;4794740.49;248.08
18736;453611.83;4794789.02;248.2
20806;453645.59;4794805.44;244.65
63817;453671.03;4794802.89;243.51
35665;453611.95;4794777.56;246.23
1876;453641.31;4794805.34;244.8
10073;453633.14;4794755.11;250.72
84831;453664.82;4794800.51;243.97
29541;453617.17;4794783.32;246.85
91494;453671.97;4794817.13;244.05
79211;453654.45;4794806.63;244.92
35692;453616.16;4794758.02;246.8
20847;453611.95;4794777.56;258.33
94597;453608.04;4794790.92;248.2
26506;453661.68;4794807.05;244.99
70543;453621.78;4794718.07;249.33
79763;453608.65;4794728.24;252.94
58771;453611.55;4794732.88;252.55
73110;453664.62;4794806.13;243.83
65436;453625.45;4794705.9;249.82
92584;453633.98;4794730.78;248.47
38317;453679.18;4794817.45;243.37
85933;453612.59;4794729.32;250.58
6578;453630.77;4794789.74;244.94
83894;453626.92;4794750.68;247.05
63422;453669.41;4794813.69;243.98
65993;453657.78;4794810.72;244.77
79837;453613.15;4794785.8;248.2
68582;453602.76;4794716.16;250.89
26612;453687.51;4794842.25;241.97
20982;453617.67;4794721.01;248.23
105976;453618.53;4794718.56;248.18
