from_id;to_id
1025;1295
1025;355
513;1063
513;379
1037;1258
1037;632
526;1411
526;973
1042;909
1042;691
1045;702
1045;1288
22;595
22;354
541;572
541;909
32;470
32;208
37;1288
37;834
1063;1106
1063;305
42;164
42;1396
555;821
555;846
1076;479
1076;580
59;268
59;723
572;834
1086;736
1086;268
580;398
581;746
581;952
70;1108
70;1362
77;1151
77;656
1106;278
595;136
1108;422
1117;1174
1117;702
610;1396
610;817
116;1361
116;655
118;270
118;272
632;718
1154;676
1154;404
1160;810
1160;301
648;846
648;1411
138;692
138;1225
650;952
650;960
136;960
655;869
656;304
1174;202
676;379
164;1433
1188;1223
1188;203
1199;320
1199;1454
1201;1342
1201;853
691;299
692;398
1211;272
1211;365
1215;413
1215;444
1219;1282
1219;932
1223;723
1225;821
202;294
205;355
205;810
718;746
208;337
736;817
1258;444
750;305
750;1369
767;995
767;1342
1282;337
771;354
771;470
264;932
264;995
270;1454
1295;304
278;853
294;973
299;320
301;479
1361;1362
345;365
345;422
869;413
404;1433
