id;cswidth;csheight
515;1.0;0.2
518;1.4;1.0
1031;0.6;0.6
1036;0.6;1.0
1040;2.0;0.6
1048;0.5;0.7
29;0.8;0.6
1058;0.6;1.2
40;0.7;0.7
559;0.4;1.0
1071;1.6;0.6
49;0.6;2.6
50;2.0;0.6
53;0.5;3.5
567;0.5;2.7
1104;1.4;0.6
92;1.6;0.7
607;0.6;1.0
612;4.0;1.5
613;0.6;0.8
619;0.1;0.9
621;0.5;0.9
1136;2.0;0.7
1140;0.3;0.6
1142;0.4;0.7
1143;0.9;2.0
1146;0.5;2.5
635;2.2;1.3
636;0.7;1.0
143;0.4;0.8
150;2.5;3.0
161;0.5;6.5
1187;0.5;0.5
1192;0.6;0.7
173;0.7;5.0
184;2.33;1.0
1210;0.5;3.5
701;0.6;0.6
1214;1.0;3.3
720;2.4;0.8
740;1.5;1.2
1253;0.75;3.05
235;0.4;1.6
1260;0.45;1.0
238;0.4;1.0
241;1.7;0.5
755;0.8;0.7
1268;0.6;4.0
760;0.8;2.0
777;0.4;2.2
271;1.7;0.7
273;0.4;0.5
275;2.2;0.8
282;0.6;1.21
1308;0.8;1.7
288;1.2;1.1
800;0.8;3.2
804;1.5;0.4
1319;1.6;6.8
1320;0.5;2.7
1322;2.0;0.2
812;0.8;0.8
302;2.3;1.5
816;0.6;1.1
309;1.0;1.0
1334;0.6;0.8
314;0.6;0.9
829;0.5;2.5
322;0.5;0.8
334;1.5;0.9
343;0.4;0.9
353;0.6;0.5
865;0.5;1.3
1393;0.6;2.6
370;1.3;1.7
882;1.5;0.5
1405;0.8;0.8
1410;0.9;2.8
393;3.0;9.0
1422;0.8;0.6
927;0.5;1.0
416;0.6;0.8
419;0.5;0.8
1452;0.6;5.5
940;0.4;3.5
1453;1.2;1.8
945;1.0;3.0
947;0.5;0.6
460;0.8;0.7
461;0.6;0.0
976;0.4;0.8
977;2.0;1.5
466;0.6;0.6
468;0.7;1.0
472;0.6;1.4
1001;2.1;0.8
494;0.4;0.4
1020;0.7;1.7
1022;1.0;3.5
