from_id;to_id
1;4436
1;2727
4099;793
4099;1454
4099;1517
4104;5173
8;1003
8;4663
11;4762
11;638
15;2818
15;951
20;560
20;4609
2069;2623
2069;3309
2069;5479
2075;1177
2075;4151
30;826
30;4813
4127;4935
4127;1783
4127;2345
4133;4663
2088;2851
2088;1914
2097;370
2097;3663
49;1043
49;3421
4151;3901
2121;2345
2121;585
77;1905
2134;3171
2134;2187
4183;2623
2153;1579
2153;1283
113;843
113;4472
4213;2314
4214;1538
4214;3457
4214;2813
126;1778
126;2314
4226;4246
4226;4240
2187;4363
4237;2382
4237;3376
4240;3006
4246;4391
165;3786
165;3519
4268;2032
4268;5173
2222;4741
2222;2705
176;1959
4275;1749
4275;3234
189;4000
190;2705
190;4322
2239;577
2239;3722
4301;4908
4301;577
2258;1014
2258;1157
212;1283
212;922
4314;1932
4320;3239
4320;1252
4322;3720
4322;559
4323;3519
4323;372
4326;4472
4326;1053
233;284
233;2818
2289;3901
246;3151
246;2471
2296;1252
2296;3878
4348;3878
4348;4075
2300;3399
2300;4762
2303;501
2303;3393
2304;4452
2304;4625
2304;1720
4363;947
2316;1905
2323;1925
2323;2623
279;3743
284;3380
287;4410
287;1402
2342;3179
2342;3660
2342;1925
4391;4906
2345;3367
2345;4856
2345;4934
4396;4017
4396;3268
2349;1894
2349;4490
2349;5189
2349;2692
4397;3276
4397;4744
2356;5189
2356;5118
310;4730
310;1043
4410;3196
319;1183
319;1778
320;4424
320;5447
4418;638
4424;4926
2382;5118
2382;2690
4431;4969
4431;1367
4434;552
4434;3458
4436;1612
2389;3312
2389;3208
4440;1891
2396;2417
354;3390
4452;5023
2405;4688
358;4484
358;4004
2404;1915
2404;3150
2417;1050
370;676
372;3252
4472;1894
4481;2045
4481;4793
4481;501
4484;1367
404;4704
404;3496
2466;3367
2470;1053
2470;2832
2471;698
422;5460
422;924
4521;5198
4521;1891
426;1907
426;1619
4525;1334
4525;3966
4530;4663
4530;3785
4534;479
4534;2801
2491;4866
2491;4926
2492;884
2492;586
4547;2034
4547;3635
2501;5447
2501;5267
454;3009
454;465
460;1050
2510;3321
2510;5232
465;3093
467;3988
467;2979
2524;4897
2524;3171
2527;3644
479;1434
479;4007
479;5200
479;1364
501;5409
4609;2978
2563;1392
2563;3151
2563;947
2565;3146
2565;3768
4621;2650
4630;1938
4630;616
4638;5423
4638;3164
552;3501
4650;1420
4650;1411
2605;3079
559;808
560;3797
561;5004
561;1093
2612;3235
2612;1749
4661;1932
4661;3309
585;3397
586;1612
4685;3901
4688;5496
2644;3164
2644;1548
2644;1781
2650;1284
605;3393
605;3516
2653;3663
2653;1334
2656;3769
2656;1840
4704;4744
4704;1004
4704;2689
2659;2030
2659;1509
615;1036
616;1177
616;4969
2669;884
2669;5405
626;1969
626;3786
626;681
626;5381
4730;2938
2689;5245
2690;2999
643;673
2692;1969
4741;3140
2711;1283
2713;3565
2713;1123
2720;5381
2720;3032
673;3209
676;3208
681;2913
682;1579
682;3797
2730;3006
2730;3196
2738;5143
2738;4866
4786;1704
4786;3333
4793;1227
698;1938
2747;5128
2747;3591
713;4998
713;1822
717;1454
4813;3729
4813;4832
4841;3931
4841;3644
4843;922
4843;3841
4843;3870
2801;1993
2801;1801
4856;5015
2813;2979
2813;1464
2818;1691
2823;2979
2823;888
2832;1439
793;3276
4896;880
4896;3209
4897;951
2851;1050
808;1422
2856;1434
2856;2030
2856;1036
4906;3421
4908;1749
817;5016
817;5198
826;1517
4934;3399
4935;1528
840;3524
840;884
4939;1914
4939;1160
843;937
4941;2044
2897;5405
2897;3276
2897;1715
2913;5004
2913;5496
867;1431
867;1003
867;5002
4976;3726
4976;3087
880;1798
885;3591
885;3988
888;5326
2938;3966
892;3931
4998;1798
2965;1364
2965;1905
5016;5271
924;3009
5023;3644
2978;3657
937;3157
937;3726
2999;3614
954;1905
957;3862
957;3239
3006;1915
962;3140
962;1669
5078;1420
5078;3495
991;1123
1004;3261
5105;3722
5105;3146
1014;3252
3079;1157
5128;2044
3087;3931
3093;1519
5143;1509
1050;1959
1080;3841
1080;1464
5180;4003
5180;3453
3147;3568
5198;5276
3150;3235
1107;3268
1107;5271
3157;3660
5207;3439
5207;3410
3179;1227
5232;3380
5245;5354
1160;2044
5267;2045
5276;3602
1183;1614
1183;3439
3234;1431
3252;3257
3261;1715
1227;1932
1227;3397
5326;3565
5354;1614
3312;3708
1267;1938
3321;4004
1284;3862
5409;3870
5423;3918
3376;5460
3380;2034
3385;1905
3389;1905
3389;5439
3390;3640
5439;3618
3410;1564
5479;1538
1392;3657
3453;3782
3457;1579
3458;3708
1411;3568
1420;3614
1422;2032
1431;3865
1435;1715
1435;3496
1439;3743
3501;4075
3524;3673
3554;1669
3554;3891
1528;1925
3618;4017
3635;3862
3640;1905
1619;3700
3673;3768
3708;3755
1670;3891
1670;4000
3720;3918
3729;3939
1704;3782
3769;4012
3785;4012
1783;4001
1798;3939
1822;4003
1840;1907
4000;1959
