id;cswidth;csheight
5126;4.27;2.19
519;8.16;5.12
4616;3.83;1.98
3080;5.4;1.7
522;1.84;1.11
2570;9.4;11.39
3078;2.36;4.39
4109;2.21;1.63
1038;0.35;2.87
3088;1.38;0.3
1554;3.06;3.17
18;7.09;1.92
3100;5.83;4.25
2080;3.59;3.59
1057;17.67;7.05
3106;1.1;2.83
4131;4.05;9.1
5157;7.52;5.83
4134;10.01;7.69
1064;0.69;3.25
1580;9.06;3.75
2608;8.13;1.83
566;2.85;1.68
3638;1.9;1.9
1590;18.63;12.83
2627;6.29;4.4
68;7.72;5.43
4164;4.44;2.19
2123;3.12;3.07
2636;7.95;4.56
587;21.74;15.22
4171;10.07;9.08
1103;2.3;2.3
2129;4.79;4.28
2126;2.86;2.36
4696;9.11;8.91
2145;6.94;6.45
2664;4.79;2.2
5226;6.79;35.01
2154;8.07;5.52
4722;10.63;4.49
5234;17.45;7.12
4728;2.43;1.51
121;9.54;3.22
4219;0.98;1.3
636;2.5;0.56
3713;1.17;4.22
4227;10.02;4.86
1672;9.16;19.71
5260;5.29;3.2
1677;14.77;7.9
5269;16.92;7.44
1687;9.07;2.9
4759;4.35;3.32
5273;11.37;4.03
2715;11.95;2.97
3745;3.0;6.43
3236;3.29;2.88
678;4.01;1.67
1193;2.63;1.9
2221;0.07;4.0
692;5.3;3.22
2741;9.26;8.56
4277;4.5;1.16
1718;6.3;2.64
1210;5.89;5.92
5307;6.41;2.98
5310;1.29;0.98
1221;15.85;10.38
4295;6.52;3.32
1745;29.04;13.77
3795;6.09;1.67
2259;9.11;9.77
220;2.0;2.25
1756;15.45;3.55
3294;9.06;4.44
224;3.22;2.71
739;6.35;12.89
3304;12.65;2.78
4846;3.53;3.1
4851;0.85;1.01
4349;3.23;2.54
257;13.91;4.38
2816;6.47;6.47
1290;8.21;7.37
268;8.44;9.3
782;5.49;0.86
3344;15.6;4.42
4377;8.67;2.56
2849;18.24;3.49
2338;11.4;4.31
1317;11.92;4.33
1829;9.7;2.92
4911;9.47;6.16
2864;0.15;3.16
2355;13.37;9.71
5432;2.77;0.52
3898;0.5;1.19
825;3.02;3.1
313;1.18;3.1
3391;2.41;2.88
4933;7.7;14.46
2888;8.46;8.97
4942;0.87;0.99
2383;9.21;3.69
3920;3.57;3.65
337;10.36;9.35
1368;2.26;4.24
858;11.03;4.71
3419;15.76;5.83
4442;8.96;4.22
4441;0.06;2.98
5475;11.31;6.03
2917;9.51;3.27
363;23.98;11.2
3438;15.94;2.48
5493;21.35;4.99
1401;10.47;6.43
4987;0.54;1.34
5501;18.11;6.67
3455;5.97;5.97
2949;2.26;6.12
2954;11.62;11.23
1933;6.94;2.57
912;7.91;4.25
5012;0.16;1.98
1942;8.74;2.93
1433;1.17;1.17
412;7.81;6.82
1957;3.69;1.76
2481;0.37;2.1
3506;3.24;3.43
5046;9.66;3.97
1462;8.12;4.32
950;0.16;2.95
442;3.55;2.4
3513;14.25;6.86
446;11.29;7.71
3522;1.75;3.18
1475;5.28;1.51
3011;4.05;4.05
3529;9.36;7.16
1482;0.57;3.87
5067;8.84;3.17
3543;0.28;4.14
2521;2.73;0.5
989;1.19;1.89
3550;3.46;2.09
1001;2.61;1.37
5100;20.44;11.41
1005;1.8;2.7
2544;9.11;3.73
4593;8.14;5.05
2038;4.71;5.72
1533;3.55;1.93
3070;23.23;9.75
