id;x;y;z
3077;473494.86;4428124.3;170.21
1542;473757.84;4428279.8;38.92
1030;473491.63;4428123.5;212.04
1549;473625.11;4428179.46;133.61
3599;473612.8;4428182.41;132.23
2576;473773.22;4428262.41;41.74
1553;473768.51;4428268.25;38.25
4117;473456.14;4428065.96;132.96
4631;473525.28;4428318.82;99.64
3097;473509.44;4428382.61;77.28
3613;473660.31;4428155.45;140.24
5153;473808.71;4428304.33;77.09
1061;473650.83;4428162.43;137.44
2599;473520.68;4428298.97;107.46
2090;473625.82;4428222.08;94.02
4139;473664.0;4428154.38;140.5
44;473777.04;4428295.68;30.41
2095;473790.0;4428313.19;42.84
5167;473567.58;4428200.53;129.59
1074;473807.55;4428289.11;73.21
3123;473625.82;4428222.08;104.22
3126;473783.58;4428262.39;43.94
5175;473482.46;4428114.33;129.58
1592;473805.66;4428279.84;59.37
5181;473547.72;4428219.72;118.93
2111;473825.6;4428408.02;109.1
5184;473432.4;4428018.12;129.67
581;473746.39;4428302.23;24.92
2120;473456.49;4428065.46;208.59
3148;473744.59;4428292.19;20.8
4173;473588.21;4428221.56;117.31
79;473779.83;4428298.36;34.87
4176;473589.56;4428213.81;120.49
4691;473743.22;4428286.65;36.26
4188;473810.97;4428353.96;84.92
5214;473850.25;4428421.88;132.71
1630;473491.63;4428123.5;199.89
3680;473808.63;4428332.14;76.49
3168;473792.34;4428277.93;52.73
2152;473638.14;4428174.88;135.78
3180;473460.74;4428065.06;164.45
2670;473607.14;4428219.82;111.82
2671;473818.32;4428430.42;110.17
1653;473555.48;4428212.47;119.74
5241;473704.38;4428246.32;58.77
2687;473463.0;4428060.24;222.62
4739;473784.46;4428277.4;35.79
4743;473531.18;4428219.81;121.29
3723;473808.88;4428327.29;77.7
3724;473609.27;4428180.54;131.89
2188;473512.99;4428322.31;100.1
2702;473872.0;4428412.0;140.0
3214;473655.63;4428160.38;138.17
5261;473478.4;4428101.92;126.08
1681;473494.86;4428124.3;145.81
4242;473537.1;4428228.31;117.27
1167;473548.07;4428386.82;63.16
2197;473441.69;4428037.06;139.07
5272;473506.66;4428328.87;101.46
4250;473810.97;4428353.96;78.02
1179;473565.87;4428234.16;115.32
156;473573.24;4428232.58;113.72
670;473510.13;4428398.95;72.34
4260;473753.02;4428282.37;38.37
1191;473512.45;4428312.44;101.66
2216;473552.24;4428398.2;56.16
4778;473693.8;4428223.38;66.23
1194;473609.89;4428182.67;131.66
173;473812.66;4428371.58;92.89
3758;473559.06;4428198.74;130.05
5302;473556.77;4428209.27;122.07
1208;473640.92;4428165.25;137.71
1721;473794.31;4428267.53;43.7
2238;473749.01;4428318.59;25.79
2751;473754.1;4428289.11;36.79
4287;473491.63;4428123.5;193.38
4290;473831.61;4428388.97;122.07
3779;473807.55;4428289.11;64.21
3267;473459.39;4428059.46;135.16
2757;473828.73;4428427.8;118.79
4805;473769.19;4428293.18;30.73
1735;473488.16;4428120.64;131.24
715;473710.51;4428237.53;62.04
2765;473775.62;4428290.56;32.99
207;473824.72;4428415.37;109.1
3792;473520.0;4428206.3;122.15
2772;473789.82;4428273.52;37.85
2777;473618.7;4428183.33;131.6
1755;473765.37;4428317.06;27.58
221;473658.5;4428159.49;139.45
2782;473486.53;4428119.81;212.04
1247;473829.26;4428385.89;99.19
3295;473819.5;4428433.82;110.17
