id;x;y;z
4097;482617.65;4448334.01;212.93
2;482609.58;4448356.16;188.74
3586;482677.63;4448218.09;233.34
2051;482804.0;4447950.0;369.0
4613;482597.72;4448368.36;184.55
3;482590.11;4448415.95;175.46
1031;482748.36;4448027.07;307.59
2567;482708.27;4448088.89;252.62
2057;482789.43;4447976.37;358.82
516;482561.51;4448447.33;160.54
3084;482706.53;4448041.93;265.16
1037;482720.5;4448026.62;283.61
5134;482792.56;4447995.98;346.02
2063;482777.51;4448010.34;335.54
2065;482696.0;4448129.29;244.15
4115;482499.28;4448572.08;111.0
2078;482678.97;4448211.4;234.42
5151;482550.01;4448459.43;154.28
3634;482632.29;4448321.01;222.09
4667;482774.83;4448011.24;331.35
1600;482763.77;4448012.34;321.99
1602;482669.98;4448243.61;229.84
67;482597.76;4448383.88;194.03
66;482541.64;4448464.18;151.89
4679;482707.55;4448064.85;258.29
4690;482567.47;4448445.04;162.63
4692;482570.62;4448444.61;167.57
4699;482796.0;4447996.31;346.21
3170;482607.59;4448354.47;188.14
109;482788.34;4447999.0;343.88
624;482568.72;4448446.49;166.58
3697;482595.76;4448371.03;184.96
2673;482595.95;4448373.28;188.07
4216;482612.52;4448343.11;184.16
3192;482649.99;4448286.29;225.11
2685;482798.75;4447991.29;349.1
3718;482607.07;4448361.51;185.7
3207;482779.61;4448009.15;330.45
2184;482583.34;4448435.64;169.68
4233;482772.7;4448010.82;327.88
138;482625.4;4448331.08;213.22
146;482499.11;4448579.42;110.49
1175;482800.48;4447988.33;349.34
3742;482788.08;4447979.5;354.13
160;482792.31;4447973.51;362.47
2213;482796.46;4447986.13;352.81
4261;482658.67;4448264.03;227.47
168;482602.01;4448362.09;184.55
3243;482671.26;4448237.71;230.58
3244;482665.42;4448254.51;228.9
174;482707.04;4448072.79;253.32
175;482580.95;4448427.12;171.8
178;482799.09;4447960.98;367.59
3256;482708.56;4448078.2;252.23
5319;482783.08;4448002.35;337.21
3783;482727.23;4448029.95;289.91
200;482552.74;4448452.95;159.2
5322;482687.99;4448159.81;241.08
3274;482580.59;4448439.39;167.57
4305;482690.0;4448152.94;241.71
4311;482709.01;4448046.27;265.42
3801;482629.75;4448328.99;217.57
2780;482708.59;4448040.99;266.81
223;482567.65;4448444.6;165.08
4833;482782.26;4448004.44;334.24
1762;482786.09;4447999.89;342.31
738;482668.51;4448250.31;229.36
2791;482805.04;4447986.43;351.14
1255;482700.93;4448116.12;245.8
3817;482715.47;4448030.12;275.81
3306;482785.07;4447981.58;344.6
2796;482709.38;4448069.72;257.47
3308;482566.61;4448448.0;162.36
3828;482801.61;4447953.37;369.0
5364;482550.01;4448459.43;157.08
4347;482708.46;4448098.95;249.67
4867;482638.0;4448297.27;223.33
772;482788.68;4447997.3;345.81
2309;482732.81;4448028.27;293.69
3332;482707.49;4448091.55;251.02
776;482797.21;4447990.5;350.35
4361;482742.67;4448028.14;295.18
1294;482708.29;4448082.7;251.52
2830;482612.55;4448338.79;208.69
4367;482545.01;4448464.86;154.13
4881;482514.9;4448542.13;130.57
275;482492.23;4448597.04;103.98
5401;482643.21;4448304.01;221.83
4890;482647.38;4448292.96;224.23
4889;482639.68;4448309.59;221.13
1307;482591.01;4448407.54;175.75
299;482708.82;4448059.02;260.0
2347;482592.13;4448396.32;189.85
3372;482551.81;4448458.09;158.65
2868;482528.09;4448489.78;148.19
4420;482610.4;4448348.55;189.06
3911;482695.11;4448138.68;243.89
2890;482506.94;4448551.84;122.35
851;482586.41;4448397.92;177.76
342;482708.97;4448052.55;261.5
4439;482749.91;4448026.04;308.34
1879;482676.88;4448223.87;232.83
2399;482584.8;4448405.96;177.47
4960;482603.53;4448362.45;183.75
3429;482503.28;4448564.34;114.53
3432;482608.46;4448360.55;188.1
3434;482604.14;4448362.67;185.75
1899;482703.11;4448105.25;247.76
5485;482797.96;4447993.54;348.76
392;482633.21;4448313.84;220.29
5514;482591.54;4448412.07;175.56
5518;482780.55;4448007.89;334.71
3983;482695.68;4448125.46;244.49
3479;482709.45;4448085.1;253.18
1946;482692.36;4448141.71;242.64
3483;482737.47;4448026.52;294.22
3484;482632.0;4448328.1;221.6
1954;482784.57;4448001.2;340.24
4020;482514.6;4448528.82;135.52
4541;482682.39;4448185.3;237.87
4544;482794.21;4447968.41;363.63
5061;482654.22;4448284.43;225.27
1990;482519.4;4448512.45;140.6
4553;482592.75;4448397.4;190.23
1995;482681.71;4448196.9;236.24
4052;482694.49;4448135.66;243.23
4054;482534.79;4448476.37;148.92
4057;482708.21;4448093.58;250.91
4570;482564.15;4448449.13;160.4
473;482526.74;4448502.58;146.18
3567;482692.43;4448147.81;242.1
3055;482635.97;4448310.7;220.66
1008;482613.19;4448337.97;213.56
3571;482674.98;4448230.82;231.82
1012;482741.36;4448023.12;294.91
3062;482529.37;4448495.47;147.04
1015;482686.13;4448172.54;239.5
5113;482680.74;4448204.46;235.3
1530;482720.11;4448021.86;281.96
509;482780.04;4448009.77;337.5
