from_id;to_id
1558;2592
4122;1333
4122;5024
2077;5106
2077;3226
2592;4370
2592;3900
2091;4370
45;777
45;3798
45;2130
45;2748
1588;1623
1588;4902
1588;1343
1588;1138
3642;3028
3642;1873
4161;5116
4161;5283
4165;2142
4165;4289
4165;2876
583;2437
583;621
73;2199
73;3804
4684;4902
4684;2192
2130;4513
2133;1917
2133;5499
1623;2348
1623;2142
4089;4965
4089;2795
2142;2876
1632;2723
1632;777
4705;2795
4705;674
621;4370
621;494
1138;5116
2185;3211
2185;3740
3211;4289
2192;4400
3226;1019
3740;1812
672;2489
672;1436
674;1333
5283;506
2723;4400
2218;5499
4266;5079
3798;4965
3804;2348
1260;5049
1260;5106
2805;2833
2805;5057
2833;1019
1812;5101
2876;2489
1343;4513
1873;3035
339;3028
4965;2446
1383;5024
1383;2437
3448;506
3448;5049
1917;1436
5057;5079
4545;3035
3028;494
494;3577
