id;cswidth;csheight
3;5.92;5.92
28;12.4;4.62
8245;0.62;5.57
59;2.72;3.6
68;3.01;1.94
8273;3.78;3.78
90;4.94;4.94
8292;2.02;5.54
8312;18.02;10.94
8348;5.38;10.14
179;3.08;1.46
183;10.25;14.7
190;2.73;13.2
192;3.95;10.14
8398;6.55;6.55
236;2.26;2.26
237;4.78;4.78
8441;4.34;1.96
8443;8.16;6.74
8465;0.43;0.17
324;1.09;2.34
349;18.65;18.52
362;3.23;3.85
395;0.2;0.93
8593;2.98;4.23
433;9.06;12.49
438;4.0;3.94
476;6.08;12.74
8668;6.06;11.21
498;2.43;2.53
8703;13.84;13.84
528;3.78;8.26
582;3.35;7.38
592;4.01;4.01
8808;2.27;2.26
627;0.09;3.11
682;0.72;3.73
705;6.65;5.84
8929;4.25;4.25
787;3.77;3.68
9019;6.4;6.4
835;5.03;4.02
9051;8.54;10.67
9065;2.31;3.26
9071;2.23;2.66
890;4.11;3.15
9092;2.01;3.64
9126;1.8;3.85
947;11.56;17.24
9153;3.31;1.89
1067;15.35;3.53
9261;10.64;14.93
1070;6.73;14.22
9273;0.18;3.03
9289;2.22;2.22
1109;1.66;1.66
9322;3.57;8.17
1156;7.49;14.75
9344;6.45;0.99
9353;10.99;9.11
9458;5.48;5.48
1281;4.63;1.54
9476;3.32;5.75
9489;8.91;8.21
1307;5.88;6.29
9503;2.39;2.39
1330;1.84;0.53
1350;2.69;2.69
9556;7.43;3.44
9606;3.53;6.74
9608;11.8;11.8
9654;13.79;15.6
1506;0.34;2.6
9744;2.55;2.55
1555;6.25;3.56
1562;5.83;4.85
9778;3.59;3.59
9783;1.68;5.74
9796;3.08;3.08
9799;2.57;2.57
9808;3.23;10.32
1616;8.8;12.2
1669;1.84;1.84
1676;4.24;4.24
9993;2.73;12.07
1803;0.84;2.16
1820;0.92;0.92
1834;1.71;1.71
1871;5.11;1.29
10072;1.89;3.86
1923;2.24;2.45
1939;6.89;19.44
1953;21.06;7.0
10158;2.95;2.95
10171;9.8;8.28
10270;6.77;11.99
2087;4.52;4.52
2102;3.25;3.73
10297;3.11;3.11
10315;3.79;3.79
2134;3.06;2.37
2139;2.53;6.83
10339;5.31;5.31
2153;4.07;8.14
2154;0.34;4.37
10358;1.97;4.84
2199;1.89;1.89
2228;14.67;14.08
10459;7.79;4.97
10478;5.29;4.25
10497;8.14;18.59
10587;1.71;1.71
10667;8.96;7.73
2500;8.19;4.98
10703;1.94;1.94
2532;5.42;5.42
10769;7.4;3.41
2591;0.41;2.19
10815;4.9;4.7
10816;5.96;5.51
2645;5.85;8.57
10844;3.88;2.27
2658;8.32;6.9
2664;3.93;4.88
2673;16.13;4.98
2675;16.18;12.31
2681;2.99;6.29
10878;5.08;13.26
2699;1.98;1.98
10925;4.95;5.92
2789;0.92;5.29
2813;1.96;3.53
2814;0.55;2.9
2827;7.08;2.41
11046;1.91;2.83
2903;4.16;2.24
11157;5.94;11.24
11205;0.57;8.66
11220;0.64;6.44
3063;3.94;8.78
3076;4.16;2.81
3094;0.98;0.98
3102;4.45;4.45
11307;4.09;4.09
3138;3.27;4.27
11344;0.36;3.19
11437;9.19;9.19
3289;5.99;2.67
3343;3.54;4.0
3431;3.61;5.89
11630;7.15;5.7
11651;3.3;15.02
11655;1.88;8.4
3460;2.6;12.08
3467;3.13;3.78
3474;2.75;3.11
3504;5.43;5.43
11699;7.49;7.59
11702;4.54;13.97
11703;5.46;11.23
3578;9.83;8.64
3619;7.33;8.44
11833;2.03;0.24
11855;5.95;6.2
3670;4.56;3.19
3682;6.59;11.1
