id;x;y;z
9218;329294.32;5108883.45;1942.56
5;329332.99;5108852.48;1903.27
2053;329332.01;5108885.28;1977.45
3592;329293.54;5108885.37;1971.63
13834;329277.78;5108872.08;1960.0
8204;329322.87;5108886.42;1963.36
13839;329308.23;5108890.43;1954.96
2074;329262.68;5108899.14;1912.43
10267;329326.86;5108885.3;1965.9
6172;329354.23;5108888.75;1984.26
5662;329292.35;5108884.03;1938.49
10271;329279.91;5108867.58;1946.94
13856;329236.08;5108912.68;1917.08
4129;329334.13;5108883.63;1966.36
3109;329347.08;5108885.7;1970.62
6703;329288.33;5108873.92;1933.69
1585;329288.33;5108873.92;1931.54
50;329238.68;5108910.94;1917.11
1074;329228.97;5108913.36;1925.0
11322;329295.74;5108884.0;1943.06
2624;329241.54;5108914.09;1916.77
7749;329305.27;5108888.61;1947.96
585;329328.61;5108885.53;1971.08
4691;329292.35;5108884.03;1940.97
3676;329224.16;5108925.78;1904.92
11360;329349.06;5108885.44;1981.17
5220;329284.14;5108866.32;1898.39
5222;329233.06;5108917.27;1921.72
5223;329231.17;5108914.4;1913.51
10344;329300.24;5108882.72;1973.9
13928;329280.43;5108880.83;1946.11
6762;329341.69;5108883.8;1976.5
6763;329231.75;5108910.03;1915.41
625;329336.46;5108881.33;1965.6
12914;329264.87;5108895.56;1916.95
13427;329288.84;5108874.67;1934.31
1139;329287.96;5108872.24;1931.3
3186;329312.72;5108859.8;1915.95
3191;329283.99;5108868.93;1898.39
4732;329343.23;5108882.85;1968.45
3710;329312.88;5108890.83;1956.9
7806;329335.2;5108882.14;1972.92
12928;329250.23;5108909.39;1913.01
2182;329323.39;5108858.88;1911.31
1160;329354.87;5108889.54;1984.48
4233;329304.97;5108863.1;1921.62
3218;329305.86;5108860.8;1917.45
2708;329349.85;5108882.52;1980.41
2196;329287.82;5108866.88;1923.96
6298;329352.28;5108887.13;1985.22
10396;329274.02;5108875.44;1940.55
9375;329296.82;5108883.92;1972.19
8352;329302.0;5108881.59;1973.22
10912;329236.33;5108915.44;1919.28
8355;329277.23;5108867.9;1944.25
675;329287.71;5108866.0;1910.31
2728;329231.23;5108915.16;1922.99
13994;329289.84;5108865.48;1923.85
1200;329324.75;5108883.35;1975.01
5810;329228.3;5108914.63;1912.73
1716;329286.69;5108881.63;1937.22
2242;329258.98;5108904.29;1911.86
7369;329223.9;5108927.88;1903.79
204;329329.57;5108883.3;1970.31
8909;329340.05;5108878.64;1966.92
10959;329343.57;5108876.45;1967.12
10969;329296.4;5108885.49;1943.45
4835;329280.4;5108872.81;1955.15
12530;329288.95;5108879.47;1935.62
1268;329265.74;5108888.65;1926.46
7418;329254.07;5108907.06;1912.78
1275;329257.69;5108905.62;1911.15
10492;329335.72;5108880.31;1966.71
12044;329332.04;5108852.94;1906.91
12564;329297.79;5108886.29;1944.74
2841;329329.02;5108859.46;1908.76
10525;329299.94;5108887.54;1946.05
2333;329286.19;5108867.23;1909.71
3875;329348.01;5108881.91;1980.09
1323;329261.79;5108902.58;1910.81
1328;329338.09;5108881.62;1977.93
10033;329311.13;5108891.01;1956.48
5424;329292.54;5108867.59;1916.41
1843;329310.23;5108891.62;1955.9
14131;329354.64;5108885.85;1981.79
310;329267.78;5108886.1;1934.07
6968;329277.78;5108872.55;1954.82
7481;329302.91;5108877.39;1969.19
4922;329347.44;5108883.88;1979.99
12605;329337.18;5108879.01;1972.71
10561;329346.24;5108872.79;1964.66
4420;329289.34;5108884.33;1970.0
14148;329281.87;5108874.53;1956.13
12612;329338.7;5108882.42;1978.82
13129;329224.16;5108921.69;1906.83
8016;329274.73;5108873.0;1938.44
5969;329277.78;5108872.19;1959.95
2900;329274.73;5108872.81;1941.33
8538;329279.83;5108870.35;1951.69
3937;329347.5;5108883.77;1980.71
353;329240.16;5108912.17;1917.13
10086;329277.1;5108876.89;1942.36
12652;329343.94;5108885.11;1979.09
12654;329265.74;5108888.92;1922.34
3443;329306.66;5108889.83;1953.65
886;329326.74;5108883.08;1972.08
11127;329344.2;5108873.5;1965.4
10112;329302.9;5108886.35;1947.44
8066;329294.13;5108867.14;1918.28
10122;329226.22;5108918.39;1910.72
11659;329223.71;5108923.84;1905.85
9614;329299.76;5108861.87;1920.89
10639;329291.45;5108865.0;1922.89
5012;329290.63;5108865.7;1911.53
8087;329302.57;5108866.82;1923.49
5531;329326.86;5108885.3;1971.73
12706;329356.21;5108889.92;1983.32
931;329326.97;5108881.36;1973.61
421;329329.32;5108885.15;1969.61
9641;329284.23;5108874.78;1957.97
7593;329311.7;5108879.43;1969.61
5033;329350.36;5108886.67;1982.65
10670;329288.58;5108869.58;1926.52
1968;329291.69;5108884.09;1970.15
9136;329305.61;5108859.18;1919.87
7095;329295.48;5108864.72;1920.65
12734;329278.73;5108877.62;1944.42
1986;329235.0;5108914.5;1919.85
3523;329303.88;5108865.35;1919.92
6596;329308.45;5108891.24;1955.24
12233;329267.79;5108886.54;1928.21
13265;329265.32;5108891.23;1922.44
3539;329331.57;5108882.23;1971.21
3029;329349.69;5108886.75;1984.96
5098;329335.2;5108882.14;1976.66
5617;329272.05;5108877.39;1936.08
504;329338.11;5108881.75;1966.09
1018;329284.14;5108866.32;1909.13
