from_id;to_id
8192;8347
8192;5116
5637;11523
5637;1406
1032;2170
1032;13176
2569;14268
9236;13288
9236;4246
2071;7710
2071;12622
8731;3429
8731;4226
7710;5476
10275;6105
10275;7446
13349;2175
13349;2994
5674;1244
5674;11386
5674;7426
10795;12731
10795;3743
9798;8580
9798;2175
1607;10649
1607;2640
6216;7041
6216;14170
3149;11386
3149;9356
2640;622
2130;9124
2130;8306
8275;10854
8275;8580
8275;12544
12888;2315
12888;14250
9820;5382
12896;14250
10854;3569
7790;12650
7790;9580
622;8842
8306;5514
7802;3506
7802;13250
2170;12544
10880;9580
10880;4977
4226;13288
8842;3422
9356;12474
9868;10011
9868;14268
5116;3429
9361;8497
9361;6965
4246;9202
8347;8010
8862;11695
8862;13220
3743;3569
2220;217
2220;12589
2740;5514
2740;12650
2741;12230
2741;14050
12474;11673
1725;10994
1725;13131
217;11047
1244;7446
2783;10495
14050;1294
1252;2000
13540;407
13540;12123
12009;13250
12009;297
10994;12045
10994;11523
5365;1406
5365;12230
5373;9073
5373;10495
7426;12045
5382;11263
2315;6924
6924;2994
1294;485
5395;12772
10011;11648
11047;9703
11047;11695
297;11722
12589;11648
8497;12622
6965;7041
9534;3422
9534;9703
10565;12123
10565;12772
8010;14177
13131;13153
14170;7530
13147;6518
13147;14214
5980;4977
5980;12731
3422;6098
13153;11624
14177;10719
5476;13208
11624;2042
8043;14214
8043;11155
7530;10719
9073;10236
6518;13176
10107;11673
2429;14250
2429;13208
14225;6105
1426;2042
1426;2000
11155;11263
407;13220
10649;9202
9124;11722
3506;485
434;14268
434;10236
