id;x;y;z
4097;414477.71;5120466.94;1589.69
2060;414520.33;5120526.66;1610.19
2061;414508.61;5120482.99;1630.75
17;414487.31;5120504.91;1611.15
2073;414467.8;5120490.98;1592.64
4127;414471.26;5120512.47;1600.03
4134;414484.74;5120510.21;1605.56
41;414473.61;5120528.94;1596.2
2093;414523.94;5120502.61;1607.96
2095;414460.11;5120472.96;1574.57
51;414468.36;5120526.95;1596.63
59;414485.88;5120495.45;1606.89
4159;414466.99;5120481.55;1589.11
2123;414469.03;5120527.82;1596.15
77;414471.8;5120518.39;1595.51
4174;414494.6;5120508.04;1623.41
79;414474.54;5120507.94;1602.34
2133;414467.28;5120518.11;1594.44
4186;414508.67;5120523.16;1602.9
94;414501.99;5120459.94;1617.5
4195;414480.39;5120521.18;1598.11
2153;414517.34;5120529.04;1616.52
107;414496.01;5120497.26;1619.59
110;414488.79;5120506.03;1611.42
2173;414494.37;5120507.37;1618.04
126;414497.47;5120462.4;1592.54
4223;414502.43;5120519.69;1613.52
4226;414530.4;5120487.17;1631.4
132;414476.87;5120501.23;1598.25
4236;414511.66;5120533.63;1611.32
2200;414530.74;5120487.87;1630.82
4252;414472.57;5120492.03;1598.8
2211;414454.14;5120481.71;1560.22
164;414477.65;5120498.28;1602.76
2218;414486.28;5120494.97;1604.27
4266;414497.93;5120491.33;1620.9
2219;414532.65;5120515.02;1612.16
2221;414489.51;5120514.74;1612.38
178;414496.81;5120524.58;1615.17
4276;414506.79;5120455.2;1621.15
181;414471.12;5120509.05;1599.98
2230;414509.64;5120458.91;1616.33
183;414473.5;5120467.33;1586.31
2233;414529.66;5120510.33;1610.01
2236;414482.48;5120496.14;1603.35
4287;414475.51;5120500.37;1598.21
4290;414465.27;5120472.18;1578.33
4292;414475.85;5120497.17;1599.93
4298;414465.72;5120515.4;1598.36
205;414481.26;5120494.23;1603.38
4306;414506.78;5120483.92;1629.43
224;414483.45;5120501.62;1602.11
2276;414468.25;5120479.08;1589.56
2278;414500.74;5120463.67;1594.13
2280;414517.82;5120502.01;1613.74
2281;414496.94;5120496.28;1621.28
2282;414489.84;5120514.31;1605.91
235;414477.25;5120468.04;1591.36
2283;414495.02;5120508.26;1622.03
232;414525.73;5120500.07;1609.83
249;414483.61;5120498.13;1598.36
4357;414490.93;5120513.62;1612.05
2310;414495.13;5120511.87;1617.49
2316;414477.55;5120526.42;1598.41
4367;414507.28;5120535.5;1607.84
4370;414474.65;5120508.93;1596.3
278;414526.42;5120511.66;1610.1
2328;414500.99;5120517.08;1624.15
4382;414469.49;5120520.46;1594.21
4384;414492.36;5120512.88;1614.7
2336;414523.4;5120506.12;1608.13
292;414467.75;5120473.54;1573.95
2347;414481.88;5120504.41;1608.38
4398;414500.13;5120451.15;1600.62
2351;414474.68;5120473.75;1586.62
334;414471.87;5120495.27;1596.55
4430;414486.68;5120503.41;1611.96
2383;414508.19;5120483.23;1630.11
341;414511.9;5120522.87;1604.4
342;414471.97;5120523.58;1594.96
4440;414502.74;5120459.64;1604.54
346;414498.32;5120511.47;1610.1
4443;414496.3;5120515.09;1614.17
4444;414468.16;5120510.39;1598.48
350;414497.43;5120515.94;1613.7
4451;414479.18;5120472.22;1592.66
2406;414471.51;5120487.47;1598.66
2409;414479.55;5120470.47;1592.45
362;414469.36;5120524.2;1597.42
371;414466.29;5120488.82;1590.28
373;414495.6;5120498.91;1618.34
374;414494.17;5120508.65;1620.5
377;414494.84;5120544.41;1599.21
4478;414499.02;5120542.33;1598.81
2431;414471.4;5120469.27;1569.74
2441;414500.23;5120458.77;1609.05
4490;414475.51;5120498.85;1601.04
4491;414522.93;5120492.64;1618.8
4494;414469.75;5120509.6;1599.49
413;414480.29;5120468.35;1589.52
2471;414473.63;5120511.05;1601.29
428;414505.7;5120534.69;1606.66
2479;414498.49;5120512.03;1612.04
2482;414512.65;5120518.33;1620.98
437;414504.89;5120457.49;1618.73
4546;414476.2;5120515.83;1601.63
451;414500.33;5120485.07;1624.03
2500;414487.19;5120503.04;1611.19
2501;414463.18;5120473.51;1565.25
453;414482.26;5120499.93;1601.02
4550;414505.13;5120520.25;1615.89
459;414491.54;5120508.49;1613.33
4559;414481.25;5120467.49;1587.62
2512;414457.79;5120492.86;1593.53
2511;414467.82;5120522.93;1596.21
2516;414480.58;5120467.65;1588.13
471;414477.1;5120495.1;1600.29
4570;414507.91;5120499.1;1618.6
484;414498.82;5120521.35;1611.76
4581;414506.97;5120519.87;1617.07
4582;414467.84;5120524.45;1594.99
487;414463.07;5120491.35;1587.06
2535;414466.32;5120512.66;1589.42
2544;414494.02;5120508.61;1616.99
517;414498.98;5120489.04;1621.64
526;414514.8;5120508.61;1608.58
4624;414475.83;5120498.07;1601.17
4626;414502.52;5120486.81;1624.53
4627;414500.51;5120541.14;1599.98
2590;414494.72;5120494.48;1619.44
2599;414511.18;5120517.97;1619.83
2602;414476.2;5120466.71;1573.36
2609;414494.7;5120507.06;1620.79
563;414506.42;5120456.84;1618.72
564;414482.31;5120515.05;1602.43
565;414524.33;5120501.5;1608.63
4663;414494.64;5120522.31;1616.25
569;414476.54;5120465.31;1588.84
577;414490.54;5120533.62;1595.97
578;414464.97;5120521.58;1595.09
2632;414529.63;5120486.49;1626.05
584;414493.37;5120545.63;1601.78
4689;414515.45;5120519.64;1622.19
4692;414462.95;5120514.95;1598.34
4708;414485.25;5120496.46;1611.28
4711;414475.36;5120493.84;1600.23
2663;414491.19;5120513.74;1615.28
621;414504.08;5120502.06;1614.99
628;414474.48;5120493.75;1598.97
630;414499.7;5120542.25;1598.41
2685;414476.87;5120467.38;1589.41
4739;414498.58;5120465.77;1621.24
4742;414488.37;5120465.34;1592.96
4743;414525.71;5120501.23;1612.75
4744;414483.38;5120463.44;1582.48
653;414465.2;5120491.31;1591.21
2703;414496.09;5120511.19;1618.36
659;414493.63;5120525.71;1613.17
661;414481.88;5120501.57;1600.33
4759;414519.43;5120499.92;1616.66
2713;414469.49;5120512.74;1597.57
668;414510.36;5120524.34;1603.92
678;414530.92;5120485.4;1627.05
680;414493.34;5120510.58;1615.04
683;414515.34;5120531.16;1611.01
684;414476.59;5120467.31;1589.86
2732;414477.88;5120503.94;1604.91
688;414487.45;5120462.67;1588.7
4784;414487.27;5120496.59;1612.4
2738;414490.68;5120545.18;1599.56
4797;414528.36;5120514.83;1609.09
704;414493.39;5120457.11;1596.95
706;414483.66;5120497.78;1604.95
2754;414460.21;5120512.97;1599.18
2758;414484.08;5120495.79;1604.63
716;414478.33;5120523.92;1595.0
719;414483.13;5120491.78;1605.91
722;414482.41;5120461.26;1580.36
726;414500.02;5120542.95;1596.95
728;414493.22;5120504.3;1615.03
4826;414481.16;5120504.39;1601.66
2782;414469.08;5120525.23;1593.26
735;414466.72;5120470.97;1567.94
734;414521.95;5120503.3;1608.99
4833;414485.94;5120502.68;1604.66
4838;414456.82;5120478.29;1562.71
755;414525.16;5120502.9;1612.02
761;414531.28;5120516.03;1610.86
763;414497.89;5120524.81;1615.95
4860;414525.09;5120528.59;1621.98
766;414513.87;5120499.34;1612.48
4867;414497.03;5120512.28;1609.17
2823;414484.71;5120495.51;1605.99
2825;414496.65;5120469.91;1622.18
4875;414469.54;5120525.82;1596.36
