from_id;to_id
2050;1280
2050;3080
8;5142
8;531
4106;1220
4106;614
2063;2665
2063;1990
4117;2166
4117;1110
4117;2309
4117;1533
4123;4369
4123;3664
4125;818
4125;3029
29;2518
29;3624
2080;4864
2080;650
2090;2666
2090;857
2092;1900
2092;3761
4145;4473
4145;4338
2099;424
2099;609
2099;5139
2099;2944
2102;1110
2102;3272
2121;340
2121;581
2131;1234
2131;3284
4191;981
4191;2699
4194;988
4194;3544
4211;4222
2164;1178
2164;3586
2166;1263
4222;4001
2183;2757
2183;2186
2186;1968
153;840
153;3130
2202;4028
2202;2752
2205;914
2205;1220
4261;4320
4261;1304
2214;2238
2214;5160
2220;3417
2220;2469
4273;1332
4273;1703
2228;4420
2228;1017
4282;818
4282;3380
4286;1322
4286;4982
4286;1214
2238;4513
206;5106
206;2308
207;1697
208;3754
208;3096
2255;2947
2255;4942
2262;1792
2262;1080
4320;3417
2273;1115
2273;3743
2274;4801
2274;872
237;246
237;1900
2285;4754
2285;4628
4338;3543
246;981
246;917
2295;3699
2295;2730
2299;1900
2299;2850
2302;2015
2302;4369
4352;926
4352;4473
2308;2318
2309;1448
269;2734
269;1326
2318;4741
4371;5196
4371;3366
286;560
286;4513
4403;4578
4403;3843
4420;461
325;349
325;1474
2378;758
2378;2680
2379;3158
2379;3847
331;2521
331;1665
4432;946
4432;3147
340;1220
2390;1703
2390;779
345;1081
345;1514
349;3069
4446;5133
4446;2465
2408;1435
2408;1078
4458;1990
4458;3556
370;1017
370;5135
4496;1078
4496;4028
2465;507
424;3147
2498;3231
2498;5181
450;5114
450;4955
450;1234
4556;1690
4556;2745
461;4978
465;1514
465;5005
2518;850
2521;1449
2525;1141
2525;2656
478;4677
478;1322
479;3039
479;5154
4578;1442
4584;5160
4584;1779
4593;3655
4593;3883
503;2669
507;5393
2576;3087
2576;4069
531;2947
4628;665
4636;1518
4636;1553
2607;5181
2607;1743
560;1297
2612;1664
2612;4801
2614;4982
2614;2757
2628;856
2628;2665
581;1164
4677;795
4696;2799
4696;1808
2656;3417
609;4001
4704;5369
4704;1792
614;3483
2666;3761
2669;5282
2669;843
2680;4754
4741;850
2697;4006
2697;3758
650;793
2699;3503
665;4066
2716;779
2716;5024
2734;3220
687;3664
687;3888
2745;795
698;5024
698;5114
2752;860
4842;1098
4842;3798
2799;5005
758;5354
4857;2858
4864;3554
793;4911
2850;917
2858;3554
2859;3380
2859;988
4911;1442
818;1063
840;3624
4942;1081
856;5334
857;1332
860;1586
872;5334
4978;1808
2944;1115
907;943
907;926
914;3743
2971;3203
2971;1055
933;5059
933;1098
943;4009
946;1743
5059;3555
981;3699
3039;1861
3047;1968
3047;3236
5106;3586
3069;1304
5118;1533
5121;3631
5121;3231
1035;1164
1035;3952
5133;1665
5135;1339
3087;3546
5139;3968
5142;1326
3096;5410
1055;3506
5154;5385
1063;3236
1080;3546
3130;3754
5196;1779
3158;1304
1141;3483
3203;4069
1159;1492
1159;3792
5264;2015
5264;1744
3220;5410
1178;3543
5282;2004
1214;3409
5319;3819
5319;3965
3284;5354
5341;3854
5341;3699
3299;3409
3299;1469
1263;3798
3312;4081
5369;3792
1280;1469
1280;1449
5385;1349
5393;2004
1297;4066
1305;3503
1305;3819
3366;1518
1339;3554
1349;1664
3474;1744
1435;3883
1448;1697
3506;3854
1492;3544
3555;3758
3556;1977
1553;3925
3631;4081
1586;2015
3655;3843
1690;3888
1861;3925
3952;4009
3968;4006
