id;x;y;z
250;415866.64;5134854.49;1489.39
1427;415867.24;5134859.52;1489.91
598;415864.31;5134854.79;1492.72
2473;415862.97;5134854.35;1496.2
267;415866.82;5134854.03;1498.26
2649;415869.41;5134856.54;1495.12
1548;415864.93;5134861.92;1490.05
224;415830.38;5134836.78;1584.36
3607;415825.96;5134839.04;1586.84
924;415831.38;5134837.73;1579.18
1203;415830.09;5134836.74;1587.04
1965;415825.36;5134835.4;1589.51
4168;415824.93;5134830.62;1607.19
2479;415824.3;5134831.92;1588.17
972;415824.48;5134830.25;1612.87
1518;415818.2;5134830.91;1617.35
908;415820.98;5134831.44;1613.18
1816;415815.1;5134831.87;1618.13
3379;415813.62;5134828.46;1633.35
133;415812.79;5134823.32;1639.11
1941;415807.43;5134820.78;1650.24
2706;415805.47;5134820.89;1652.77
553;415803.9;5134819.77;1655.57
1335;415802.77;5134820.33;1656.36
2950;415802.02;5134819.04;1657.77
2936;415799.98;5134818.77;1660.03
2220;415799.44;5134815.2;1669.89
3063;415799.64;5134815.36;1671.57
3446;415800.15;5134815.44;1669.28
3985;415799.28;5134816.52;1673.37
1365;415800.53;5134818.41;1673.69
1725;415799.49;5134819.56;1673.82
4203;415797.4;5134819.02;1673.9
895;415796.58;5134818.62;1674.47
3649;415796.59;5134818.61;1674.48
1955;415796.04;5134821.94;1674.63
3790;415793.71;5134821.25;1673.93
4391;415792.27;5134818.18;1673.98
761;415793.2;5134817.47;1673.18
4214;415792.01;5134818.72;1670.94
1658;415792.69;5134816.0;1672.31
253;415789.3;5134815.92;1673.06
4148;415784.13;5134815.8;1672.54
2457;415780.95;5134813.05;1672.63
494;415779.12;5134812.78;1671.01
4161;415778.91;5134810.98;1671.28
798;415777.25;5134810.67;1671.18
3632;415773.65;5134809.55;1671.75
2052;415771.19;5134809.94;1672.88
1502;415769.76;5134810.04;1673.57
3695;415765.45;5134809.81;1671.39
2388;415763.48;5134810.07;1693.44
2940;415762.79;5134809.14;1694.66
1698;415760.32;5134806.17;1695.92
2883;415759.87;5134802.82;1697.55
1894;415760.71;5134797.81;1700.99
428;415755.05;5134794.17;1704.34
2718;415754.54;5134791.27;1704.9
756;415754.24;5134791.68;1702.99
3692;415752.61;5134791.04;1701.78
1490;415750.79;5134790.86;1699.09
1452;415750.58;5134790.1;1696.41
151;415747.41;5134789.16;1706.08
2177;415745.62;5134789.13;1711.13
63;415743.3;5134791.18;1713.79
4118;415742.43;5134791.14;1714.92
1563;415744.05;5134791.53;1717.3
540;415737.73;5134791.66;1724.66
2605;415738.53;5134789.22;1724.76
2221;415733.95;5134791.41;1725.45
2343;415729.73;5134789.86;1722.26
565;415732.01;5134790.43;1732.99
2121;415732.95;5134788.58;1725.95
80;415728.14;5134790.57;1724.87
2106;415726.77;5134789.62;1726.38
2136;415724.54;5134789.52;1728.1
608;415725.01;5134789.69;1731.57
3194;415726.62;5134789.76;1735.7
2947;415723.06;5134789.54;1737.76
4043;415721.53;5134791.65;1734.66
1174;415721.47;5134792.45;1733.63
898;415721.73;5134792.99;1740.28
770;415718.63;5134791.13;1741.77
3693;415717.01;5134792.84;1742.36
2840;415717.08;5134794.71;1741.18
1912;415712.87;5134793.6;1741.77
2969;415710.84;5134794.96;1741.36
2919;415710.57;5134794.87;1752.19
899;415710.66;5134795.83;1752.54
3877;415707.09;5134795.28;1751.77
3237;415705.05;5134797.12;1750.71
2195;415704.09;5134796.61;1750.0
1949;415702.43;5134798.28;1750.52
1635;415700.15;5134798.2;1751.17
3883;415697.61;5134799.5;1750.03
2501;415693.81;5134796.31;1764.76
628;415703.87;5134796.62;1755.0
1843;415690.87;5134796.16;1766.7
316;415697.01;5134799.73;1764.12
943;415689.22;5134795.81;1774.21
3223;415685.94;5134798.01;1776.47
2760;415684.9;5134799.27;1774.06
1426;415683.01;5134798.99;1784.77
3018;415682.41;5134800.15;1785.14
708;415676.17;5134800.65;1785.83
3251;415674.01;5134799.9;1785.66
2756;415669.73;5134798.93;1788.41
367;415667.08;5134794.22;1793.19
543;415665.2;5134791.61;1794.86
2582;415664.58;5134788.14;1794.65
629;415660.95;5134785.9;1796.99
335;415660.85;5134783.31;1798.84
2364;415654.54;5134779.81;1805.74
1445;415649.09;5134775.37;1810.57
1528;415651.97;5134781.62;1809.78
