id;cswidth;csheight
2048;3.45;10.09
4097;1.47;1.22
4;3.84;1.14
4105;2.11;2.02
2058;1.29;0.52
4107;4.4;13.03
4110;1.22;1.89
2065;6.04;2.4
4116;2.75;2.92
4126;7.02;2.55
2082;6.84;3.0
35;11.42;32.28
2084;0.88;2.81
4133;5.16;3.83
4132;1.0;1.17
4135;2.98;3.43
40;2.69;2.69
2088;1.66;2.12
2101;3.96;0.78
2107;15.16;14.91
62;5.3;3.69
4159;2.49;3.05
4160;3.1;3.86
4163;1.41;1.41
73;1.44;1.44
4170;6.22;3.81
2123;3.62;7.6
2126;11.52;13.4
4176;5.5;5.58
4188;4.89;4.61
2142;4.19;2.18
103;5.59;2.88
113;2.75;2.75
114;2.84;6.0
4212;3.27;4.54
120;2.57;1.08
2173;4.94;3.78
2176;6.1;6.79
4229;3.61;3.3
2182;1.2;1.26
2184;3.35;4.08
138;1.43;1.68
4236;3.61;9.13
4237;2.4;3.32
2191;1.69;1.52
2192;3.13;2.71
2198;3.3;3.3
4246;2.41;2.99
2201;0.64;1.27
4252;3.74;2.29
2204;2.44;1.51
2205;3.75;3.85
4258;1.91;6.44
2216;0.88;0.94
170;3.74;3.66
4266;3.69;15.32
4272;1.49;11.46
2225;1.7;3.62
4281;12.92;7.05
185;1.82;2.14
2236;6.23;1.01
190;8.16;6.29
192;4.56;5.09
2240;8.0;4.62
2247;2.69;5.57
202;2.33;1.62
2255;4.72;5.82
208;3.15;1.94
209;4.58;9.47
4305;6.84;6.73
4307;4.9;4.71
4308;6.4;10.86
213;6.75;4.56
218;8.77;6.07
4315;1.22;6.23
2276;3.42;7.6
4328;2.96;3.51
4329;1.25;1.61
235;1.04;1.55
2281;5.68;4.48
2286;4.97;3.14
2288;5.72;6.32
241;3.53;6.43
242;4.45;15.03
2291;2.56;1.91
2292;2.33;4.99
244;3.54;2.09
2293;3.03;4.84
247;2.14;1.11
2287;1.51;1.7
4345;3.04;2.53
249;3.14;1.66
2300;9.58;10.24
4353;2.77;1.11
261;2.53;1.69
4359;3.72;2.31
4367;2.88;3.12
2323;7.12;4.89
4371;4.82;5.86
2326;2.41;2.86
2328;2.54;6.65
283;1.23;2.37
2338;2.86;8.18
2348;2.81;5.7
303;5.24;2.69
304;1.16;0.34
2351;4.21;7.5
306;6.52;1.28
4403;1.2;4.79
2355;7.67;7.55
4402;7.45;4.31
2366;2.73;2.66
319;1.61;2.23
322;5.49;6.93
2373;10.0;5.27
326;3.23;1.48
2380;4.05;1.69
2392;6.43;12.34
2415;4.32;7.05
2425;2.05;1.69
2428;7.25;5.51
383;4.47;2.54
2431;7.61;7.7
387;1.62;1.01
390;3.27;2.61
2441;6.2;5.45
400;4.71;9.03
2450;6.25;8.64
2451;4.67;4.67
415;1.75;0.83
417;8.25;11.04
2465;3.48;6.56
420;3.73;4.26
2471;1.54;4.2
427;3.9;0.63
2476;9.88;3.37
429;1.77;1.77
2481;1.55;1.08
2482;1.31;1.98
2487;3.51;13.95
2489;4.02;6.13
2491;2.81;4.47
2492;8.07;9.0
2495;7.15;4.71
2509;1.84;1.5
462;1.55;0.28
2511;9.38;6.12
2510;15.03;20.14
2515;6.87;8.34
2518;6.43;4.19
2521;7.17;22.13
2527;3.39;7.64
485;5.66;3.91
2541;3.6;2.34
500;2.89;3.5
507;6.94;2.88
2558;7.93;7.03
2559;1.64;3.55
510;15.98;8.52
511;3.53;1.66
515;13.18;6.74
2565;2.16;4.91
2570;2.39;2.42
523;5.23;5.23
2573;5.65;5.65
530;5.49;5.55
2592;1.77;2.08
2602;3.51;1.47
2604;4.44;2.77
558;2.97;10.57
2607;3.52;5.13
2608;3.01;2.74
2611;1.85;3.27
2614;8.41;4.43
566;2.71;0.73
569;5.52;11.19
573;7.56;7.38
576;7.6;11.95
577;0.28;0.69
579;11.1;21.11
2627;2.89;2.05
2625;3.11;8.94
590;3.45;3.22
2639;3.32;3.32
2648;8.84;6.23
602;7.62;3.77
2651;8.19;5.77
603;5.91;1.57
613;7.83;12.53
614;4.89;2.36
2663;2.02;4.86
617;3.3;0.99
2670;4.02;5.57
625;2.86;1.17
627;3.89;1.83
2684;4.97;6.01
2687;3.36;4.51
2688;2.53;1.29
648;2.5;2.5
2698;5.28;2.96
2703;4.94;7.6
2704;3.28;2.76
656;6.3;5.8
2705;0.34;0.55
2707;2.42;3.77
662;2.5;10.11
663;7.69;23.46
2714;4.28;8.08
673;5.28;3.22
2723;4.58;7.09
2729;7.02;9.66
2733;1.98;1.35
688;6.88;16.22
689;2.84;7.75
2739;7.93;5.72
695;12.79;5.7
2745;4.66;7.01
711;2.78;2.15
2762;9.38;20.85
714;3.68;2.51
2763;2.05;3.35
2764;6.3;15.47
724;1.93;1.93
725;6.54;6.77
730;7.74;4.25
731;1.3;4.09
737;1.43;1.64
2787;0.47;2.79
741;4.16;11.81
2794;3.71;1.49
2798;5.48;4.62
755;4.25;4.27
759;6.77;4.91
762;5.87;5.87
2818;0.67;1.07
779;3.7;3.79
2828;5.89;6.53
2827;2.84;2.84
788;2.85;0.81
789;2.97;2.95
790;3.77;7.09
2841;2.21;1.07
2843;2.59;3.18
796;5.14;9.03
795;3.98;1.31
2848;4.85;5.15
800;8.51;5.03
801;9.64;4.03
2854;3.47;8.73
807;2.19;3.42
2855;5.55;11.79
2858;4.48;2.67
827;2.65;2.65
2875;10.64;15.79
2878;6.46;4.79
833;7.75;9.61
835;10.36;9.98
843;4.44;1.43
846;8.99;11.53
2901;3.73;3.05
855;4.85;1.45
2905;1.54;7.42
2908;3.19;5.01
865;2.09;8.02
2916;0.74;2.54
869;0.66;0.52
877;2.08;2.29
878;1.77;0.55
882;10.91;5.42
2932;2.79;4.14
889;9.07;3.02
2942;6.33;2.32
2949;5.86;2.35
2953;1.66;3.12
2955;5.01;3.41
909;1.33;2.27
916;0.56;1.34
918;1.74;3.52
921;0.81;4.58
2970;2.18;3.52
929;1.11;4.74
940;8.83;3.04
2991;2.28;2.15
944;4.11;3.18
2993;1.11;0.85
946;28.83;43.12
2992;3.3;1.67
949;2.95;2.71
2999;19.23;11.02
954;3.09;5.41
959;4.31;1.98
3011;9.41;12.19
3013;1.12;2.66
965;1.71;1.18
3023;1.77;1.77
977;2.61;2.61
980;2.64;2.47
3032;3.09;3.08
985;1.82;6.34
3046;6.9;9.74
1004;2.48;1.6
1005;1.94;2.69
3061;5.61;3.96
3062;4.24;3.09
1013;2.76;1.92
1017;7.47;2.52
3067;3.57;6.01
3071;3.05;0.44
1034;2.59;4.04
3083;5.24;6.27
1038;3.14;5.7
3096;12.43;3.86
3098;2.68;2.68
3105;1.48;3.94
1063;2.45;3.9
1065;3.89;7.02
3113;6.14;4.15
3120;2.71;2.62
1072;1.92;1.51
1078;0.79;0.8
1079;1.12;0.95
3127;1.91;2.45
1081;3.45;6.22
1083;3.77;4.41
1084;2.35;2.47
3132;6.07;22.1
1089;1.76;4.35
3139;6.08;5.85
3140;0.55;1.28
1095;0.21;0.84
1100;6.95;4.77
3159;2.65;3.68
1112;7.17;5.66
3161;2.6;1.25
1114;4.24;2.39
1119;5.19;5.19
3171;5.21;2.78
1127;1.63;1.63
1132;4.43;4.43
3182;2.18;2.18
1144;1.05;1.54
3193;16.92;26.9
3199;1.62;1.67
3200;3.51;1.45
3216;6.22;7.13
3218;3.18;6.66
3220;1.73;0.84
3228;8.26;17.31
1182;3.73;1.89
3232;0.77;0.61
3245;1.95;2.53
1207;0.15;0.92
1208;3.49;8.5
3259;5.48;2.6
1213;3.56;4.27
1223;8.96;3.09
3275;14.56;9.73
3276;5.7;7.51
3279;5.51;2.38
