from_id;to_id
2051;2377
2051;3203
4099;935
4099;1760
2055;320
2055;3357
2056;3138
2056;549
10;2909
10;2662
2059;1302
2059;3845
11;1655
11;767
2068;1230
2068;2144
25;4396
25;391
4124;4406
4124;3574
4125;634
4125;591
4125;3178
33;2939
33;2595
2090;3167
2090;3551
2093;2405
2093;521
2099;4175
2099;2697
2099;3927
58;3157
2108;3219
2111;1255
2111;1195
66;4175
4164;1391
4164;2933
2116;2759
2116;1586
2119;1442
2119;3360
71;3068
71;586
71;3624
2122;3977
2122;2612
2122;297
82;1302
82;3740
4186;1569
4186;1863
2139;2877
2139;3007
93;3315
93;4383
4189;3676
4189;2812
2144;3553
2144;2636
4195;1561
4195;1892
2147;2595
2147;488
2155;1030
2155;665
2155;1306
2157;2662
2157;3405
110;2768
110;2409
111;716
111;622
2169;853
2169;3537
4217;2547
4217;3991
123;3601
123;2306
4220;1496
4220;2408
125;2835
125;404
4224;3426
4224;3724
2179;454
2179;4288
132;2830
132;2556
134;894
134;252
139;371
139;3508
139;1147
141;2257
141;2250
2193;3451
2193;1446
147;2564
147;1064
4251;2011
4251;1983
172;2790
172;3601
174;626
2224;433
2224;320
180;3537
180;371
2233;2297
2233;3613
186;1924
186;957
4283;3445
4284;690
4284;1345
4288;2830
4288;3934
194;4052
194;1117
2250;1014
2257;1117
2259;2736
2259;4406
212;3997
212;939
4309;1550
4309;1696
219;775
219;1815
221;297
221;3964
227;3780
227;451
4325;3469
4325;1814
4330;404
4330;291
2294;2753
2294;2736
4343;1839
4343;2564
2296;684
2296;3003
2297;1553
251;3765
251;2417
4348;4039
4348;690
252;2375
252;2944
2306;2765
2306;2475
259;1777
259;3527
4356;3286
4356;3340
4355;2417
4355;1862
2309;1150
2309;772
264;2752
264;2335
4366;3788
2320;937
2320;2930
276;1772
276;2405
2327;1006
2327;3284
279;1033
279;597
4383;3658
2335;3538
291;456
4389;2788
4389;716
294;1815
294;2716
4396;2396
307;1691
307;766
4405;1067
4405;2040
2361;3557
2361;1937
4411;1784
4411;3469
324;2832
324;1205
2375;3699
2377;467
2379;2765
2379;2933
2386;1872
2386;1397
343;2772
343;2533
2396;892
356;1444
356;3967
357;3282
357;2978
2408;3286
2409;1243
369;1338
369;4026
2421;3858
2421;3539
2422;3227
2422;684
376;2720
376;3951
380;2892
2434;3773
2434;3815
391;1238
402;1629
402;3315
2456;2461
2456;2835
410;3368
410;481
2460;3315
2460;3997
2461;3371
424;2879
424;2939
424;671
425;702
425;1462
2475;3780
433;2831
2485;3947
2485;1839
443;3565
443;697
451;2731
2500;2545
2500;3312
454;1910
456;2937
461;874
461;1156
463;2965
463;3765
465;3178
467;746
476;2902
476;3918
479;893
479;2002
481;3344
2533;3024
488;3191
2543;622
2543;2746
2545;1677
2547;2012
2548;2636
2550;767
2550;1150
505;1008
505;1924
2555;2844
2555;1444
2556;1442
521;746
528;3174
528;3227
2587;3183
2587;1230
2589;571
2589;1316
544;3643
544;1767
547;3284
547;4020
548;1906
548;3643
549;1784
561;3401
561;1997
2612;3368
571;1760
586;1562
591;1640
597;3839
605;3208
605;3709
2658;1462
2658;715
610;2943
610;4084
622;4008
626;3024
2677;2678
2677;3773
630;1000
630;1129
2678;3003
631;792
631;1772
634;1562
634;3558
2695;1201
2697;1597
658;3741
658;1201
2708;1862
2711;953
2711;1553
664;2994
664;834
665;3741
2716;3900
670;2946
670;2965
671;2844
2720;3897
678;1156
678;3029
2731;2753
2743;1056
2743;1858
697;3676
702;3221
703;3740
703;1006
2752;2002
705;1064
705;1872
2759;1110
715;3435
2768;3982
2772;3927
2772;1030
2772;3571
2788;3211
2790;1195
2795;1345
2795;3739
2812;3873
766;4052
771;3990
771;3157
772;858
775;3539
2831;4020
2832;834
792;3870
2845;1243
2845;3426
799;1892
799;1110
805;935
2867;3638
2867;3802
829;3151
829;1546
2877;3551
2879;1397
2881;3931
836;3523
836;1008
2892;3435
853;3486
2902;3532
858;2012
2909;3389
2909;3173
862;2007
862;3557
866;907
866;1637
874;3830
2923;3845
2923;1255
2927;3889
2927;1864
2930;3972
888;1637
888;1524
2937;1910
892;942
893;3130
894;1157
894;1677
2943;3646
2944;1250
2946;1858
907;942
923;3201
923;951
2977;3739
2977;3753
934;1231
934;3813
935;1934
937;3815
939;3858
942;1879
2994;1586
953;3773
957;1373
3007;1561
3014;3724
3014;3931
967;3900
967;1711
966;3350
966;3903
970;3360
970;3570
3024;3715
3029;3959
1000;3103
1008;3646
1014;3982
3068;3991
1033;4008
3095;3625
1050;1147
1053;1446
1053;3273
3103;3246
1056;3903
1067;1170
1073;3802
1073;3174
3130;3273
3134;1202
3134;3211
3138;3508
3151;3813
3167;3191
1129;1202
1131;3625
3183;3750
1147;1793
3201;3840
