id;cswidth;csheight
2051;5.47;20.67
4099;19.5;22.97
2055;2.14;3.12
10;3.5;4.13
2059;1.28;2.63
11;4.08;5.38
2068;10.06;4.12
25;3.95;4.03
4124;1.73;6.73
4125;4.32;4.32
33;8.59;10.61
2090;4.6;1.8
2093;3.76;11.64
2099;9.98;9.98
58;2.94;1.93
2108;21.84;19.06
2111;2.36;6.72
66;2.47;0.71
4164;3.48;9.1
2119;3.44;28.16
2122;8.03;8.03
4175;25.05;26.56
82;4.57;3.89
4186;6.39;2.15
2139;1.41;5.33
93;8.72;19.23
2144;3.65;3.65
4195;3.35;5.24
2147;4.14;10.63
2157;7.16;6.08
110;3.63;9.57
111;2.31;4.64
123;5.13;29.28
4220;3.69;6.83
125;11.26;5.02
4224;3.49;3.43
2179;16.38;25.6
132;15.84;36.03
134;4.5;6.56
139;5.61;5.61
141;3.21;8.29
2193;2.51;1.28
147;5.13;16.3
4251;5.08;2.81
172;1.93;6.57
2224;3.4;11.97
180;3.32;4.35
186;1.61;2.67
4284;0.96;2.31
4288;5.38;5.38
194;2.11;4.07
2250;5.71;18.3
2257;3.99;6.25
2259;2.2;2.72
212;4.29;3.82
4309;7.28;5.84
219;4.72;5.43
227;2.11;5.73
4325;1.94;0.77
4330;3.14;27.33
2294;5.27;14.68
4343;4.34;16.17
251;1.71;1.84
4348;0.94;1.91
252;1.32;1.32
2306;2.58;2.58
4356;3.2;4.84
4355;1.41;3.75
264;4.46;8.9
2320;8.47;8.07
276;5.86;5.16
2327;4.84;7.61
279;22.75;29.31
4383;6.14;17.04
2335;4.2;35.66
291;11.06;15.62
4389;1.58;7.8
294;2.59;4.92
297;21.4;13.89
4396;2.35;3.2
307;4.17;5.45
4405;1.67;3.34
4406;6.65;19.73
2361;4.17;7.03
320;3.94;14.85
324;3.93;8.24
2375;4.46;12.53
2377;5.59;25.2
2379;6.7;2.85
2386;2.48;1.85
343;1.0;2.08
2396;4.09;5.34
356;2.8;3.27
357;3.37;4.68
2405;1.38;4.33
2408;1.35;3.36
2409;4.96;10.25
369;3.37;1.3
2417;4.42;8.6
371;31.2;22.5
2421;3.66;5.66
376;6.39;5.84
2434;10.46;16.13
391;3.63;5.28
402;1.1;1.29
404;2.93;7.78
2456;3.96;2.14
410;5.2;27.54
2460;5.58;13.25
2461;3.9;2.02
424;2.96;2.96
2475;2.83;8.45
433;6.59;12.16
443;20.87;41.34
451;2.78;4.09
2500;2.51;11.65
454;3.68;8.21
456;10.79;12.63
461;4.38;4.21
463;0.88;0.97
465;3.19;6.54
467;6.97;7.15
476;2.21;5.9
479;1.06;0.81
481;6.95;42.71
2533;0.68;0.27
488;2.29;2.92
2543;25.67;25.61
2545;3.09;6.0
505;1.59;2.74
2555;4.96;2.32
2556;2.92;15.18
2564;3.2;15.66
521;3.8;27.57
2587;17.12;5.16
2589;37.78;32.43
544;2.58;3.83
547;3.19;5.7
548;1.82;7.77
2595;7.34;14.01
561;3.73;10.45
571;6.82;24.37
2636;39.93;17.86
591;4.68;28.82
597;26.07;12.23
605;5.27;11.49
610;4.47;3.43
2662;6.54;7.28
622;3.31;3.31
630;1.44;1.78
631;2.0;4.0
2697;7.09;20.37
2716;4.8;6.05
671;6.02;9.67
2720;4.58;9.84
2731;0.91;2.51
2736;2.31;9.34
690;1.42;1.52
2743;1.59;2.8
697;15.59;4.78
2746;8.8;12.74
703;6.41;9.31
2752;5.54;2.78
2753;2.15;9.27
705;2.89;2.57
716;7.87;10.25
2768;1.61;7.76
2788;1.53;0.58
2790;1.96;12.73
746;6.25;13.19
2795;1.61;1.01
2812;7.97;6.82
766;3.76;6.26
767;4.4;5.68
771;4.08;9.14
775;3.85;3.43
2830;12.27;31.82
2831;8.05;9.44
2832;1.48;1.53
2835;1.96;3.58
792;0.54;3.68
2844;3.46;1.4
2845;6.65;7.92
829;4.48;14.69
2877;4.06;4.97
2879;1.64;8.93
2881;2.08;19.93
834;2.45;1.06
853;2.46;7.86
2902;2.79;6.55
2909;3.56;3.56
862;1.82;11.4
866;9.15;11.35
874;4.16;1.24
2923;1.82;1.38
2927;2.43;5.91
2930;12.85;23.27
888;5.54;15.4
2937;0.79;2.66
2939;4.02;11.08
892;6.34;4.93
893;9.4;3.32
894;6.98;6.98
2943;1.45;4.0
2944;3.45;10.15
2946;3.94;3.38
907;5.85;19.56
2965;0.37;1.12
2977;0.59;2.59
934;15.44;11.55
935;6.23;6.23
937;7.94;13.42
939;3.08;6.29
942;4.32;4.32
957;1.05;1.92
3007;3.36;3.13
3014;7.61;5.65
967;5.04;11.42
966;4.66;5.19
970;4.92;3.71
3029;5.65;10.62
1000;2.58;4.67
1006;12.04;6.59
1008;3.56;3.56
1014;5.78;36.32
1033;6.42;3.99
1053;8.71;8.97
3103;4.21;7.24
1064;2.62;2.33
3130;4.11;1.17
3134;1.54;10.23
3138;2.4;2.59
3151;2.33;8.83
3157;4.28;12.24
1117;5.0;3.21
3167;2.29;7.01
3173;2.96;8.55
1129;2.55;4.14
3178;12.34;21.77
3183;9.79;10.73
3191;1.39;8.48
1147;6.14;6.14
1155;6.87;9.05
1156;2.53;1.82
3203;3.26;8.29
1157;8.37;24.37
3208;2.7;8.64
3211;4.97;45.17
3219;7.59;22.24
3221;3.66;3.66
1173;1.87;1.23
1188;5.04;3.44
1195;1.14;3.82
3246;8.09;8.07
1205;4.9;8.99
3256;5.06;6.02
1230;16.85;16.52
1231;0.95;3.47
3282;5.94;4.6
3284;5.29;7.73
3286;2.76;0.78
1238;4.76;4.4
1243;2.78;4.4
1255;2.56;4.57
3312;3.77;7.92
3315;3.98;3.98
3321;1.48;1.35
3344;5.48;16.47
3357;2.84;2.26
3358;5.49;13.78
3360;2.54;37.31
1316;4.16;19.13
3368;18.64;47.95
3371;7.24;13.89
1338;11.73;9.69
3389;3.49;4.18
1345;1.8;1.52
3401;1.63;1.29
1373;0.72;2.98
3426;5.06;3.49
3435;0.62;1.88
1391;5.18;5.18
1397;1.91;3.11
3451;1.93;8.8
3486;4.57;4.57
1442;5.21;32.43
1444;2.01;4.49
1446;3.29;4.87
3508;2.63;2.07
1468;3.37;3.22
3527;4.12;8.53
3532;3.99;3.51
3537;3.54;5.23
3538;2.0;15.02
3539;4.06;7.65
3543;7.03;6.63
1496;10.05;10.88
3551;4.18;7.85
3557;1.84;6.87
